unidad	tipo	filas_o_contratos	razon
LECTURA-6da09e39-01	G	ENLACE;ASTRA5-U0-TRUST-003	
LECTURA-6da09e39-02	G	ASTRA5-U0-TRUST-004	
LECTURA-6da09e39-03	G	ASTRA5-U0-TRUST-005;ASTRA5-U0-TRUST-006;ENLACE	
LECTURA-6da09e39-04	G	ASTRA5-U0-TRUST-007	
LECTURA-6da09e39-05	G	ENLACE;ASTRA5-U0-TRUST-008	
LECTURA-6da09e39-06	G	ASTRA5-U0-TRUST-009;ENLACE	
LECTURA-6da09e39-07	G	ASTRA5-U0-TRUST-010;ASTRA5-U0-TRUST-011	
LECTURA-6da09e39-08	G	ASTRA5-U0-TRUST-012	
LECTURA-6da09e39-09	G	ASTRA5-U0-TRUST-013	
LECTURA-6da09e39-10	G	ENLACE;ASTRA5-U0-TRUST-014	
LECTURA-6da09e39-11	G	ASTRA5-U0-TRUST-015;ASTRA5-U0-TRUST-016	
LECTURA-6da09e39-12	G	ENLACE;ASTRA5-U0-TRUST-017	
LECTURA-6da09e39-13	G	ASTRA5-U0-TRUST-018;ASTRA5-U0-TRUST-019	
LECTURA-6da09e39-14	G	ASTRA5-U0-TRUST-020;ASTRA5-U0-TRUST-021	
LECTURA-6da09e39-15	G	ASTRA5-U0-TRUST-022;ASTRA5-U0-TRUST-023;ASTRA5-U0-TRUST-024	
LECTURA-6da09e39-01	F	ENLACE;ASTRA5-U0-TRUST-003	
LECTURA-6da09e39-02	F	ASTRA5-U0-TRUST-004	
LECTURA-6da09e39-03	F	ASTRA5-U0-TRUST-005;ASTRA5-U0-TRUST-006;ENLACE	
LECTURA-6da09e39-04	F	ASTRA5-U0-TRUST-007	
LECTURA-6da09e39-05	F	ENLACE;ASTRA5-U0-TRUST-008	
LECTURA-6da09e39-06	F	ASTRA5-U0-TRUST-009;ENLACE	
LECTURA-6da09e39-07	F	ASTRA5-U0-TRUST-010;ASTRA5-U0-TRUST-011	
LECTURA-6da09e39-08	F	ASTRA5-U0-TRUST-012	
LECTURA-6da09e39-09	F	ASTRA5-U0-TRUST-013	
LECTURA-6da09e39-10	F	ENLACE;ASTRA5-U0-TRUST-014	
LECTURA-6da09e39-11	F	ASTRA5-U0-TRUST-015;ASTRA5-U0-TRUST-016	
LECTURA-6da09e39-12	F	ENLACE;ASTRA5-U0-TRUST-017	
LECTURA-6da09e39-13	F	ASTRA5-U0-TRUST-018;ASTRA5-U0-TRUST-019	
LECTURA-6da09e39-14	F	ASTRA5-U0-TRUST-020;ASTRA5-U0-TRUST-021	
LECTURA-6da09e39-15	F	ASTRA5-U0-TRUST-022;ASTRA5-U0-TRUST-023;ASTRA5-U0-TRUST-024	
INT-L71	INT	ENLACE	
INT-L72	INT	ASTRA5-U0-TRUST-025	
INT-L73	INT	ASTRA5-U0-TRUST-005	
INT-L74	INT	ASTRA5-U0-TRUST-005;ENLACE	
INT-L75	INT	ASTRA5-U0-TRUST-015	
INT-L76	INT	ASTRA5-U0-TRUST-013	
INT-L77	INT	ASTRA5-U0-TRUST-026	
INT-L78	INT	ASTRA5-U0-TRUST-009	
INT-L79	INT	ASTRA5-U0-TRUST-011	
INT-L83	INT	ASTRA5-U0-TRUST-027	
INT-L84	INT	ASTRA5-U0-TRUST-028	
INT-L85	INT	ASTRA5-U0-TRUST-012	
INT-L86	INT	ASTRA5-U0-TRUST-029	
INT-L87	INT	ASTRA5-U0-TRUST-030	
INT-L91	INT	ASTRA5-U0-TRUST-031	
INT-L92	INT	ASTRA5-U0-TRUST-032	
INT-L93	INT	ASTRA5-U0-TRUST-033	
INT-L94	INT	ASTRA5-U0-TRUST-031	
INT-L95	INT	ASTRA5-U0-TRUST-034	
INT-L373	INT		NO-AFIRMACION: auditoría meta (pregunta retórica de la sección 'Auditoría de rigor' que resume el bloque débil ya cubierto en confianza-034..037; no introduce afirmación nueva)
