unidad	tipo	filas_o_contratos	razon
LECTURA-196ec5d4-01	G	ASTRA5-U0-CONOC-030	
LECTURA-196ec5d4-02	G	ENLACE;ENLACE;ENLACE;ASTRA5-U0-CONOC-025;ASTRA5-U0-CONOC-026	
LECTURA-196ec5d4-03	G	ASTRA5-U0-CONOC-015;ASTRA5-U0-CONOC-016	
LECTURA-196ec5d4-04	G	ASTRA5-U0-CONOC-017	
LECTURA-196ec5d4-05	G	ASTRA5-U0-CONOC-020	
LECTURA-196ec5d4-06	G	ASTRA5-U0-CONOC-009	
LECTURA-196ec5d4-07	G	ENLACE;ENLACE;ENLACE	
LECTURA-196ec5d4-08	G	ASTRA5-U0-CONOC-007;ASTRA5-U0-CONOC-038;ASTRA5-U0-CONOC-039	
LECTURA-196ec5d4-09	G	ASTRA5-U0-CONOC-012;ASTRA5-U0-CONOC-013	
LECTURA-196ec5d4-10	G	ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011	
LECTURA-196ec5d4-11	G	ASTRA5-U0-CONOC-028	
LECTURA-196ec5d4-12	G	ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-019	
LECTURA-196ec5d4-13	G	ASTRA5-U0-CONOC-014;ASTRA5-U0-CONOC-015	
CAND-196ec5d4-L53	P	ENLACE;ASTRA5-U0-CONOC-007;ASTRA5-U0-CONOC-009;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-012;ASTRA5-U0-CONOC-014;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018	
CAND-196ec5d4-L181	P	ENLACE;ASTRA5-U0-CONOC-031	
CAND-196ec5d4-L182	P	ASTRA5-U0-CONOC-031;ASTRA5-U0-CONOC-038	
CAND-196ec5d4-L183	P	ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-031	
CAND-196ec5d4-L184	P	ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-019;ASTRA5-U0-CONOC-031	
CAND-196ec5d4-L195	P	ASTRA5-U0-CONOC-032	
CAND-196ec5d4-L202	P	ASTRA5-U0-CONOC-033	
CAND-196ec5d4-L209	P	ASTRA5-U0-CONOC-034	
CAND-196ec5d4-L212	P	ASTRA5-U0-CONOC-035	
CAND-196ec5d4-L215	P	ASTRA5-U0-CONOC-036	
CAND-196ec5d4-L218	P	ASTRA5-U0-CONOC-037	
TIER-196ec5d4-L9	T		NO-AFIRMACION: leyenda de tiers (definiciones FUERTE/MEDIA/HIPÓTESIS RAZONABLE/NARRATIVA POPULAR), no es afirmación sobre México
TIER-196ec5d4-L63	T	ASTRA5-U0-CONOC-021;ASTRA5-U0-CONOC-022;ASTRA5-U0-CONOC-024;ASTRA5-U0-CONOC-025	
TIER-196ec5d4-L69	T	ASTRA5-U0-CONOC-027;ASTRA5-U0-CONOC-028	
TIER-196ec5d4-L73	T	ASTRA5-U0-CONOC-030;ASTRA5-U0-CONOC-039	encabezado de bloque NARRATIVA POPULAR; sus dos bullets (L74/L75) son DEDUP literal de conocimiento-030 (mito 1) y de conocimiento-039/007 (mito redes-credulidad)
TIER-196ec5d4-L180	T	ASTRA5-U0-CONOC-030	
LECTURA-196ec5d4-01	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-02	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-03	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-04	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-05	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-06	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-07	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-08	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-09	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-10	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-11	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-12	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
LECTURA-196ec5d4-13	F	VER-FILA-G	misma id que la unidad G homónima, ver bloque G arriba
CONOC-INTERNO-01	F		NO-AFIRMACION: auditoría meta del propio report (declara que no pudo cotejar 25 reports previos del corpus y que la nota L13 invierte las marcas (b)/(c) frente al glosario canónico); no es una afirmación sobre México, es una nota de procedencia/método del propio report
CONOC-INTERNO-02	F	ENLACE;ENLACE;ENLACE;ENLACE;ENLACE;ENLACE;ASTRA5-U0-CONOC-007;ASTRA5-U0-CONOC-009;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-012;ASTRA5-U0-CONOC-014;ASTRA5-U0-CONOC-024;ASTRA5-U0-CONOC-025	auditoría de universos del mapa de evidencia (§3): cada afirmación del bloque L51-75 quedó separada por instrumento/ola/universo en las filas listadas, ninguna se fusionó por compartir tier editorial
CONOC-INTERNO-03	F	ASTRA5-U0-CONOC-016;ASTRA5-U0-CONOC-019;ASTRA5-U0-CONOC-020;ASTRA5-U0-CONOC-026;ASTRA5-U0-CONOC-028	auditoría de los Patrones A-E (§4, L81-125): los mecanismos/interpretaciones de cada patrón quedaron dictaminados NO-MEDIBLE-POR-DISEÑO en las filas listadas, separando el componente descriptivo (cifras) del mecanismo causal atribuido
CONOC-INTERNO-04	F	ASTRA5-U0-CONOC-007;ASTRA5-U0-CONOC-008;ASTRA5-U0-CONOC-028;ASTRA5-U0-CONOC-029	auditoría de segmentos/ENDUTIH (§6, L128-163): ENDUTIH 2023 se mantuvo distinto de ENDUTIH 2024 (RESULT de U4) en las filas 007/008; informalidad y saber de oficio separados en 028/029
CONOC-INTERNO-05	F	ASTRA5-U0-CONOC-032;ASTRA5-U0-CONOC-033;ASTRA5-U0-CONOC-034;ASTRA5-U0-CONOC-035;ASTRA5-U0-CONOC-036;ASTRA5-U0-CONOC-037	auditoría de las 6 reglas SI-ENTONCES (§10, L167-220): las seis quedaron dictaminadas NO-MEDIBLE-POR-DISEÑO por falta de cruce individual disparador-elección, conservadas como hipótesis de diseño, no como contrato medido
CONOC-INTERNO-06	F	ASTRA5-U0-CONOC-030;ASTRA5-U0-CONOC-031	auditoría de síntesis/mitos/vacíos (§11-§Vacíos declarados, L224-249): los mitos quedaron deduplicados en 030/031; los 'Vacíos declarados' (L245-249) son notas editoriales del propio report (NO-AFIRMACION), no requieren fila propia
