unidad	tipo	filas_o_contratos	razon
LECTURA-b49daaca-01	G	ASTRA5-U0-CONS-001	
LECTURA-b49daaca-02	G	ASTRA5-U0-CONS-002;ASTRA5-U0-CONS-003;ASTRA5-U0-CONS-004	
LECTURA-b49daaca-03	G	ASTRA5-U0-CONS-005;ASTRA5-U0-CONS-006	
LECTURA-b49daaca-04	G	ASTRA5-U0-CONS-009;ASTRA5-U0-CONS-010;ASTRA5-U0-CONS-011	
LECTURA-b49daaca-05	G	ASTRA5-U0-CONS-012;ASTRA5-U0-CONS-013	
LECTURA-b49daaca-06	G	ASTRA5-U0-CONS-014	
LECTURA-b49daaca-07	G	ASTRA5-U0-CONS-015;ASTRA5-U0-CONS-016	
LECTURA-b49daaca-08	G	ASTRA5-U0-CONS-017	
LECTURA-b49daaca-09	G	ASTRA5-U0-CONS-018	
LECTURA-b49daaca-10	G	ASTRA5-U0-CONS-019	
LECTURA-b49daaca-11	G	ASTRA5-U0-CONS-020	
LECTURA-b49daaca-12	G	ASTRA5-U0-CONS-021;ASTRA5-U0-CONS-022	
LECTURA-b49daaca-13	G	ASTRA5-U0-CONS-023;ASTRA5-U0-CONS-024	
LECTURA-b49daaca-14	G	ASTRA5-U0-CONS-025	
LECTURA-b49daaca-15	G	ASTRA5-U0-CONS-026	
LECTURA-b49daaca-01	F	ASTRA5-U0-CONS-001	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-02	F	ASTRA5-U0-CONS-002;ASTRA5-U0-CONS-003;ASTRA5-U0-CONS-004	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-03	F	ASTRA5-U0-CONS-005;ASTRA5-U0-CONS-006	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-04	F	ASTRA5-U0-CONS-009;ASTRA5-U0-CONS-010;ASTRA5-U0-CONS-011	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-05	F	ASTRA5-U0-CONS-012;ASTRA5-U0-CONS-013	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-06	F	ASTRA5-U0-CONS-014	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-07	F	ASTRA5-U0-CONS-015;ASTRA5-U0-CONS-016	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-08	F	ASTRA5-U0-CONS-017	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-09	F	ASTRA5-U0-CONS-018	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-10	F	ASTRA5-U0-CONS-019	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-11	F	ASTRA5-U0-CONS-020	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-12	F	ASTRA5-U0-CONS-021;ASTRA5-U0-CONS-022	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-13	F	ASTRA5-U0-CONS-023;ASTRA5-U0-CONS-024	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-14	F	ASTRA5-U0-CONS-025	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
LECTURA-b49daaca-15	F	ASTRA5-U0-CONS-026	ficha de lectura Codex, mismo id que la unidad G; mismo dictamen
CONSUMO-INTERNO-01	F		DEDUP: consumidor-027 (misma correccion Hofstede L9-L12 ya cubierta, ver TIER-b49daaca-L9)
CONSUMO-INTERNO-02	F	ASTRA5-U0-CONS-030	
CONSUMO-INTERNO-03	F	ASTRA5-U0-CONS-007;ASTRA5-U0-CONS-008;ASTRA5-U0-CONS-031;ASTRA5-U0-CONS-032;ASTRA5-U0-CONS-033	
CONSUMO-INTERNO-04	F	ASTRA5-U0-CONS-023;ASTRA5-U0-CONS-037;ASTRA5-U0-CONS-038;ASTRA5-U0-CONS-039	
CONSUMO-INTERNO-05	F	ASTRA5-U0-CONS-034	
CONSUMO-INTERNO-06	F	ASTRA5-U0-CONS-035;ASTRA5-U0-CONS-036	
TIER-b49daaca-L9	T	ASTRA5-U0-CONS-027	
TIER-b49daaca-L52	T	ASTRA5-U0-CONS-001	
TIER-b49daaca-L53	T	ASTRA5-U0-CONS-002;ASTRA5-U0-CONS-003	
TIER-b49daaca-L54	T	ASTRA5-U0-CONS-005	
TIER-b49daaca-L55	T	ASTRA5-U0-CONS-012	
TIER-b49daaca-L56	T	ASTRA5-U0-CONS-009;ASTRA5-U0-CONS-010	
TIER-b49daaca-L57	T	ASTRA5-U0-CONS-018	
TIER-b49daaca-L58	T	ASTRA5-U0-CONS-019	
TIER-b49daaca-L59	T	ASTRA5-U0-CONS-014	
TIER-b49daaca-L60	T	ASTRA5-U0-CONS-015	
