unidad	tipo	filas_o_contratos	razon
LECTURA-ed13e951-01	G|F	ASTRA5-U0-CRPOP-002	
LECTURA-ed13e951-02	G|F	ASTRA5-U0-CRPOP-006;ASTRA5-U0-CRPOP-007;ASTRA5-U0-CRPOP-008	
LECTURA-ed13e951-03	G|F	ASTRA5-U0-CRPOP-009;ASTRA5-U0-CRPOP-010	
LECTURA-ed13e951-04	G|F	ASTRA5-U0-CRPOP-011	
CAND-ed13e951-L4	P	ASTRA5-U0-CRPOP-001	
CAND-ed13e951-L5	P	ASTRA5-U0-CRPOP-003;ASTRA5-U0-CRPOP-004	
CAND-ed13e951-L6	P	ASTRA5-U0-CRPOP-005	
CAND-ed13e951-L24	P	ASTRA5-U0-CRPOP-012;ASTRA5-U0-CRPOP-013;ASTRA5-U0-CRPOP-014;ASTRA5-U0-CRPOP-015;ASTRA5-U0-CRPOP-016	
CAND-ed13e951-L33	P	ASTRA5-U0-CRPOP-017;ASTRA5-U0-CRPOP-018;ASTRA5-U0-CRPOP-019;ASTRA5-U0-CRPOP-020;ASTRA5-U0-CRPOP-021	
CAND-ed13e951-L42	P	ASTRA5-U0-CRPOP-022;ASTRA5-U0-CRPOP-023;ASTRA5-U0-CRPOP-024	
CAND-ed13e951-L50	P	ASTRA5-U0-CRPOP-025;ASTRA5-U0-CRPOP-026;ASTRA5-U0-CRPOP-027;ASTRA5-U0-CRPOP-028	
CAND-ed13e951-L59	P	ASTRA5-U0-CRPOP-029;ASTRA5-U0-CRPOP-030	
CAND-ed13e951-L67	P	ASTRA5-U0-CRPOP-031;ASTRA5-U0-CRPOP-032;ASTRA5-U0-CRPOP-033	
LECTURA-ed13e951-05	F	ASTRA5-U0-CRPOP-012;ASTRA5-U0-CRPOP-013;ASTRA5-U0-CRPOP-014;ASTRA5-U0-CRPOP-015;ASTRA5-U0-CRPOP-016	
LECTURA-ed13e951-06	F	ASTRA5-U0-CRPOP-017;ASTRA5-U0-CRPOP-018;ASTRA5-U0-CRPOP-019;ASTRA5-U0-CRPOP-020;ASTRA5-U0-CRPOP-021	
LECTURA-ed13e951-07	F	ASTRA5-U0-CRPOP-022;ASTRA5-U0-CRPOP-023;ASTRA5-U0-CRPOP-024	
LECTURA-ed13e951-08	F	ASTRA5-U0-CRPOP-025;ASTRA5-U0-CRPOP-026;ASTRA5-U0-CRPOP-027;ASTRA5-U0-CRPOP-028	
LECTURA-ed13e951-09	F	ASTRA5-U0-CRPOP-029;ASTRA5-U0-CRPOP-030	
LECTURA-ed13e951-10	F	ASTRA5-U0-CRPOP-031;ASTRA5-U0-CRPOP-032;ASTRA5-U0-CRPOP-033	
LECTURA-ed13e951-11	F	ASTRA5-U0-CRPOP-034	
LECTURA-ed13e951-12	F	ASTRA5-U0-CRPOP-035;ASTRA5-U0-CRPOP-036;ASTRA5-U0-CRPOP-037;DEDUP:credito-popular-016(L79);DEDUP:credito-popular-021(L83)	
LECTURA-ed13e951-13	F	ASTRA5-U0-CRPOP-038;ASTRA5-U0-CRPOP-039;DEDUP:credito-popular-038(L93)	
LECTURA-ed13e951-14	F	ASTRA5-U0-CRPOP-040;ASTRA5-U0-CRPOP-041;ASTRA5-U0-CRPOP-042;ASTRA5-U0-CRPOP-043;ASTRA5-U0-CRPOP-044	
