unidad	tipo	filas_o_contratos	razon
LECTURA-36eaeb28-01	G	ENLACE;ENLACE;ENLACE;ASTRA5-U0-DUEL-017	
LECTURA-36eaeb28-01	F	ENLACE;ENLACE;ENLACE;ASTRA5-U0-DUEL-017	
LECTURA-36eaeb28-02	G	ENLACE	
LECTURA-36eaeb28-02	F	ENLACE	
LECTURA-36eaeb28-03	G	ENLACE	
LECTURA-36eaeb28-03	F	ENLACE	
LECTURA-36eaeb28-04	G	ENLACE;ENLACE	
LECTURA-36eaeb28-04	F	ENLACE;ENLACE	
LECTURA-36eaeb28-05	G	ASTRA5-U0-DUEL-018	
LECTURA-36eaeb28-05	F	ASTRA5-U0-DUEL-018	
LECTURA-36eaeb28-06	G	ASTRA5-U0-DUEL-019;ASTRA5-U0-DUEL-020;ASTRA5-U0-DUEL-021	
LECTURA-36eaeb28-06	F	ASTRA5-U0-DUEL-019;ASTRA5-U0-DUEL-020;ASTRA5-U0-DUEL-021	
LECTURA-36eaeb28-07	G	ASTRA5-U0-DUEL-022;ASTRA5-U0-DUEL-023;ASTRA5-U0-DUEL-041	
LECTURA-36eaeb28-07	F	ASTRA5-U0-DUEL-022;ASTRA5-U0-DUEL-023;ASTRA5-U0-DUEL-041	
LECTURA-36eaeb28-08	G	ENLACE;ENLACE;ASTRA5-U0-DUEL-024	
LECTURA-36eaeb28-08	F	ENLACE;ENLACE;ASTRA5-U0-DUEL-024	
LECTURA-36eaeb28-09	G	ASTRA5-U0-DUEL-025;ASTRA5-U0-DUEL-026	
LECTURA-36eaeb28-09	F	ASTRA5-U0-DUEL-025;ASTRA5-U0-DUEL-026	
LECTURA-36eaeb28-10	G	ENLACE;ENLACE;ENLACE;ASTRA5-U0-DUEL-027	
LECTURA-36eaeb28-10	F	ENLACE;ENLACE;ENLACE;ASTRA5-U0-DUEL-027	
LECTURA-36eaeb28-11	G	ASTRA5-U0-DUEL-028	
LECTURA-36eaeb28-11	F	ASTRA5-U0-DUEL-028	
LECTURA-36eaeb28-12	G	ENLACE;ASTRA5-U0-DUEL-029	
LECTURA-36eaeb28-12	F	ENLACE;ASTRA5-U0-DUEL-029	
LECTURA-36eaeb28-13	G	ASTRA5-U0-DUEL-030;ASTRA5-U0-DUEL-031	
LECTURA-36eaeb28-13	F	ASTRA5-U0-DUEL-030;ASTRA5-U0-DUEL-031	
LECTURA-36eaeb28-14	G	ASTRA5-U0-DUEL-032	
LECTURA-36eaeb28-14	F	ASTRA5-U0-DUEL-032	
LECTURA-36eaeb28-15	G	ASTRA5-U0-DUEL-033	
LECTURA-36eaeb28-15	F	ASTRA5-U0-DUEL-033	
CAND-36eaeb28-L4	P	ASTRA5-U0-DUEL-034;ASTRA5-U0-DUEL-035;ASTRA5-U0-DUEL-036	
LECTURA-36eaeb28-INT-TLDR-01	F	ASTRA5-U0-DUEL-034;ASTRA5-U0-DUEL-035;ASTRA5-U0-DUEL-025	
LECTURA-36eaeb28-INT-MIG-02	F	ASTRA5-U0-DUEL-037	
LECTURA-36eaeb28-INT-VINCULO	F	ENLACE;ENLACE	DEDUP: mismo componente metodológico de Almanza 2020 ya cubierto por ASTRA5-U0-DUEL-007/008 (duelo-007/008)
LECTURA-36eaeb28-INT-REVIC	F	ENLACE;ENLACE;ASTRA5-U0-DUEL-024	
LECTURA-36eaeb28-INT-BUSQUEDA	F	ASTRA5-U0-DUEL-022;ASTRA5-U0-DUEL-023	DEDUP: agencia (duelo-022) y riesgo físico Artículo 19 (duelo-023) ya cubren campo/peritaje de facto/riesgo
LECTURA-36eaeb28-INT-ESTIGMA	F	ENLACE;ASTRA5-U0-DUEL-029	DEDUP: mismo componente de Almanza 2020 (estigma/apoyo) ya cubierto por ASTRA5-U0-DUEL-012 y duelo-029
LECTURA-36eaeb28-INT-SOMAT	F	ENLACE;ENLACE;ENLACE;ASTRA5-U0-DUEL-038	
LECTURA-36eaeb28-INT-SEGMENTOS	F	ASTRA5-U0-DUEL-019;ASTRA5-U0-DUEL-020;ASTRA5-U0-DUEL-037	DEDUP: región/edad/sexo (duelo-019), perfil buscadoras (duelo-020) y EAAF (duelo-037) ya cubren los denominadores de L111-121
LECTURA-36eaeb28-INT-POLITICA	F	ASTRA5-U0-DUEL-039	
LECTURA-36eaeb28-INT-AUDITORIA	F		NO-AFIRMACION: auditoría meta (recombina Almanza n5, Smid n29, Heeke n73/n295 ya dictaminados; no aporta afirmación nueva)
INT-L54	INT	ASTRA5-U0-DUEL-040	
