unidad	tipo	filas_o_contratos	razon
LECTURA-188f152f-01	G	ASTRA5-U0-FAM-001	
LECTURA-188f152f-02	G	ASTRA5-U0-FAM-002	
LECTURA-188f152f-03	G	ASTRA5-U0-FAM-003;ASTRA5-U0-FAM-004;ASTRA5-U0-FAM-005;ASTRA5-U0-FAM-006	
LECTURA-188f152f-04	G	ASTRA5-U0-FAM-007;ASTRA5-U0-FAM-008;ASTRA5-U0-FAM-009;ASTRA5-U0-FAM-010	
LECTURA-188f152f-05	G	ASTRA5-U0-FAM-011	
LECTURA-188f152f-06	G	ASTRA5-U0-FAM-012;ASTRA5-U0-FAM-013	
LECTURA-188f152f-07	G	ASTRA5-U0-FAM-014	
LECTURA-188f152f-08	G	ASTRA5-U0-FAM-015	
LECTURA-188f152f-09	G	ASTRA5-U0-FAM-016	
LECTURA-188f152f-10	G	ASTRA5-U0-FAM-017	
LECTURA-188f152f-11	G	ASTRA5-U0-FAM-018	
LECTURA-188f152f-12	G	ASTRA5-U0-FAM-019	
LECTURA-188f152f-13	G	ASTRA5-U0-FAM-020	
LECTURA-188f152f-14	G	ASTRA5-U0-FAM-021;ASTRA5-U0-FAM-022	
LECTURA-188f152f-15	G	ASTRA5-U0-FAM-023;ASTRA5-U0-FAM-024	
LECTURA-188f152f-01	F	ASTRA5-U0-FAM-001	
LECTURA-188f152f-02	F	ASTRA5-U0-FAM-002	
LECTURA-188f152f-03	F	ASTRA5-U0-FAM-003;ASTRA5-U0-FAM-004;ASTRA5-U0-FAM-005;ASTRA5-U0-FAM-006	
LECTURA-188f152f-04	F	ASTRA5-U0-FAM-007;ASTRA5-U0-FAM-008;ASTRA5-U0-FAM-009;ASTRA5-U0-FAM-010	
LECTURA-188f152f-05	F	ASTRA5-U0-FAM-011	
LECTURA-188f152f-06	F	ASTRA5-U0-FAM-012;ASTRA5-U0-FAM-013	
LECTURA-188f152f-07	F	ASTRA5-U0-FAM-014	
LECTURA-188f152f-08	F	ASTRA5-U0-FAM-015	
LECTURA-188f152f-09	F	ASTRA5-U0-FAM-016	
LECTURA-188f152f-10	F	ASTRA5-U0-FAM-017	
LECTURA-188f152f-11	F	ASTRA5-U0-FAM-018	
LECTURA-188f152f-12	F	ASTRA5-U0-FAM-019	
LECTURA-188f152f-13	F	ASTRA5-U0-FAM-020	
LECTURA-188f152f-14	F	ASTRA5-U0-FAM-021;ASTRA5-U0-FAM-022	
LECTURA-188f152f-15	F	ASTRA5-U0-FAM-023;ASTRA5-U0-FAM-024	
FAMILIA-INTERNO-01	F	ASTRA5-U0-FAM-025;ASTRA5-U0-FAM-026;ASTRA5-U0-FAM-027;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-029;ASTRA5-U0-FAM-030	
FAMILIA-INTERNO-02	F	ASTRA5-U0-FAM-007;ASTRA5-U0-FAM-008;ASTRA5-U0-FAM-009;ASTRA5-U0-FAM-010;ASTRA5-U0-FAM-031;ASTRA5-U0-FAM-032;ENLACE;ASTRA5-U0-FAM-033	
FAMILIA-INTERNO-03	F	ASTRA5-U0-FAM-034;ASTRA5-U0-FAM-035;ASTRA5-U0-FAM-036;ASTRA5-U0-FAM-037;ASTRA5-U0-FAM-038;ASTRA5-U0-FAM-039;ASTRA5-U0-FAM-042;ASTRA5-U0-FAM-045;ASTRA5-U0-FAM-046	
FAMILIA-INTERNO-04	F	ASTRA5-U0-FAM-040;ASTRA5-U0-FAM-041;ASTRA5-U0-FAM-043;ASTRA5-U0-FAM-044;ASTRA5-U0-FAM-047;ASTRA5-U0-FAM-048;ASTRA5-U0-FAM-049;ASTRA5-U0-FAM-050;ASTRA5-U0-FAM-051	
