id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-FAM-001	familia-001	LECTURA-188f152f-01	L9	El familismo obligatorio no es protector. Solo el familismo de apoyo reduce síntomas depresivos (β = −0.15). Las obligaciones familiares y la familia como referente no predicen mejoras en salud mental.	NO-EXPLICITO (L69 sec.3 lo respalda como 'evidencia fuerte': Valdivieso-Mora 2016 39 estudios, Ayon 2010 b=-.406, Campos 2014 n=370)	CONCLUSION-DE-ESTUDIO	(b) diaspora/mexicano-americana	asociacion (no causal) entre 3 subescalas de familismo (apoyo/obligacion/referente) y sintomas depresivos, persona adolescente de origen mexicano	Muestra de diaspora (N=492, Zeiders et al. 2013, J Adolesc Health); no es representativa de adolescentes residentes en Mexico; no establece causalidad.	unidad=persona (adolescente origen mexicano en EE.UU.); universo=N=492; ola=panel 4 mediciones/8 anios (Zeiders et al. 2013)	Zeiders et al. (2013) J Adolesc Health -- estudio academico, no encuesta INEGI	SIN-ID-MANIFIESTO (PubMed 23886552; no registrado en manifiesto ni en corpus PDF)	no aplica (no es reactivo del corpus; escalas Sabogal/Lugo-Steidel citadas por el report, no transcritas literalmente)	MEDIBLE-CON-ADQUISICIÓN	Documento identificado por busqueda web (23/sep/2026): Zeiders et al. (2013) 'Mexican-Origin Youths' Trajectories of Depressive Symptoms: The Role of Familism Values', J Adolesc Health nov-2013, PubMed 23886552, N=492. faltante: texto completo del articulo, no registrado en manifiesto (u0pdf -q familismo|Zeiders -> 0/349 PDF). Residual de cotejo (no cierra el punto): los resumenes publicos indican que APOYO y REFERENCIAL se asociaron con MENOS sintomas depresivos (referencial con el efecto mas marcado, incl. efecto entre-hermanos) y que OBLIGACION no se asocio; el texto del report (L9) invierte esa atribucion (agrupa 'familia como referente' con obligacion como no protectora). Se anota la discrepancia potencial; no se resuelve en este lote.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica, no es payload de encuesta)	ASTRA5-MESA-FAMILIA	Cotejar direccion del efecto (apoyo/referente/obligacion) contra el articulo completo de Zeiders et al. 2013 antes de citar b=-0.15 como vigente.	CONC-DOC-ZEIDERS-2013		u0busca -q 'familismo' -> 0/113780 con texto (314256 identidades); u0pdf -q 'familismo|Zeiders|marianismo|Trevor Project' -> 0/349 PDF; WebSearch 'Zeiders 2013 familism support obligation referent depressive symptoms Mexican American adolescents' (23/sep/2026)	FAMILIA_CUIDADOS	Cambiaria si el texto completo de Zeiders et al. 2013 confirma que 'familia como referente' predijo MENOS depresion (como indican los resumenes publicos) y no mas, invalidando la atribucion del report; o si una replica en muestra mexicana residente confirma signo y magnitud declarados.
ASTRA5-U0-FAM-002	familia-002	LECTURA-188f152f-02	L11	México combina colectivismo alto (IDV 30) con la indulgencia más alta del mundo (IVR 97). Esta combinación es globalmente única y co-varía con un colectivismo emocionalmente cálido, festivo y expresivo (c), distinto del deber formal asiático o la restricción mediterránea.	MEDIA (dedup TRANS-CONS-HOFSTEDE-FP293; el propio report anota en L191 'Corregido 4/sep/2026 (FP-293): co-variacion, no causa demostrada')	CIFRA-PUBLICADA	(c) marco importado/extranjero	puntuaciones pais-nivel IDV/IVR de Hofstede para Mexico; sin componente individual observable (indice agregado de pais)	Indice de pais, no de persona; base original de Hofstede = empleados IBM anios 70 (lo admite L77 del propio report); co-variacion no es mecanismo causal (ya corregido por FP-293 en el propio texto).	unidad=pais (no persona); universo=Mexico vs. otros paises en base Hofstede	Hofstede Insights / Values Survey Module, sin ola INEGI	SIN-ID-MANIFIESTO (u0pdf -q Hofstede -> 0/349 PDF)	no aplica (indice compuesto, no reactivo unico)	MEDIBLE-CON-ADQUISICIÓN	Documento identificado: Hofstede Insights, 'Country Comparison: Mexico' (base de datos comercial en linea). faltante: tabla de puntuaciones IDV/IVR/PDI/UAI -- no registrada en manifiesto. Gobernanza ya existente en el repo: FP-293/ADR-06 fija estos indices como correlato (c) en tier MEDIA; ADR-31 retira asignacion honor-rural/dignidad-urbana (dedup TRANS-CONS-HOFSTEDE-FP293). Este lote enlaza, no reabre.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Ninguna reapertura; VER-CONTRATO dedup TRANS-CONS-HOFSTEDE-FP293/ADR-06/ADR-31 para el estatus definitivo.	TRANS-CONS-HOFSTEDE-FP293		u0pdf -q 'Hofstede' -> 0/349 PDF; paquete: cruce TRANS-CONS-HOFSTEDE-FP293 (lectura-transversal, lectura-consumidor, lectura-emociones-morales)	FAMILIA_CUIDADOS	Tier MEDIA se sostiene mientras ADR-06/FP-293 no se reabran; cambiaria si mesa reevalua la fijacion de Hofstede como correlato en otro acto.
ASTRA5-U0-FAM-003	familia-003	LECTURA-188f152f-03	L13	Los precios de vivienda subieron 42% en 16 años mientras los salarios reales cayeron 21%.	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico	indice de precios de vivienda a nivel nacional, variacion acumulada en una ventana de 16 anios	El report no cita fuente ni anios base/terminal exactos; distintas series (SHF, INEGI, BIS) pueden dar variaciones distintas para 16 anios distintos.	unidad=vivienda/mercado; universo=nacional; periodo=ventana de 16 anios (no declarada por el report)	candidato: SHF Indice SHF de Precios de la Vivienda en Mexico (o serie BIS/INEGI); ola/periodo no identificado	SIN-ID-MANIFIESTO	no aplica (indice de precios, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documento no identificado con precision (el report no cita fuente ni anios). faltante: serie de indice de precios de vivienda (SHF o INEGI) que produzca +42% en una ventana de 16 anios -- no registrada en manifiesto.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Identificar periodo exacto y serie (SHF/INEGI/BIS); registrar el documento en manifiesto.	CONC-DOC-VIVIENDA-PRECIOS-16A		u0mf --busca vivienda --busca indice -> 0 coincidencias exactas de serie de precios	DINERO	Cambiaria si la serie identificada muestra una variacion distinta a +42% en la ventana de 16 anios finalmente identificada.
ASTRA5-U0-FAM-004	familia-004	LECTURA-188f152f-03	L13	Los precios de vivienda subieron 42% en 16 años mientras los salarios reales cayeron 21%. (misma oración de L13, componente salarios)	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico	indice de salario real a nivel nacional, variacion acumulada	Fuente y periodo exacto no declarados por el report; salario real puede referirse a salario minimo, salario contractual o ingreso laboral promedio ENOE -- cada uno con serie distinta.	unidad=trabajador/salario; universo=nacional; periodo=ventana no declarada por el report	candidato: STPS/Banxico indice de salario real, o ENOE ingreso laboral real; ola no identificada	SIN-ID-MANIFIESTO	no aplica (indice macro, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documento no identificado con precision (el report no cita fuente ni anios). faltante: serie de salario real (STPS/Banxico/ENOE) que produzca -21% en la misma ventana que la cifra de vivienda -- no registrada en manifiesto.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Identificar serie y periodo exactos; registrar el documento en manifiesto.	CONC-DOC-SALARIOREAL-16A		u0mf --busca salario --busca real -> no corrido (misma familia de busqueda que familia-003, ver busquedas.log)	TRABAJO	Cambiaria si la serie identificada muestra una caida distinta a -21% en la ventana identificada.
ASTRA5-U0-FAM-005	familia-005	LECTURA-188f152f-03	L13	La edad de independización llegó a 28.9 años y sigue aumentando.	NO-EXPLICITO (L181 da comparadores internacionales: Espania 30.4, Italia 30.0, Grecia 30.6)	CIFRA-PUBLICADA	primaria Mexico	edad promedio de salida del hogar parental, y su tendencia en el tiempo (serie, no solo un punto)	'Sigue aumentando' exige una serie de al menos 2 puntos; el report da un solo valor (28.9) sin anio de referencia declarado.	unidad=persona joven; universo=nacional; ola=no declarada por el report (candidato Censo 2020/Encuesta Intercensal/ENIGH)	candidato: INEGI Censo de Poblacion y Vivienda / Encuesta Intercensal, edad de abandono del hogar	SIN-ID-MANIFIESTO	no aplica (indicador derivado, no reactivo unico); u0busca -q 'independizacion|emancipacion|dejo el hogar' -> 0 aciertos en 314256 identidades	MEDIBLE-CON-ADQUISICIÓN	Documento no identificado con precision por el report (no cita anio ni serie). faltante: tabulado de edad de salida del hogar (Censo/Encuesta Intercensal/ENIGH) con al menos 2 puntos en el tiempo para sostener 'sigue aumentando' -- no registrado en manifiesto.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Identificar la serie censal/Intercensal que sostiene 28.9 anios y su tendencia; registrar en manifiesto.	CONC-DOC-EDADINDEP-289		u0busca -q 'independizacion|emancipacion|dejo el hogar' -> 0/314256 identidades	FAMILIA_CUIDADOS	Cambiaria si la serie identificada no muestra tendencia creciente, o si el valor puntual difiere de 28.9.
ASTRA5-U0-FAM-006	familia-006	LECTURA-188f152f-03	L13;L241 (Mito 2)	La corresidencia prolongada es cada vez más económica y menos cultural. [Mito2, L241: “la elección cultural es cada vez más una racionalización de la restricción económica”]	NO-EXPLICITO	INTERPRETACION-DEL-REPORT	primaria Mexico	atribucion causal: el peso relativo de restriccion economica vs. preferencia cultural como motor de la corresidencia	Atribucion causal construida por recombinacion de tres series de fuente/universo distintos (vivienda, salarios, edad de salida) sin diseno que identifique el peso causal relativo de cada factor frente a preferencias culturales declaradas.	unidad=hogar; universo=nacional; sin ola unica (sintesis)	NO-APLICA (interpretacion, no instrumento)	NO-APLICA	no aplica	NO-MEDIBLE-POR-DISEÑO	Es una atribucion causal (economia desplaza a cultura) construida por recombinacion de las filas familia-003/004/005 (fuente/universo distintos) sin diseno identificador. Busqueda: u0busca -q 'independizacion|emancipacion|dejo el hogar' -> 0/314256 identidades; no se identifico instrumento en este corpus que mida directamente 'motivo cultural vs. economico' de la corresidencia declarado por el propio hogar. No se identifico instrumento tras este recorrido; no equivale a imposibilidad universal -- un modulo de panel con pregunta de motivo podria acotarlo.	NO-APLICA; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Diferido: requeriria panel con pregunta de motivo de corresidencia antes/despues de choque de precios de vivienda.	CONC-DOC-CORRESIDENCIA-CAUSAL		u0busca -q 'independizacion|emancipacion|dejo el hogar' -> 0/314256; u0busca -q 'regreso a vivir|volvio a vivir con sus padres' -> 0/314256 (para Mito2/boomerang, ver familia-043)	FAMILIA_CUIDADOS	Se acotaria con un diseno de panel que mida corresidencia antes/despues de un choque exogeno de precios de vivienda, controlando preferencia declarada; ningun diseno observacional simple lo falsea.
ASTRA5-U0-FAM-007	familia-007	LECTURA-188f152f-04	L15	El 95.3% de los cuidadores familiares son mujeres. [Patrón4, L104: el 62.3% no recibe remuneración]	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico	sexo de la persona que provee cuidado a otro integrante del hogar/familia, y si recibe remuneracion por ello	El % nacional publicado (95.3%/62.3%) no se recalculo aqui; el instrumento identificado permite el computo pero U0 no abrio microdato.	unidad=persona cuidadora; universo=personas de 12+ anios que reportan actividades de cuidado en el hogar; ola=ENUT 2024	ENUT 2024	enut2024_fd_xlsx|4a7dddf1bc0612f5e72694b146848804edc47d8f00c86e7d34d1cfb8f5ec3f58|hoja TVAR_CREA fila 63 (variable derivada); modulo base hoja TMODULO	ACTIV_CUID_PER 'Actividades de cuidado personal' (variable derivada); pregunta base P6_11_01..14 '(NOMBRE(S)) necesito(aron) cuidados de otra persona. Durante la semana pasada... ¿usted le(s)...?'; codigos por extraer de enut2024_fd_xlsx hoja TMODULO	MEDIBLE-EN-CORPUS	ENUT 2024 tiene modulo completo de cuidado (P6_11_01-14, filtros S6_11-15) y variable derivada ACTIV_CUID_PER con identificacion de quien cuida; el sexo de la persona cuidadora es cruzable via TSDEM. U0 no abrio microdato; el % exacto 95.3/62.3 no se recomputo en este lote.	enut2024_bd_csv|25f35626464053441b367b24001d255dbca408b5f576e614e0e09ac58691c4ba|raiz data_raw; U0 no abrio microdato		u0mf --calc enut2024_bd_csv -> 6 corridas, 4 SELLADAS (CALC-ENUT-0001, CALC-ENUT2024-DISTRIBUCION-HORAS-0002, CALC-ENUT2024-NUCLEO-EJES-0001, CALC-ENUT2024-PARTICIPACION-INTENSIDAD-0001); ninguna listada en RESULTS-ASTRA5.md (no es frente ASTRA5); no verificado si alguna reproduce 95.3%/62.3% -- pendiente para quien adopte. Dedup FAMILIA-GENERO-VEJEZ-CUIDADOS: % de cuidadoras de mayores es medida distinta de TIME-002 (39.7/18.2h).	ASTRA5-U1	Verificar si CALC-ENUT2024-NUCLEO-EJES-0001 o -DISTRIBUCION-HORAS-0002 ya cubre sexo-de-cuidador; si no, encargar CALC nuevo con codigos de TMODULO/TSDEM.	CONC-ENUT2024-ACTIV_CUID_PER-SEXO		u0busca -q 'cuidado' --encuesta enut --ola 2024 -> 104/314256 con texto; u0busca -q 'Actividades de cuidado personal' -> 2 aciertos; u0mf --calc enut2024_bd_csv -> 6 corridas	FAMILIA_CUIDADOS	
ASTRA5-U0-FAM-008	familia-008	LECTURA-188f152f-04	L15;L103 (Patron4)	Destinan 54.3 horas semanales al cuidado. [Patrón4, L103: “vs. 30.2 los hombres”]	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico	horas semanales dedicadas a actividades de cuidado, por sexo, entre quienes cuidan	Universo = personas que YA cuidan (subpoblacion seleccionada), distinto del promedio poblacional general de trabajo no remunerado (39.7h mujeres/18.2h hombres, TIME-002/dedup ENUT-HORAS-NO-REM); no comparar ambos por coincidencia de instrumento.	unidad=persona cuidadora; universo=personas que reportan horas de cuidado en la semana de referencia, por sexo; ola=ENUT 2024	ENUT 2024	enut2024_fd_xlsx|4a7dddf1bc0612f5e72694b146848804edc47d8f00c86e7d34d1cfb8f5ec3f58|hoja TMODULO (modulo 6, horas de cuidado)	modulo P6_11_01-14 (actividades de cuidado) con horas asociadas; codigos y agregacion de horas por extraer de enut2024_fd_xlsx hoja TMODULO	MEDIBLE-EN-CORPUS	ENUT 2024 permite calcular horas de cuidado por sexo entre cuidadores; U0 no abrio microdato ni recomputo 54.3/30.2h. dedup ENUT-HORAS-NO-REM: esta cifra NO es el mismo estimando que 39.7/18.2h (TIME report) ni que la brecha 21.5 (Vejez report) -- universos distintos (cuidadores seleccionados vs. poblacion general).	enut2024_bd_csv|25f35626464053441b367b24001d255dbca408b5f576e614e0e09ac58691c4ba|raiz data_raw; U0 no abrio microdato		u0mf --calc enut2024_bd_csv -> 6 corridas, 4 SELLADAS (ver familia-007); CALC-ENUT2024-DISTRIBUCION-HORAS-0002 (nombre sugiere horas por eje/sexo) no verificado si reproduce 54.3/30.2h.	ASTRA5-U1	Leer RESULT de CALC-ENUT2024-DISTRIBUCION-HORAS-0002 para ver si ya cubre horas-de-cuidado por sexo entre cuidadores (no solo promedio poblacional).	CONC-ENUT2024-HORAS-CUIDADO-SEXO		mismo u0busca de familia-007; dedup del paquete: ENUT-HORAS-NO-REM (lectura-familia-v1_0.tsv:L04 y reports Tiempo/Vejez)	FAMILIA_CUIDADOS	
ASTRA5-U0-FAM-009	familia-009	LECTURA-188f152f-04	L15	El trabajo de cuidado no remunerado equivale al 26.3% del PIB.	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico	valoracion monetaria del trabajo no remunerado de los hogares como proporcion del PIB nacional (cuenta satelite, no encuesta de hogares)	Es una cuenta macroeconomica agregada (INEGI), universo y metodo distinto del microdato de personas de ENUT; no se deriva de la misma tabla que familia-007/008.	unidad=cuenta nacional (no persona); universo=PIB nacional; ola=Cuenta Satelite del Trabajo No Remunerado de los Hogares de Mexico (anio no declarado por el report)	candidato: INEGI Cuenta Satelite del Trabajo No Remunerado de los Hogares de Mexico	SIN-ID-MANIFIESTO (u0mf --busca cuenta --busca satelite -> 0 coincidencias)	no aplica (cuenta macroeconomica, no reactivo)	MEDIBLE-CON-ADQUISICIÓN	Documento identificado por nombre generico (INEGI publica esta cuenta satelite anualmente) pero no registrado en manifiesto y el anio exacto que da 26.3% no esta declarado por el report. faltante: publicacion de la Cuenta Satelite del Trabajo No Remunerado de los Hogares de Mexico, anio a precisar -- no registrada en manifiesto.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica; U0 no abrio microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica, no es payload de encuesta)	ASTRA5-U1	Registrar en manifiesto la edicion de la Cuenta Satelite correspondiente y precisar el anio.	CONC-DOC-CUENTASATELITE-TNR		u0mf --busca cuenta --busca satelite -> 0/1680; u0mf --busca no_remunerado -> 0/1680; u0mf --busca satelite -> 0/1680	FAMILIA_CUIDADOS	
ASTRA5-U0-FAM-010	familia-010	LECTURA-188f152f-04	L15	No existe sistema nacional de cuidados.	NO-EXPLICITO	NORMA-O-ACTO-DOCUMENTAL	primaria Mexico	existencia/estatus legislativo de un Sistema Nacional de Cuidados en Mexico a la fecha de corte del report	Verificar una ausencia normativa requiere confirmar el estatus legislativo vigente (hubo iniciativas de Ley General de Cuidados en 2022-2024); este lote no verifico el estatus a sept-2026.	unidad=norma/politica publica; universo=nacional; fecha=corte del report (no declarada)	NO-APLICA (norma/politica, no encuesta)	SIN-ID-MANIFIESTO	no aplica	PENDIENTE-VERIFICACION-DOCUMENTAL	No se comprobo en este lote el estatus legislativo vigente del Sistema Nacional/Ley General de Cuidados en Mexico a sept-2026 (fuera del presupuesto web de este lote, prioridad baja por ser afirmacion NO-EXPLICITO). No se maquilla como MEDIBLE.	SIN-ID-MANIFIESTO|no-aplica|raiz no-aplica		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-U1	Verificar en DOF/Camara de Diputados el estatus de la Ley General de Cuidados / Sistema Nacional de Cuidados a la fecha de cierre de este acto.	CONC-DOC-SISTEMANACIONALCUIDADOS		no se ejecuto busqueda web para este punto (presupuesto de 12 consultas priorizado a G01/G15)	FAMILIA_CUIDADOS	
