unidad	tipo	filas_o_contratos	razon
LECTURA-e317fefe-01	G	ASTRA5-U0-GEN-002	
LECTURA-e317fefe-01	F	ASTRA5-U0-GEN-002	
LECTURA-e317fefe-02	G	ASTRA5-U0-GEN-003	
LECTURA-e317fefe-02	F	ASTRA5-U0-GEN-003	
LECTURA-e317fefe-03	G	ASTRA5-U0-GEN-004	
LECTURA-e317fefe-03	F	ASTRA5-U0-GEN-004	
LECTURA-e317fefe-04	G	ASTRA5-U0-GEN-005	
LECTURA-e317fefe-04	F	ASTRA5-U0-GEN-005	
LECTURA-e317fefe-05	G	ASTRA5-U0-GEN-006	
LECTURA-e317fefe-05	F	ASTRA5-U0-GEN-006	
LECTURA-e317fefe-06	G	ASTRA5-U0-GEN-007	
LECTURA-e317fefe-06	F	ASTRA5-U0-GEN-007	
LECTURA-e317fefe-07	G	ASTRA5-U0-GEN-009;ASTRA5-U0-GEN-010;ASTRA5-U0-GEN-011;ASTRA5-U0-GEN-012	
LECTURA-e317fefe-07	F	ASTRA5-U0-GEN-009;ASTRA5-U0-GEN-010;ASTRA5-U0-GEN-011;ASTRA5-U0-GEN-012	
LECTURA-e317fefe-08	G	ASTRA5-U0-GEN-013;ASTRA5-U0-GEN-014	
LECTURA-e317fefe-08	F	ASTRA5-U0-GEN-013;ASTRA5-U0-GEN-014	
LECTURA-e317fefe-09	G	ASTRA5-U0-GEN-015;ASTRA5-U0-GEN-016	
LECTURA-e317fefe-09	F	ASTRA5-U0-GEN-015;ASTRA5-U0-GEN-016	
LECTURA-e317fefe-10	G	ASTRA5-U0-GEN-017	
LECTURA-e317fefe-10	F	ASTRA5-U0-GEN-017	
LECTURA-e317fefe-11	G	ASTRA5-U0-GEN-018	
LECTURA-e317fefe-11	F	ASTRA5-U0-GEN-018	
LECTURA-e317fefe-12	G	ASTRA5-U0-GEN-019	
LECTURA-e317fefe-12	F	ASTRA5-U0-GEN-019	
LECTURA-e317fefe-13	G	ASTRA5-U0-GEN-020;ASTRA5-U0-GEN-021	
LECTURA-e317fefe-13	F	ASTRA5-U0-GEN-020;ASTRA5-U0-GEN-021	
LECTURA-e317fefe-14	G	ASTRA5-U0-GEN-022	
LECTURA-e317fefe-14	F	ASTRA5-U0-GEN-022	
LECTURA-e317fefe-15	G	ASTRA5-U0-GEN-023	
LECTURA-e317fefe-15	F	ASTRA5-U0-GEN-023	
GENERO-INTERNO-01	F	ENLACE;ASTRA5-U0-GEN-024;ASTRA5-U0-GEN-025	
GENERO-INTERNO-02	F		DEDUP: genero-001;genero-002;genero-003;genero-004 — Patrones 1-3 (L91-116) elaboran las mismas cuatro afirmaciones ya filadas (Arciniega/Nuñez/Castillo/Wheeler), sin componente empírico nuevo.
GENERO-INTERNO-03	F	ASTRA5-U0-GEN-006;ASTRA5-U0-GEN-007;ASTRA5-U0-GEN-008;ASTRA5-U0-GEN-009;ASTRA5-U0-GEN-010;ASTRA5-U0-GEN-011;ASTRA5-U0-GEN-012;ASTRA5-U0-GEN-013;ASTRA5-U0-GEN-017;ASTRA5-U0-GEN-018;ASTRA5-U0-GEN-019;ASTRA5-U0-GEN-022;ASTRA5-U0-GEN-026	
GENERO-INTERNO-04	F	ASTRA5-U0-GEN-014;ASTRA5-U0-GEN-020;ASTRA5-U0-GEN-021;ASTRA5-U0-GEN-027;ASTRA5-U0-GEN-028;ASTRA5-U0-GEN-029;ASTRA5-U0-GEN-031	
GENERO-INTERNO-05	F	ASTRA5-U0-GEN-030;ASTRA5-U0-GEN-032;ASTRA5-U0-GEN-033	
