unidad	tipo	filas_o_contratos	razon
LECTURA-c42009a3-01	G	ENLACE;ASTRA5-U0-GENBEH-009;ASTRA5-U0-GENBEH-010;ASTRA5-U0-GENBEH-011	
LECTURA-c42009a3-02	G	ASTRA5-U0-GENBEH-012;ASTRA5-U0-GENBEH-013;ASTRA5-U0-GENBEH-014	
LECTURA-c42009a3-03	G	ASTRA5-U0-GENBEH-015;ASTRA5-U0-GENBEH-016	
LECTURA-c42009a3-04	G	ASTRA5-U0-GENBEH-017;ASTRA5-U0-GENBEH-018;ASTRA5-U0-GENBEH-019;ASTRA5-U0-GENBEH-020	
LECTURA-c42009a3-05	G	ENLACE;ASTRA5-U0-GENBEH-021;ASTRA5-U0-GENBEH-022	
LECTURA-c42009a3-06	G	ENLACE;ENLACE	
LECTURA-c42009a3-07	G	ASTRA5-U0-GENBEH-023;ASTRA5-U0-GENBEH-024;ASTRA5-U0-GENBEH-025;ASTRA5-U0-GENBEH-026	
LECTURA-c42009a3-08	G	ASTRA5-U0-GENBEH-027;ASTRA5-U0-GENBEH-028;ASTRA5-U0-GENBEH-029;ASTRA5-U0-GENBEH-030;ASTRA5-U0-GENBEH-031	
LECTURA-c42009a3-09	G	ASTRA5-U0-GENBEH-032;ASTRA5-U0-GENBEH-033;ASTRA5-U0-GENBEH-034	
LECTURA-c42009a3-10	G	ASTRA5-U0-GENBEH-035	
LECTURA-c42009a3-11	G	ASTRA5-U0-GENBEH-036	
LECTURA-c42009a3-12	G	ASTRA5-U0-GENBEH-037	
TIER-c42009a3-L154	T	ASTRA5-U0-GENBEH-032;ASTRA5-U0-GENBEH-033	
TIER-c42009a3-L167	T	ASTRA5-U0-GENBEH-017;ASTRA5-U0-GENBEH-018	
LECTURA-c42009a3-01	F	ENLACE;ASTRA5-U0-GENBEH-009;ASTRA5-U0-GENBEH-010;ASTRA5-U0-GENBEH-011	
LECTURA-c42009a3-02	F	ASTRA5-U0-GENBEH-012;ASTRA5-U0-GENBEH-013;ASTRA5-U0-GENBEH-014	
LECTURA-c42009a3-03	F	ASTRA5-U0-GENBEH-015;ASTRA5-U0-GENBEH-016	
LECTURA-c42009a3-04	F	ASTRA5-U0-GENBEH-017;ASTRA5-U0-GENBEH-018;ASTRA5-U0-GENBEH-019;ASTRA5-U0-GENBEH-020	
LECTURA-c42009a3-05	F	ENLACE;ASTRA5-U0-GENBEH-021;ASTRA5-U0-GENBEH-022	
LECTURA-c42009a3-06	F	ENLACE;ENLACE	
LECTURA-c42009a3-07	F	ASTRA5-U0-GENBEH-023;ASTRA5-U0-GENBEH-024;ASTRA5-U0-GENBEH-025;ASTRA5-U0-GENBEH-026	
LECTURA-c42009a3-08	F	ASTRA5-U0-GENBEH-027;ASTRA5-U0-GENBEH-028;ASTRA5-U0-GENBEH-029;ASTRA5-U0-GENBEH-030;ASTRA5-U0-GENBEH-031	
LECTURA-c42009a3-09	F	ASTRA5-U0-GENBEH-032;ASTRA5-U0-GENBEH-033;ASTRA5-U0-GENBEH-034	
LECTURA-c42009a3-10	F	ASTRA5-U0-GENBEH-035	
LECTURA-c42009a3-11	F	ASTRA5-U0-GENBEH-036	
LECTURA-c42009a3-12	F	ASTRA5-U0-GENBEH-037	
GENCON-INTERNO-01	F		NO-AFIRMACION: marco conceptual/definición metodológica (5 niveles causales, canal legítimo/prohibido) — encabezado editorial que rige la lectura de G01-G12, no es en sí una afirmación empírica dictaminable
GENCON-INTERNO-02	F	ENLACE;ASTRA5-U0-GENBEH-009;ASTRA5-U0-GENBEH-010;ASTRA5-U0-GENBEH-011;ASTRA5-U0-GENBEH-012;ASTRA5-U0-GENBEH-013;ASTRA5-U0-GENBEH-015	DEDUP: detalle de Patrón A (L81-101) ya cubierto en las filas de G01/G02/G03
GENCON-INTERNO-03	F	ASTRA5-U0-GENBEH-023;ASTRA5-U0-GENBEH-024;ASTRA5-U0-GENBEH-025;ASTRA5-U0-GENBEH-026	DEDUP: detalle de Patrón B (L103-116) ya cubierto en las filas de G07
GENCON-INTERNO-04	F	ENLACE;ASTRA5-U0-GENBEH-021;ASTRA5-U0-GENBEH-022;ENLACE;ENLACE;ASTRA5-U0-GENBEH-027;ASTRA5-U0-GENBEH-028;ASTRA5-U0-GENBEH-029;ASTRA5-U0-GENBEH-030;ASTRA5-U0-GENBEH-031;ASTRA5-U0-GENBEH-032;ASTRA5-U0-GENBEH-033;ASTRA5-U0-GENBEH-034	DEDUP: detalle de Patrones C/D/E (L118-158) ya cubierto en las filas de G05/G06/G08/G09
GENCON-INTERNO-05	F	ASTRA5-U0-GENBEH-017;ASTRA5-U0-GENBEH-018;ASTRA5-U0-GENBEH-019;ASTRA5-U0-GENBEH-020	DEDUP: detalle de Patrón F (L160-174) ya cubierto en las filas de G04
GENCON-INTERNO-06	F	ASTRA5-U0-GENBEH-038	
