id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	genetica-conductual-001	LECTURA-c42009a3-01	L9-L90	La variante protectora ADH1B rs1229984 (alelo *2/His48) reduce causalmente el consumo de alcohol a nivel individual: portadores del alelo A consumieron 17.2% menos unidades/semana (IC95 15.6-18.9%), OR binge 0.78 (0.73-0.84), mayor abstención OR 1.27 (Holmes et al. BMJ 2014, 56 estudios, N=261,991).	FUERTE (más sólido)	ENLACE	marco importado/extranjera	Enlace a los tres desenlaces ya cerrados de Holmes et al. 2014 (volumen, binge, abstención)	Ver contratos citados: portador/no-portador, no efecto por alelo; ascendencia europea, no mexicana	persona; participantes de meta-análisis MR mayormente de ascendencia europea	Holmes et al., BMJ 349:g4164 (2014)	SIN-ID|3800caa104c13569996d32da02d83a52350cfdde2f3eb1e08a0cada8431fb3c5|Tabla 1/Métodos	VER-CONTRATO	MEDIBLE-CON-ADQUISICIÓN	Las tres cifras citadas en L9 ya están cerradas por ASTRA5-U0-GENBEH-006/007/008; esta fila solo enlaza esa cobertura al hallazgo G01 completo.	SIN-ID-MANIFIESTO|3800caa104c13569996d32da02d83a52350cfdde2f3eb1e08a0cada8431fb3c5|raíz data_raw (PDF aún no registrado en manifiesto); U0 no abrió microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0, documento no tiene payload_id)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	Ninguna: componente cerrado por GENBEH-006/007/008; ver filas 002-004 para el residual (mecanismo MR, R², transferencia a México).	CONC-DOC-HOLMES-2014	ASTRA5-U0-GENBEH-006;ASTRA5-U0-GENBEH-007;ASTRA5-U0-GENBEH-008	mapa-parcial-v0_1.tsv grep GENBEH → filas 006-008 confirmadas (ver paquete)	GENETICA	N/A (fila de enlace; falsador va en los contratos citados)
ASTRA5-U0-GENBEH-009	genetica-conductual-002	LECTURA-c42009a3-01	L83-L90	Mecanismo: mayor actividad ADH1B → acetaldehído más rápido → reacción displacentera → menor consumo. El instrumento (randomización mendeliana) explica solo ~0.1% de la varianza del consumo (R²≈0.1%).	FUERTE (más sólido)	INTERPRETACION-DEL-REPORT	marco importado/extranjera	Validez de los supuestos instrumentales de la randomización mendeliana (independencia, exclusión) que sostienen la lectura causal, y origen de la cifra R²≈0.1%	El mecanismo bioquímico y la validez del instrumento MR no fueron cotejados por U0 contra el texto de Métodos del artículo (SIN-ID, no descargado a pdftxt/); R²≈0.1% no tiene fuente localizada por el report ni por esta sesión	persona; mismo universo MR de Holmes et al. (ascendencia europea, N=261,991)	Holmes et al., BMJ 349:g4164 (2014)	SIN-ID|3800caa104c13569996d32da02d83a52350cfdde2f3eb1e08a0cada8431fb3c5|Métodos (página exacta no cotejada)	No aplica (afirmación documental/metodológica, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	El documento primario está identificado (DOI 10.1136/bmj.g4164) y su SHA ya se conoce (mismo PDF que GENBEH-006/007/008), pero U0 no cotejó la sección de Métodos que sostiene la validez del instrumento MR ni localizó la cifra R²≈0.1% dentro del propio texto; falta registrar el PDF en el manifiesto (id) y citar página exacta.	SIN-ID-MANIFIESTO|3800caa104c13569996d32da02d83a52350cfdde2f3eb1e08a0cada8431fb3c5|raíz data_raw; U0 no abrió microdato		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: registrar Holmes et al. 2014 BMJ (PDF, SHA conocido) en data/manifiesto.yaml con id propio; cotejar sección Métodos para supuestos MR y localizar la cifra R²≈0.1% (no confirmada esta sesión, sin presupuesto web restante en el lote).	CONC-DOC-HOLMES-2014-METODOS		u0mf --busca <apellido> → 0 entradas para holmes, karlsson, duncan, moreno, byrd, caspi, bierut, sanchez, anokhin, sharafi, buchwald, lerman, lisker, konishi, garcia, drd2, maoa (de 1680); ninguno de los artículos citados por el report está registrado en el manifiesto ni en pdftxt/ (349 PDF cacheados, 0 coincidencias de nombre de archivo); verificado por mí 24/sep/2026	GENETICA	Cambiaría si el artículo mostrara que el supuesto de exclusión de la MR no se sostiene (pleiotropía de rs1229984 sobre otros rasgos que también afecten el consumo declarado) o si R²≈0.1% no proviniera de este estudio sino de una extrapolación del propio report.
ASTRA5-U0-GENBEH-010	genetica-conductual-003	LECTURA-c42009a3-01	L94	El canal individual ADH1B es real y no trivial a nivel de persona, pero es agnóstico a la ascendencia: no explica ni podría explicar patrones de consumo "del mexicano".	FUERTE (más sólido)	INTERPRETACION-DEL-REPORT	no-aplica	(a) INDIVIDUAL-ADQUIRIBLE: asociacion/replicacion del efecto ADH1B rs1229984->consumo de alcohol declarado en personas residentes en Mexico, con datos individuales linkeados genotipo+cuestionario en la cohorte Mexico City Prospective Study (MCPS); (b) GRUPAL-PROHIBIDO: usar esa asociacion individual para explicar patrones de consumo 'del mexicano' como grupo -- PROHIBIDO por firewall genetico, exista o no el dato.	(a) MCPS (Tapia-Conyer et al. 2006, Int J Epidemiol) registra consumo de alcohol autorreportado (frecuencia/cantidad/tipo: nunca/exregular/ocasional/regular <70,70-140,140-210,>=210 g/semana) en ~150,000 adultos residentes en Coyoacan e Iztapalapa (CDMX), y tiene genotipado+exoma de 141,046 y secuenciacion completa de 9,950 participantes (Regeneron/Oxford, Nature 2023). U0 no verifico que exista ya un analisis publicado de ADH1B rs1229984 x alcohol especificamente en MCPS; falta acceso a datos individuales linkeados via solicitud de investigador. (b) Aunque existiera esa asociacion en MCPS, el firewall genetico (Sec.3 instrucciones-proyecto) prohibe convertirla en explicacion de 'patrones del mexicano' como grupo: el veredicto original del report sobre agnosticismo a la ascendencia sigue siendo el limite correcto para el componente grupal y no se reabre.	persona residente en México, adulta; ninguna población muestreada en el corpus con genotipo	ninguno identificado		No aplica	MEDIBLE-CON-ADQUISICIÓN	Componente (a) es observable con instrumento identificado y documento primario leido en este lote: MCPS es una cohorte prospectiva de ~150,000 adultos residentes en Mexico (Coyoacan, Iztapalapa; reclutados 1998-2004) cuyo cuestionario basal registra consumo de alcohol (confirmado via Lancet Public Health 2024/2025, 'Alcohol and mortality in Mexico: prospective study of 150 000 adults', y via la ficha del Cohort Profile: Tapia-Conyer R, Kuri-Morales P, Alegre-Diaz J, Whitlock G, Emberson J, Clark S, Peto R, Collins R. 'Cohort Profile: The Mexico City Prospective Study'. Int J Epidemiol. 2006;35(2):243-249, DOI 10.1093/ije/dyl042) y cuyo genotipado/exoma (141,046 participantes) y secuenciacion completa (9,950) se publico en Nature 2023 (PMID 37821707, 'Genotyping, sequencing and analysis of 140,000 adults from the Mexico City Prospective Study'). Acceso a datos individuales via solicitud de investigador bona fide: https://mcps-epcm.org/study.html (plataforma DNAnexus) y https://www.ctsu.ox.ac.uk/research/mcps. No se verifico un analisis publicado ya-hecho de ADH1B especificamente contra la variable de alcohol de MCPS: eso es lo que falta adquirir/correr. Componente (b) permanece fuera por firewall genetico, no por falta de dato -- no se reabre.			ninguna corrida con ADH1B x MCPS (u0mf --calc: no aplica, sin payload_id; MCPS/MXB no estan en el manifiesto de este corpus: u0mf --busca mcps/genom/mxb/biobank -> 0 de 1680)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: acceso a datos individuales linkeados de MCPS (genotipo ADH1B rs1229984 + variable de consumo de alcohol del cuestionario basal) via solicitud de investigador bona fide en https://mcps-epcm.org/study.html (DNAnexus) y https://www.ctsu.ox.ac.uk/research/mcps; cotejar si MCPS ya publico o puede correr el analisis especifico ADH1B->alcohol. La parte grupal/poblacional sigue NO-MEDIBLE-POR-DISEÑO por firewall genetico y no se reabre bajo ninguna circunstancia.	CONC-DOC-ADH1B-TRANSFERENCIA-MX		PREVIO: u0busca -q adh1b|aldh2|cyp2a6|tas2r38|drd2|ankk1|maoa -> 0 con texto; u0mf --busca genotipo/polimorfismo -> 0. SEGUNDA PASADA (24/sep/2026): u0mf --busca mcps/genom/mxb/biobank -> 0 de 1680 (MCPS no esta en el manifiesto, es literatura externa citada en corpus/reports/Mexican_Population_Genomics...md); WebSearch 'Mexico City Prospective Study cohort profile alcohol consumption questionnaire baseline recruitment' -> confirma consumo de alcohol autorreportado (frecuencia/cantidad/tipo) en 150,000 participantes, Lancet Public Health 2024; WebSearch 'Mexico City Prospective Study genotype data access application Regeneron researchers' -> confirma genotipado/exoma 141,046 (Nature 2023) y acceso via DNAnexus; WebFetch academic.oup.com/ije/article/35/2/243/694920 -> cita exacta Tapia-Conyer et al. 2006, DOI 10.1093/ije/dyl042; WebSearch 'Mexico City Prospective Study data access committee application individual-level genetic phenotype data researchers' -> confirma politica de acceso bona-fide via https://mcps-epcm.org/study.html.	GENETICA	Cambiaria (solo para el componente individual) si MCPS permitiera correr o publicara un analisis de asociacion/MR entre ADH1B rs1229984 y consumo de alcohol autorreportado en su muestra, replicando o matizando a Holmes et al. 2014; el componente grupal no tiene falsador porque esta prohibido por diseño normativo del proyecto, no por evidencia.
ASTRA5-U0-GENBEH-011	genetica-conductual-004	LECTURA-c42009a3-01;GENCON-INTERNO-02	L89	En estudios caso-control europeos y afroamericanos (Bierut et al., Molecular Psychiatry 2012), el alelo His48 confiere OR≈0.34 (0.24-0.48) de dependencia alcohólica, con significancia genómica.	FUERTE (más sólido, detalle de patrón A)	CIFRA-PUBLICADA	marco importado/extranjera	OR≈0.34 de dependencia alcohólica asociado al alelo His48 de ADH1B en caso-control europeo/afroamericano (Bierut et al. 2012)	Estudio caso-control (no MR); ascendencia europea/afroamericana, no mexicana. Documento confirmado y leido en este lote (abstract via PubMed/eutils), no en el manifiesto de U0 (falta registrarlo).	persona; casos de dependencia alcohólica vs. controles, ascendencia europea/afroamericana	Bierut et al., Molecular Psychiatry (2012)	PMID 21968928 (no en manifiesto U0); https://pubmed.ncbi.nlm.nih.gov/21968928/	No aplica	MEDIBLE-CON-ADQUISICIÓN	Documento identificado y comprobado via PubMed/NCBI eutils en este lote: Bierut LJ, Goate AM, Breslau N, et al. 'ADH1B is associated with alcohol dependence and alcohol consumption in populations of European and African ancestry'. Mol Psychiatry. 2012 Apr;17(4):445-50. PMID 21968928. Abstract confirma textualmente: 'the His48 variant (odds ratio (OR) 0.34, 95% confidence interval (CI) 0.24, 0.48) on alcohol dependence' con significancia genomica (p=6.6x10^-10). Cifra del report (OR≈0.34, 0.24-0.48) coincide exactamente. Falta: registrar el documento en el manifiesto (no esta) para archivo/cotejo del texto completo.			ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: registrar Bierut et al. 2012 (Mol Psychiatry 17(4):445-50, PMID 21968928) en el manifiesto U0; cotejo de texto completo (metodologia, muestra exacta) queda como residual.	CONC-DOC-BIERUT-2012		PREVIO: u0mf --busca bierut -> 0 de 1680; sin WebSearch (presupuesto agotado por ejecutor anterior). SEGUNDA PASADA (24/sep/2026): WebFetch eutils esearch 'Bierut ADH1B alcohol dependence Molecular Psychiatry 2012' -> 1 acierto PMID 21968928; WebFetch eutils esummary -> confirma titulo/autores/revista/año/volumen/paginas; WebFetch eutils efetch abstract -> confirma cita textual OR 0.34 (0.24-0.48), p=6.6e-10.	GENETICA	N/A hasta verificar existencia del documento
ASTRA5-U0-GENBEH-012	genetica-conductual-005	LECTURA-c42009a3-02;GENCON-INTERNO-02	L11;L99	El "firewater myth" está desacreditado. La variante asiática ALDH2 rs671 es esencialmente nula en poblaciones nativas americanas y mexicanas: monomorfismo documentado en siete poblaciones amerindias (Quechua, Karitiana, Ticuna, Surui, Guahibo, Maya, Moskoke; ScienceDirect 1994).	FUERTE (más malinterpretado)	CIFRA-PUBLICADA	mixta	Ausencia (monomorfismo) del alelo ALDH2*2/rs671 en muestras de 5 individuos por población de 7 poblaciones amerindias (1994)	Muestra de 5 individuos por población (N total pequeño); solo dos de las siete poblaciones (Maya) están en territorio mexicano/mesoamericano; ausencia en la muestra no prueba cero en cada residente mexicano (ver ficha del paquete)	persona; individuos de 7 poblaciones amerindias, n=5 c/u (Sudamérica y Norteamérica, incluye Maya)	Estudio 1994, "Apparent monomorphism of ALDH2 in seven American Indian populations" (ScienceDirect 0741832994000867 / PMID 7772269)	SIN-ID|no descargado|no aplica	No aplica (estudio de laboratorio, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documento identificado y su existencia confirmada (título, PMID 7772269, ScienceDirect DOI vía 0741832994000867); U0 no lo ha descargado ni registrado en el manifiesto; falta el documento, no la identidad.			ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: descargar y registrar en manifiesto el artículo 1994 (PMID 7772269) con SHA propio; confirmar cuál de las 7 poblaciones corresponde a territorio mexicano.	CONC-DOC-ALDH2MONO-1994		WebSearch "ALDH2 rs671 monomorphic Native American populations Quechua Karitiana Ticuna Surui Maya 1994 alcohol" 2026-09-23 → ScienceDirect 0741832994000867, PMID 7772269 confirmados (ejecutor previo, log verificado por mí en previas/genetica-conductual.log)	GENETICA	Cambiaría si una muestra ampliada detectara el alelo ALDH2*2 en población mexicana con frecuencia no trivial.
ASTRA5-U0-GENBEH-013	genetica-conductual-006	LECTURA-c42009a3-02;GENCON-INTERNO-02	L101	La evidencia experimental de Garcia-Andrade, Wall & Ehlers (American Journal of Psychiatry 1997;154(7):983, 40 varones Mission Indian) mostró que los resultados contradicen el firewater myth: los varones Mission Indian generalmente pueden ser menos sensibles a los efectos del alcohol.	FUERTE (más malinterpretado, detalle patrón A)	CONCLUSION-DE-ESTUDIO	marco importado/extranjera	Menor sensibilidad subjetiva al alcohol en 40 varones Mission Indian (EE. UU.) a igual alcoholemia, correlacionada con mayor porcentaje de ascendencia nativa americana	Mission Indians es un grupo indígena de EE. UU. (California), no mexicano; n=40, todos varones; no se puede extrapolar a población mexicana sin estudio propio	persona; 40 varones sanos no alcohólicos, 18-25 años, Mission Indian (California, EE. UU.)	Garcia-Andrade, Wall & Ehlers, Am J Psychiatry 154(7):983 (1997)	SIN-ID|no descargado|no aplica	No aplica	MEDIBLE-CON-ADQUISICIÓN	Documento identificado (DOI vía psychiatryonline ajp.154.7.983) y existencia confirmada; falta descargarlo y registrarlo en el manifiesto.			ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: registrar PDF de Garcia-Andrade et al. 1997 (DOI ajp.154.7.983) en el manifiesto.	CONC-DOC-GARCIAANDRADE-1997		WebSearch "Garcia-Andrade Wall Ehlers 1997 American Journal of Psychiatry Mission Indian alcohol sensitivity firewater myth" 2026-09-23 → psychiatryonline.org/doi/pdf/10.1176/ajp.154.7.983 confirmado (ejecutor previo, log verificado por mí en previas/genetica-conductual.log)	GENETICA	Cambiaría si una réplica con muestra mexicana mostrara sensibilidad AUMENTADA (no disminuida) al alcohol asociada a ascendencia nativa, lo que apoyaría el firewater myth.
ASTRA5-U0-GENBEH-014	genetica-conductual-007	LECTURA-c42009a3-02	L101	Creer en el mito ("vulnerabilidad biológica") se asocia a peores resultados de consumo en jóvenes indígenas (Gonzalez & Skewes, Psychology of Addictive Behaviors 2018; efecto de expectativa).	FUERTE (más malinterpretado, detalle patrón A)	CONCLUSION-DE-ESTUDIO	marco importado/extranjera	Asociación entre creencia en el firewater myth y peores desenlaces de consumo (efecto de expectativa) en jóvenes indígenas de EE. UU.	Documento confirmado y leido en este lote (abstract via PubMed/eutils); poblacion es estudiantes universitarios American Indian/Alaska Native (AI/AN) de EE. UU. que beben (N=157), no poblacion mexicana ni indigena de Mexico -- procedencia (b) diaspora/marco extranjero, no evidencia sobre Mexico.	persona; 157 estudiantes universitarios American Indian/Alaska Native (AI/AN) que beben, Estados Unidos (confirmado, no Mexico)	Gonzalez & Skewes, Psychology of Addictive Behaviors (2018) — no verificado	PMID 29723011 (no en manifiesto U0); https://pubmed.ncbi.nlm.nih.gov/29723011/	No aplica	MEDIBLE-CON-ADQUISICIÓN	Documento identificado y comprobado via PubMed/NCBI eutils: Gonzalez VM, Skewes MC. 'Association of belief in the firewater myth with strategies to avoid alcohol consequences among American Indian and Alaska Native college students who drink'. Psychol Addict Behav. 2018 Jun;32(4):401-409. PMID 29723011. Abstract confirma textualmente: 'Belief in an American Indian/Alaska Native (AI/AN) specific biological vulnerability (BV) to alcohol problems (aka the firewater myth) is associated with worse alcohol outcomes'; entre quienes creen mas en la BV, las estrategias basadas en abstinencia se asociaron con mas consecuencias de alcohol. Coincide con la cita del report. Falta registrar el documento en el manifiesto para archivo.			ninguna corrida (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: registrar Gonzalez & Skewes 2018 (Psychol Addict Behav 32(4):401-409, PMID 29723011) en el manifiesto U0; cotejo de texto completo (mecanismo de estrategias de abstinencia) queda como residual.	CONC-DOC-GONZALEZSKEWES-2018		PREVIO: u0mf --busca gonzalez -> 2 de 1680 (no relacionadas); u0mf --busca skewes -> 0; sin WebSearch. SEGUNDA PASADA (24/sep/2026): WebFetch eutils esearch 'Gonzalez Skewes firewater myth Psychology of Addictive Behaviors 2018' -> 1 acierto PMID 29723011; WebFetch eutils esummary -> confirma cita; WebFetch eutils efetch abstract -> confirma frase textual 'associated with worse alcohol outcomes' y poblacion AI/AN college students EE.UU.	GENETICA	N/A hasta verificar existencia del documento
ASTRA5-U0-GENBEH-015	genetica-conductual-008	LECTURA-c42009a3-03;GENCON-INTERNO-02	L13;L97	El alelo protector ADH1B*2 es poco frecuente en mexicanos mestizos (~3% Lisker et al. 1995, hasta ~16% en otras estimaciones; ~5% en mexicoamericanos, Konishi et al. 2003).	FUERTE	CIFRA-PUBLICADA	mixta	Frecuencia alélica de ADH1B*2 en mestizos mexicanos (~3-16%) y en mexicoamericanos (~5%)	Ambos documentos EXISTEN y fueron confirmados via PubMed en este lote, pero ninguno confirma en su abstract la cifra exacta citada por el report. Lisker et al. 1995 (PMID 28557218, Am J Hum Biol 7(2):213-216, 'Racial admixture in a Mestizo population from Mexico City') usa 'seven genetic systems' para estimar ancestria (0.590 indio, 0.348 blanco, 0.062 negro); el abstract NO menciona ADH2/ADH3/ADH1B ni frecuencia ~3%: no se puede confirmar sin texto completo si ADH fue uno de los siete sistemas. Konishi et al. es de 2004, no 2003 (posible errata del report): Konishi T, Luo HR, Calvillo M, Mayo MS, Lin KM, Wan YJ. 'ADH1B*1, ADH1C*2, DRD2 (-141C Ins), and 5-HTTLPR are associated with alcoholism in Mexican American men living in Los Angeles'. Alcohol Clin Exp Res. 2004;28(8):1145-1152. PMID 15318112. Abstract confirma 'extremely low allele frequency for both ALDH2*2 and ADH1B*2' en mexicoamericanos, pero SIN cifra numerica (~5% no esta en el abstract).	persona; mestizos mexicanos (Lisker) y mexicoamericanos de Los Ángeles (Konishi)	Lisker et al. (1995, cita a confirmar); Konishi et al. (2003/2004, año a confirmar)	Lisker: PMID 28557218 (no en manifiesto); Konishi: PMID 15318112, año real 2004 no 2003 (no en manifiesto)	No aplica (frecuencia alelica publicada, no reactivo de encuesta). Lisker abstract literal: 'Seven genetic systems were used to investigate the racial composition of a sample from a low-income Mexico City Mestizo group, finding estimates of 0.590, 0.348, and 0.062 of Indian, White, and Black ancestry, respectively.' Konishi abstract literal (fragmento): 'extremely low allele frequency for both ALDH2*2 and ADH1B*2 [...] relatively high allele frequency for ADH1C*2 and CYP2E1 c2' en mexicoamericanos de Los Angeles.	MEDIBLE-CON-ADQUISICIÓN	Ambos documentos existen e identifican con precision (autoria, revista, año, PMID) via NCBI eutils en este lote, resolviendo la duda de identidad que dejo pendiente el ejecutor previo. Konishi es 2004 (no 2003, errata del report) y su abstract confirma cualitativamente baja frecuencia de ADH1B*2 en mexicoamericanos, sin la cifra exacta (~5%). Lisker 1995 es real pero su abstract no confirma que ADH1B/ADH2 fuera parte de los 'siete sistemas geneticos'; la cifra ~3% del report podria venir de sus tablas de resultados (no accesibles en el abstract) o de una fuente distinta no identificada. Falta leer el texto completo de ambos (no solo el abstract) para cotejar las cifras exactas; ninguno esta en el manifiesto U0.			ninguna corrida (u0mf --calc: no aplica)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: texto completo de Lisker et al. 1995 (Am J Hum Biol 7(2):213-216, PMID 28557218) para confirmar si reporta frecuencia de ADH2/ADH1B*2 entre los 'siete sistemas geneticos', y de Konishi et al. 2004 (no 2003; Alcohol Clin Exp Res 28(8):1145-1152, PMID 15318112) para extraer el % exacto de ADH1B*2 en mexicoamericanos; registrar ambos en el manifiesto. Nota a mesa: el año citado por el report para Konishi (2003) es incorrecto, el documento real es de 2004.	CONC-DOC-LISKER-1995;CONC-DOC-KONISHI-2003		PREVIO: WebSearch 'Lisker 1995... Konishi 2003...' (ejecutor previo) -> hallo candidatos sin confirmar; u0mf --busca lisker/konishi -> 0 de 1680. SEGUNDA PASADA (24/sep/2026): WebFetch eutils esearch 'Lisker admixture mestizo Mexico City 1995' -> 1 acierto PMID 28557218; WebFetch eutils esearch 'Konishi ADH1B ADH1C DRD2 Mexican American alcoholism' -> 1 acierto PMID 15318112; WebFetch eutils esearch 'Lisker ADH2 ADH3 alcohol dehydrogenase Mexican' -> 0; WebFetch eutils esummary combinado -> confirma citas exactas; WebFetch eutils efetch abstract Lisker -> no menciona ADH; WebFetch eutils efetch abstract Konishi -> confirma 'extremely low allele frequency ADH1B*2' sin cifra numerica.	GENETICA	N/A hasta confirmar identidad del documento
ASTRA5-U0-GENBEH-016	genetica-conductual-009	LECTURA-c42009a3-03	L98	En amerindios del occidente de México (huicholes): hasta ~50% de ADH1B*2 — algunos grupos indígenas tienen MÁS del alelo protector, lo contrario de lo que predeciría el firewater myth.	FUERTE	CIFRA-PUBLICADA	primaria México	Frecuencia de ADH1B*2 ~50% en población huichol	El report no cita autor/año en este punto específico del texto; sin ese dato no se puede identificar ni descargar el estudio de origen Firewall genético (§3): una frecuencia alélica por grupo indígena o mestizo es un dato de genética de poblaciones; no autoriza inferir conducta de grupo ni segmentar por ascendencia.	persona; población huichol (Jalisco/Nayarit)	no identificado por el propio report		No aplica	MEDIBLE-CON-ADQUISICIÓN	EXISTENCIA-NO-COMPROBADA tras 5 consultas: u0mf --busca huichol -> 0 de 1680 (previo); u0pdf -q huichol (idsub no aplicable) no ejecutado por falta de idsub; WebFetch eutils esearch 'Huichol ADH2 ADH1B alcohol dehydrogenase allele frequency' -> 0; 'Amerindian Mexico ADH2*2 allele frequency alcohol' -> 0; 'Huichol alcohol dehydrogenase' -> 0; 'Bortolini ADH2 ADH3 Native American alcohol' -> 0; 'ADH1B*2 frequency indigenous Mexico population alcohol' -> 0. El report no cita autor ni año en L98; ningun estudio especifico sobre ADH1B*2 en huicholes fue localizado en PubMed con los terminos razonables ensayados. No se puede identificar el documento primario que sostiene la cifra ~50%.			ninguna corrida (u0mf --calc: no aplica)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	NO-ACCESIBLE-DESDE-SANDBOX (existencia no comprobada; no equivale a «no existe», A.4) → GEN2-ASTRA5-U5-ADQUISICION-1, con la receta forense/analisis/dominios/receta-acceso-fuentes-2026-09-24.md. faltante: identificar el documento primario (autor/año no citados por el report en L98) que reporta ~50% de ADH1B*2 en huicholes; sesion futura con acceso a bibliografia especializada en genetica de poblaciones amerindias (p. ej. revision de Eng/Luczak/Wall o bases de datos ALFRED/dbSNP por poblacion) puede cerrarlo.	CONC-DOC-ADH1B-HUICHOL		PREVIO: u0mf --busca huichol -> 0 de 1680; u0pdf -q huichol no ejecutado (sin idsub relevante); el propio texto del report no trae autor/año en L98. SEGUNDA PASADA (24/sep/2026, verificado por mi): WebFetch eutils esearch 'Huichol ADH2 ADH1B alcohol dehydrogenase allele frequency' -> 0; WebFetch eutils esearch 'Amerindian Mexico ADH2*2 allele frequency alcohol' -> 0; WebFetch eutils esearch 'Huichol alcohol dehydrogenase' -> 0; WebFetch eutils esearch 'Bortolini ADH2 ADH3 Native American alcohol' -> 0; WebFetch eutils esearch 'ADH1B*2 frequency indigenous Mexico population alcohol' -> 0.	GENETICA	N/A hasta identificar el documento
ASTRA5-U0-GENBEH-017	genetica-conductual-010	LECTURA-c42009a3-04;GENCON-INTERNO-05;TIER-c42009a3-L167	L15;L162-168	Caspi et al. (Science 2002) mostró una interacción gen×ambiente: el maltrato infantil predecía conducta antisocial más fuertemente en varones con MAOA-L. El efecto principal de MAOA sobre agresión es débil; la señal está en la interacción con maltrato.	FUERTE (más malinterpretado); marca T-L167=débil	CONCLUSION-DE-ESTUDIO	marco importado/extranjera	Interacción MAOA-uVNTR × maltrato infantil sobre conducta antisocial en varones (estudio original longitudinal de Nueva Zelanda)	Cohorte neozelandesa (Dunedin), no mexicana; efecto principal débil según el propio report; U0 no cotejó el tamaño de efecto exacto del artículo original	persona; varones de la cohorte longitudinal de Dunedin, Nueva Zelanda, seguidos desde la niñez	Caspi et al., Science 297:851-854 (2002), DOI 10.1126/science.1072290	SIN-ID|no descargado|no aplica	No aplica	MEDIBLE-CON-ADQUISICIÓN	Documento identificado y existencia confirmada (DOI 10.1126/science.1072290); falta descargar y registrar en el manifiesto. El componente "efecto principal débil" (T-L167) es una caracterización del propio meta-análisis de Byrd & Manuck 2014, no un OR único (ver fila siguiente).			ninguna corrida (u0mf --calc: 0)	ASTRA5-MESA-GENETICA / ASTRA5-MESA-DOCUMENTAL	faltante: registrar Caspi et al. 2002 (DOI 10.1126/science.1072290) en el manifiesto.	CONC-DOC-CASPI-2002		WebSearch "Caspi 2002 Science Role of genotype in the cycle of violence in maltreated children MAOA" 2026-09-23 → DOI 10.1126/science.1072290 confirmado (ejecutor previo, log verificado por mí en previas/genetica-conductual.log)	GENETICA	Cambiaría si una réplica independiente en muestra mexicana NO mostrara la interacción MAOA×maltrato, o si mostrara un efecto principal grande y consistente (lo que rompería "efecto principal débil").
