unidad	tipo	filas_o_contratos	razon
LECTURA-6ebfdf54-01	G	ENLACE;ENLACE	
LECTURA-6ebfdf54-02	G	ENLACE;ASTRA5-U0-GENOM-007	
LECTURA-6ebfdf54-03	G	ASTRA5-U0-GENOM-006	
LECTURA-6ebfdf54-04	G	ASTRA5-U0-GENOM-005	
LECTURA-6ebfdf54-05	G	ENLACE;ASTRA5-U0-GENOM-008	
LECTURA-6ebfdf54-06	G	ASTRA5-U0-GENOM-009;ASTRA5-U0-GENOM-010	
LECTURA-6ebfdf54-07	G	ASTRA5-U0-GENOM-011;ASTRA5-U0-GENOM-012;ASTRA5-U0-GENOM-013	
LECTURA-6ebfdf54-08	G	ASTRA5-U0-GENOM-014;ASTRA5-U0-GENOM-015;ASTRA5-U0-GENOM-016	
LECTURA-6ebfdf54-09	G	ASTRA5-U0-GENOM-017;ASTRA5-U0-GENOM-018;ASTRA5-U0-GENOM-019	
LECTURA-6ebfdf54-10	G	ASTRA5-U0-GENOM-020;ASTRA5-U0-GENOM-021;ASTRA5-U0-GENOM-022	
LECTURA-6ebfdf54-11	G	ASTRA5-U0-GENOM-023;ASTRA5-U0-GENOM-024	
CAND-6ebfdf54-L4	P	ASTRA5-U0-GENOM-031	
CAND-6ebfdf54-L5	P	ASTRA5-U0-GENOM-032	
CAND-6ebfdf54-L6	P	ASTRA5-U0-GENOM-033	
LECTURA-6ebfdf54-01	F	ENLACE;ENLACE	
LECTURA-6ebfdf54-02	F	ENLACE;ASTRA5-U0-GENOM-007	
LECTURA-6ebfdf54-03	F	ASTRA5-U0-GENOM-006	
LECTURA-6ebfdf54-04	F	ASTRA5-U0-GENOM-005	
LECTURA-6ebfdf54-05	F	ENLACE;ASTRA5-U0-GENOM-008	
LECTURA-6ebfdf54-06	F	ASTRA5-U0-GENOM-009;ASTRA5-U0-GENOM-010	
LECTURA-6ebfdf54-07	F	ASTRA5-U0-GENOM-011;ASTRA5-U0-GENOM-012;ASTRA5-U0-GENOM-013	
LECTURA-6ebfdf54-08	F	ASTRA5-U0-GENOM-014;ASTRA5-U0-GENOM-015;ASTRA5-U0-GENOM-016	
LECTURA-6ebfdf54-09	F	ASTRA5-U0-GENOM-017;ASTRA5-U0-GENOM-018;ASTRA5-U0-GENOM-019	
LECTURA-6ebfdf54-10	F	ASTRA5-U0-GENOM-020;ASTRA5-U0-GENOM-021;ASTRA5-U0-GENOM-022	
LECTURA-6ebfdf54-11	F	ASTRA5-U0-GENOM-023;ASTRA5-U0-GENOM-024	
LECTURA-6ebfdf54-INT-12	F	ASTRA5-U0-GENOM-025;ASTRA5-U0-GENOM-026;ASTRA5-U0-GENOM-027	
LECTURA-6ebfdf54-INT-13	F	ASTRA5-U0-GENOM-028	
LECTURA-6ebfdf54-INT-14	F	ASTRA5-U0-GENOM-029	
LECTURA-6ebfdf54-INT-15	F	ASTRA5-U0-GENOM-030	
