unidad	tipo	filas_o_contratos	razon
LECTURA-612e931c-01	G	ASTRA5-U0-INTER-004;ASTRA5-U0-INTER-005;ASTRA5-U0-INTER-006;ASTRA5-U0-INTER-007	
LECTURA-612e931c-01	F	ASTRA5-U0-INTER-004;ASTRA5-U0-INTER-005;ASTRA5-U0-INTER-006;ASTRA5-U0-INTER-007	
LECTURA-612e931c-02	G	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002;ASTRA5-U0-INTER-003	
LECTURA-612e931c-02	F	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002;ASTRA5-U0-INTER-003	
LECTURA-612e931c-03	G	ASTRA5-U0-INTER-008	
LECTURA-612e931c-03	F	ASTRA5-U0-INTER-008	
LECTURA-612e931c-04	G	ASTRA5-U0-INTER-009	
LECTURA-612e931c-04	F	ASTRA5-U0-INTER-009	
LECTURA-612e931c-05	G	ASTRA5-U0-INTER-010	
LECTURA-612e931c-05	F	ASTRA5-U0-INTER-010	
LECTURA-612e931c-06	G	ASTRA5-U0-INTER-011;ASTRA5-U0-INTER-012;ASTRA5-U0-INTER-013	
LECTURA-612e931c-06	F	ASTRA5-U0-INTER-011;ASTRA5-U0-INTER-012;ASTRA5-U0-INTER-013	
LECTURA-612e931c-07	G	ASTRA5-U0-INTER-018;ASTRA5-U0-INTER-019	
LECTURA-612e931c-07	F	ASTRA5-U0-INTER-018;ASTRA5-U0-INTER-019	
LECTURA-612e931c-08	G	ASTRA5-U0-INTER-020;ASTRA5-U0-INTER-021	
LECTURA-612e931c-08	F	ASTRA5-U0-INTER-020;ASTRA5-U0-INTER-021	
LECTURA-612e931c-09	G	ASTRA5-U0-INTER-022;ASTRA5-U0-INTER-023;ASTRA5-U0-INTER-024	
LECTURA-612e931c-09	F	ASTRA5-U0-INTER-022;ASTRA5-U0-INTER-023;ASTRA5-U0-INTER-024	
LECTURA-612e931c-10	G	ASTRA5-U0-INTER-025;ASTRA5-U0-INTER-026	
LECTURA-612e931c-10	F	ASTRA5-U0-INTER-025;ASTRA5-U0-INTER-026	
LECTURA-612e931c-11	G	ASTRA5-U0-INTER-027	
LECTURA-612e931c-11	F	ASTRA5-U0-INTER-027	
LECTURA-612e931c-12	G	ASTRA5-U0-INTER-028;ASTRA5-U0-INTER-029	
LECTURA-612e931c-12	F	ASTRA5-U0-INTER-028;ASTRA5-U0-INTER-029	
LECTURA-612e931c-13	G	ASTRA5-U0-INTER-030;ASTRA5-U0-INTER-033	
LECTURA-612e931c-13	F	ASTRA5-U0-INTER-030;ASTRA5-U0-INTER-033	
LECTURA-612e931c-14	G	ASTRA5-U0-INTER-030	
LECTURA-612e931c-14	F	ASTRA5-U0-INTER-030	
CAND-612e931c-L61	P	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002	
TIER-612e931c-L10	T	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002	
LECTURA-612e931c-INT-CORRECCIONES	F	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002	Propagacion de las 3 correcciones (honor retirado, marca b diaspora, Hofstede c) se refleja en procedencia_evidencia de cada fila afectada (005,006,007,012,013,025,026,040,041,043,045,030); no se reactiva honor en ninguna.
LECTURA-612e931c-INT-HOFSTEDE	F	ASTRA5-U0-INTER-030;ASTRA5-U0-INTER-031;ASTRA5-U0-INTER-032;ENLACE	
LECTURA-612e931c-INT-TRABAJO	F	ASTRA5-U0-INTER-014;ASTRA5-U0-INTER-015;ASTRA5-U0-INTER-016;ASTRA5-U0-INTER-017	
LECTURA-612e931c-INT-ESTRUCTURA	F	ASTRA5-U0-INTER-034;ASTRA5-U0-INTER-035;ASTRA5-U0-INTER-036;ENLACE;ASTRA5-U0-INTER-037	
LECTURA-612e931c-INT-CLINICA	F	ASTRA5-U0-INTER-038;ASTRA5-U0-INTER-039;ASTRA5-U0-INTER-040;ASTRA5-U0-INTER-041	
LECTURA-612e931c-INT-APLICACIONES	F	ASTRA5-U0-INTER-019;ASTRA5-U0-INTER-042;ASTRA5-U0-INTER-043;ASTRA5-U0-INTER-044	
LECTURA-612e931c-INT-SINTESIS	F	ASTRA5-U0-INTER-045	
