unidad	tipo	filas_o_contratos	razon
LECTURA-6dc7d7a8-01	G	ASTRA5-U0-MIGR-001;ASTRA5-U0-MIGR-002	
LECTURA-6dc7d7a8-02	G	ASTRA5-U0-MIGR-003;ASTRA5-U0-MIGR-004	
LECTURA-6dc7d7a8-03	G	ASTRA5-U0-MIGR-005;ASTRA5-U0-MIGR-006	
LECTURA-6dc7d7a8-04	G	ASTRA5-U0-MIGR-007	
LECTURA-6dc7d7a8-05	G	ASTRA5-U0-MIGR-008	
LECTURA-6dc7d7a8-06	G	ASTRA5-U0-MIGR-009;ASTRA5-U0-MIGR-010	
LECTURA-6dc7d7a8-07	G	ASTRA5-U0-MIGR-011;ASTRA5-U0-MIGR-012	
LECTURA-6dc7d7a8-08	G	ASTRA5-U0-MIGR-013;ASTRA5-U0-MIGR-014	
LECTURA-6dc7d7a8-09	G	ASTRA5-U0-MIGR-015	
LECTURA-6dc7d7a8-10	G	ASTRA5-U0-MIGR-016;ASTRA5-U0-MIGR-017;ASTRA5-U0-MIGR-018	
LECTURA-6dc7d7a8-11	G	ASTRA5-U0-MIGR-019	
LECTURA-6dc7d7a8-12	G	ASTRA5-U0-MIGR-020	
LECTURA-6dc7d7a8-13	G	ASTRA5-U0-MIGR-021;ASTRA5-U0-MIGR-022	
LECTURA-6dc7d7a8-14	G	ASTRA5-U0-MIGR-023;ASTRA5-U0-MIGR-024	
LECTURA-6dc7d7a8-15	G	ASTRA5-U0-MIGR-025	
TIER-6dc7d7a8-L54	T	ASTRA5-U0-MIGR-001	DEDUP: migracion-001 (mismo hallazgo, mapa de evidencia)
TIER-6dc7d7a8-L55	T	ASTRA5-U0-MIGR-002	DEDUP: migracion-002 (mismo hallazgo, mapa de evidencia)
TIER-6dc7d7a8-L56	T	ASTRA5-U0-MIGR-005	DEDUP: migracion-005 (mismo hallazgo, mapa de evidencia)
TIER-6dc7d7a8-L57	T	ASTRA5-U0-MIGR-007	DEDUP: migracion-007 (mismo hallazgo, mapa de evidencia)
TIER-6dc7d7a8-L58	T	ASTRA5-U0-MIGR-008	DEDUP: migracion-008 (mismo hallazgo, mapa de evidencia)
