unidad	tipo	filas_o_contratos	razon
LECTURA-8d989005-01	G	ENLACE;ASTRA5-U0-POL-003;ASTRA5-U0-POL-004;ASTRA5-U0-POL-005	
LECTURA-8d989005-02	G	ENLACE;ASTRA5-U0-POL-006;ASTRA5-U0-POL-007;ASTRA5-U0-POL-008;ASTRA5-U0-POL-009	
LECTURA-8d989005-03	G	ASTRA5-U0-POL-010;ASTRA5-U0-POL-011;ASTRA5-U0-POL-012	
LECTURA-8d989005-04	G	ASTRA5-U0-POL-013	
LECTURA-8d989005-05	G	ASTRA5-U0-POL-014	
LECTURA-8d989005-06	G	ASTRA5-U0-POL-015;ASTRA5-U0-POL-016;ASTRA5-U0-POL-017	
LECTURA-8d989005-07	G	ASTRA5-U0-POL-018;ASTRA5-U0-POL-019;ASTRA5-U0-POL-020	
LECTURA-8d989005-08	G	ASTRA5-U0-POL-021;ASTRA5-U0-POL-022;ASTRA5-U0-POL-023;ASTRA5-U0-POL-024	
LECTURA-8d989005-09	G	ASTRA5-U0-POL-025	
LECTURA-8d989005-10	G	ASTRA5-U0-POL-026	
LECTURA-8d989005-11	G	ASTRA5-U0-POL-027;ASTRA5-U0-POL-028	
LECTURA-8d989005-12	G	ENLACE	
LECTURA-8d989005-13	G	ASTRA5-U0-POL-029;ASTRA5-U0-POL-030;ASTRA5-U0-POL-031	
LECTURA-8d989005-14	G	ASTRA5-U0-POL-032	
LECTURA-8d989005-01	F	ENLACE;ASTRA5-U0-POL-003;ASTRA5-U0-POL-004;ASTRA5-U0-POL-005	
LECTURA-8d989005-02	F	ENLACE;ASTRA5-U0-POL-006;ASTRA5-U0-POL-007;ASTRA5-U0-POL-008;ASTRA5-U0-POL-009	
LECTURA-8d989005-03	F	ASTRA5-U0-POL-010;ASTRA5-U0-POL-011;ASTRA5-U0-POL-012	
LECTURA-8d989005-04	F	ASTRA5-U0-POL-013	
LECTURA-8d989005-05	F	ASTRA5-U0-POL-014	
LECTURA-8d989005-06	F	ASTRA5-U0-POL-015;ASTRA5-U0-POL-016;ASTRA5-U0-POL-017	
LECTURA-8d989005-07	F	ASTRA5-U0-POL-018;ASTRA5-U0-POL-019;ASTRA5-U0-POL-020	
LECTURA-8d989005-08	F	ASTRA5-U0-POL-021;ASTRA5-U0-POL-022;ASTRA5-U0-POL-023;ASTRA5-U0-POL-024	
LECTURA-8d989005-09	F	ASTRA5-U0-POL-025	
LECTURA-8d989005-10	F	ASTRA5-U0-POL-026	
LECTURA-8d989005-11	F	ASTRA5-U0-POL-027;ASTRA5-U0-POL-028	
LECTURA-8d989005-12	F	ENLACE	
LECTURA-8d989005-13	F	ASTRA5-U0-POL-029;ASTRA5-U0-POL-030;ASTRA5-U0-POL-031	
LECTURA-8d989005-14	F	ASTRA5-U0-POL-032	
CAND-8d989005-L5	P		NO-AFIRMACION: encabezado — ficha editorial del reporte (titulo, fecha, leyenda de tiers), no afirma conducta mexicana
CAND-8d989005-L48	P	ASTRA5-U0-POL-033	
CAND-8d989005-L54	P	ASTRA5-U0-POL-003;ASTRA5-U0-POL-004;ASTRA5-U0-POL-005;ENLACE;ASTRA5-U0-POL-006;ASTRA5-U0-POL-007;ASTRA5-U0-POL-008;ASTRA5-U0-POL-009;ASTRA5-U0-POL-010;ASTRA5-U0-POL-011;ASTRA5-U0-POL-012;ASTRA5-U0-POL-021;ASTRA5-U0-POL-022;ASTRA5-U0-POL-023;ASTRA5-U0-POL-041	
CAND-8d989005-L255	P	ASTRA5-U0-POL-034	
CAND-8d989005-L256	P	ASTRA5-U0-POL-035	
CAND-8d989005-L268	P	ASTRA5-U0-POL-037	
CAND-8d989005-L274	P	ASTRA5-U0-POL-038	
CAND-8d989005-L280	P	ASTRA5-U0-POL-039	
CAND-8d989005-L286	P	ASTRA5-U0-POL-040	
TIER-8d989005-L62	T	ASTRA5-U0-POL-015;ASTRA5-U0-POL-016;ASTRA5-U0-POL-017;ASTRA5-U0-POL-018;ASTRA5-U0-POL-019;ASTRA5-U0-POL-020;ASTRA5-U0-POL-029;ASTRA5-U0-POL-030;ASTRA5-U0-POL-031;ASTRA5-U0-POL-042	
TIER-8d989005-L68	T	ASTRA5-U0-POL-036;ASTRA5-U0-POL-032	encabezado que rige L69 (entitlement, ver politica-018/037) y L70 (clasemediero, ver politica-032)
TIER-8d989005-L72	T		NO-AFIRMACION: encabezado — narrativas populares citadas para refutarlas (L73-77), ya cubiertas por hallazgos ya dictaminados: apatia/participacion (politica-010/011), cultura de ilegalidad/mordida (politica-021), pobres venden el voto (politica-018), linchamientos barbarie (politica-024), Mexico partido en dos (politica-013). DEDUP con Mitos y sobreinterpretaciones L241-247 (sin marca de tier propia, mismo contenido, no requiere fila nueva)
TIER-8d989005-L262	T	ASTRA5-U0-POL-036	
