id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-RELIG-001	religiosidad-001	LECTURA-dfb84e08-01	L9 · Resumen ejecutivo, hallazgo 1	El catolicismo paso de 82.7% (2010) a 77.7% (2020, INEGI).	FUERTE	CIFRA-PUBLICADA	a	Proporcion de personas censadas que se autoidentifican catolicas, por ano censal (2010 vs 2020), universo poblacion total residente en Mexico.	Mide identidad nominal declarada al censo, no practica ni intensidad de creencia; el descenso 82.7->77.7 exige que 2010 y 2020 usen la misma variable/codificacion, no cotejado en este lote.	persona; poblacion total censada; Censo de Poblacion y Vivienda 2010 y 2020	Censo de Poblacion y Vivienda (INEGI), olas 2010 y 2020	cpv2020_fd_iter_pdf|1b7ea20fb8f00b9ed248da725a43bda0c7bab6c96d4fe77d6ddf51b1876525eb|p.26 (2020); Censo 2010 sin documento con id en manifiesto	PCATOLICA (ITER 2020, p.26, cod.214): "Poblacion con religion catolica: personas que tienen como creencia o preferencia espiritual la religion catolica"; codigos de la variable base de religion por extraer del cuestionario censal (no ITER)	MEDIBLE-CON-ADQUISICIÓN	El punto 2020 tiene payload con id real (cpv2020_iter_nal_csv) y variable PCATOLICA definida en el FD del ITER (p.26); el punto 2010 no tiene documento con id en manifiesto. faltante: Censo de Poblacion y Vivienda 2010 (ITER 2010 o cuestionario con variable de religion), no registrado en data/manifiesto.yaml.	cpv2020_iter_nal_csv|ff39bb1d1b6e6adcc6204622535d213d4cd04902bc6ab6e8345f244a6d5f85d6|raiz data_raw; U0 no abrio microdato		ninguna corrida con cpv2020_iter_nal_csv (u0mf --calc: 0 de 326)	ASTRA5-MESA-RELIGION	Registrar en manifiesto el Censo 2010 (ITER 2010 o equivalente) con variable de religion; cotejar codificacion 2010 vs 2020 antes de tratar la serie como comparable; residual: cotejar 82.7/77.7 contra tabla primaria una vez adquirido 2010.	CONC-DOC-CPVRELIGION-2010-2020		u0busca -q 'catolic|catolic' -> 10 aciertos con texto; u0mf --busca iter --busca cpv2020 -> 2; u0pdf -q PCATOLICA --id cpv2020_fd_iter_pdf -> 1 (p.26); u0mf --busca cpv2010 -> 0; u0mf --busca censo2010 -> 0; u0mf --busca 2010 --busca censo -> 0 (de 1680)	RELIGIOSIDAD	Cambiaria si el Censo 2010 (ITER o cuestionario basico), al registrarse, mostrara una codificacion no comparable con 2020, o si el Intercensal 2015 mostrara una trayectoria no monotonica entre ambos puntos.
ASTRA5-U0-RELIG-002	religiosidad-002	LECTURA-dfb84e08-01	L9 · Resumen ejecutivo, hallazgo 1	El estudio del Pew Research Center 'Catholicism Has Declined in Latin America Over the Past Decade' (21 de enero de 2026) situa a los catolicos adultos mexicanos en 67%, mientras la creencia en Dios permanece en 'alrededor de nueve de cada diez o mas adultos'.	FUERTE	CIFRA-PUBLICADA	mixta	Proporcion de adultos mexicanos que se identifican catolicos y que declaran creer en Dios, encuesta Pew Spring 2024, publicada 21/ene/2026, comparado contra linea base Pew 2013-14.	Es un documento distinto del Censo (universo, ano de campo -2024- y metodo de encuestadora privada vs censo de derecho); la cifra de creencia en Dios (~90%) es un promedio de los 6 paises de la region, no aislada para Mexico en el cuerpo principal del informe.	persona adulta (18+); poblacion adulta mexicana entrevistada por Pew; ola Spring 2024, publicacion 21/ene/2026	Pew Research Center, Global Attitudes Survey / informe 'Catholicism Has Declined in Latin America Over the Past Decade'	sin id en manifiesto; leido esta sesion en pewresearch.org/global/2026/01/21/catholicism-has-declined-in-latin-america-over-the-past-decade/	Cifra 'Catolicos en Mexico: 67% (2024), declive de 9 puntos porcentuales o mas desde 2013-14'; 'nine-in-ten or more adults... believe in God' (los 6 paises, incl. Mexico); codigos de la encuesta no publicados en el cuerpo del informe	MEDIBLE-CON-ADQUISICIÓN	Documento primario identificado (emisor Pew Research Center, titulo, fecha 21/ene/2026, URL) y leido esta sesion via WebFetch; existencia y cifra de 67% confirmadas verbatim. faltante: registrar el PDF del informe Pew (pewresearch.org/wp-content/uploads/sites/20/2026/01/PR_2026.01.21_religion-in-latin-america_report.pdf) en el manifiesto del corpus.			no aplica (RESULT GEN2 solo cubre ENOE/ENDUTIH/ENDIREH/LAPOP/INE/ENCUP; ninguno mide religion)	ASTRA5-MESA-RELIGION	Descargar y registrar el PDF de Pew 2026 con su sha256; cotejar la cifra exacta de creencia en Dios especifica para Mexico (no solo el agregado regional) en las tablas del informe.	CONC-DOC-PEWCATOLICISMO-2026		WebSearch 'Pew Research Catholicism Has Declined in Latin America 2026 Mexico 67%' -> informe confirmado; WebFetch pewresearch.org/global/2026/01/21/catholicism-has-declined-in-latin-america-over-the-past-decade/ -> cifras y cita 'nine-in-ten or more' leidas y cotejadas	RELIGIOSIDAD	Cambiaria si la cifra de creencia en Dios especifica de Mexico (no el agregado de 6 paises) resultara sustancialmente distinta de ~90% al leer la tabla por pais.
ASTRA5-U0-RELIG-003	religiosidad-003	LECTURA-dfb84e08-01;RELIGION-INTERNO-02	L97 · Patron 1, evidencia a favor	Pew 2026 documenta que 15% de todos los adultos mexicanos fueron criados catolicos y hoy son 'sin religion', frente a apenas 4% que pasaron de catolicos a protestantes.	FUERTE (rige encabezado L93 Patron 1)	CIFRA-PUBLICADA	mixta	Flujo de personas criadas catolicas que hoy se declaran sin afiliacion religiosa vs. las que pasaron a proteste, sobre el total de adultos mexicanos, Pew Spring 2024.	Es una tasa de flujo de origen catolico especifico, no la composicion actual total (que es 20% sin religion / 10% protestante); no debe leerse como que todo el 'sin religion' actual proviene de origen catolico.	persona adulta (18+); poblacion adulta mexicana; Pew Spring 2024 / publicacion 21/ene/2026	Pew Research Center, subpagina 'Religious affiliation and switching in Latin American countries'	sin id en manifiesto; leido esta sesion en pewresearch.org/global/2026/01/21/religious-affiliation-in-latin-america/	Cita verbatim leida: '15% of all Mexican adults say they were raised Catholic and are now religiously unaffiliated, while just 4% of Mexicans say they were raised Catholic but are now Protestant.'	MEDIBLE-CON-ADQUISICIÓN	Cita literal cotejada verbatim contra la fuente primaria esta sesion (WebFetch). faltante: registrar en manifiesto la subpagina/PDF de switching de Pew 2026.			no aplica	ASTRA5-MESA-RELIGION	Registrar la subpagina de switching de Pew 2026 en el manifiesto con su sha256.	CONC-DOC-PEWSWITCHING-2026		WebFetch pewresearch.org/global/2026/01/21/religious-affiliation-in-latin-america/ -> cita verbatim de 15%/4% confirmada para Mexico	RELIGIOSIDAD	Cambiaria si una relectura de la tabla completa de switching mostrara un denominador distinto (p.ej. solo catolicos de origen, no 'todos los adultos') que alterase el 15%/4%.
ASTRA5-U0-RELIG-004	religiosidad-004	LECTURA-dfb84e08-02	L11 · Resumen ejecutivo, hallazgo 2	Segun ENCREER/RIFREM (2016), solo ~47.8% de los catolicos asisten semanalmente y apenas 6.5% diariamente.	FUERTE	CIFRA-PUBLICADA	a	Frecuencia de asistencia a misa (semanal, diaria) declarada por personas que se identifican catolicas, universo adultos 18+ de la ENCREER 2016.	La homilia del nuncio Coppola ('menos del 10%') citada junto a esta cifra es una anecdota de un discurso, con denominador y metodo distintos (no encuesta); el report la usa como color, no debe sumarse como estimacion independiente ni promediarse con el 47.8/6.5%.	persona adulta catolica (18+); poblacion adulta mexicana catolica; ENCREER/RIFREM, ola 2016	Encuesta Nacional sobre Creencias y Practicas Religiosas en Mexico (ENCREER), RIFREM/CONACYT/COLEF/COLJAL/CIESAS, 2016	sin id en manifiesto (u0busca/u0mf/u0pdf: 0 coincidencias para 'encreer'/'rifrem'); existencia confirmada esta sesion en rifrem.mx/encreer/	Pregunta de frecuencia de asistencia a misa por confesion; tabla exacta no localizada en rifrem.mx/encreer/resultados/ (pagina de presentacion, sin la tabla numerica); codigos por extraer del informe completo	MEDIBLE-CON-ADQUISICIÓN	Instrumento identificado y su existencia/metodologia confirmadas esta sesion (N=3000, muestreo aleatorio representativo, levantamiento 29/oct-30/nov/2016, RIFREM/CONACYT/COLEF/COLJAL/CIESAS). faltante: informe completo o tabla de 'Practicas religiosas' de rifrem.mx/encreer (no descargado ni registrado en manifiesto); la cifra exacta 47.8/6.5% queda como residual sin cotejar contra la tabla primaria.			no aplica	ASTRA5-MESA-RELIGION	Descargar y registrar en manifiesto el informe/tabla de practicas religiosas de RIFREM ENCREER 2016 (rifrem.mx/encreer/resultados/); cotejar 47.8%/6.5% contra la tabla primaria por confesion.	CONC-ENCREER2016-ASISTCATOLICA		u0busca -q 'encreer|rifrem' -> 0 aciertos (de 113780 con texto); u0mf --busca encreer / --busca rifrem -> 0; u0pdf -q encreer -> 0 (de 349 PDF); WebSearch 'ENCREER RIFREM 2016...' -> instrumento confirmado real; WebFetch rifrem.mx/encreer/resultados/ -> metodologia leida, tabla numerica no encontrada en esa pagina	RELIGIOSIDAD	Cambiaria si la tabla primaria de RIFREM mostrara una cifra de asistencia semanal/diaria sustancialmente distinta de 47.8%/6.5%, o si el denominador real excluyera a no practicantes de otro modo.
ASTRA5-U0-RELIG-005	religiosidad-005	LECTURA-dfb84e08-03;RELIGION-INTERNO-02	L13 · Resumen ejecutivo, hallazgo 3; elaborado L113	El 53.5% de los evangelicos asisten a servicios diariamente frente al 6.5% de los catolicos (ENCREER).	FUERTE	CIFRA-PUBLICADA	a	Frecuencia de asistencia diaria a servicios religiosos, comparada entre personas que se identifican evangelicas/pentecostales vs catolicas, ENCREER 2016.	Mide frecuencia de practica declarada, no 'cantidad de fe' ni causalidad de densidad comunitaria (esa lectura causal del report es interpretacion, no dato); el Censo 2020 (fila religiosidad-006/007) da la composicion pero no la frecuencia de practica por confesion.	persona adulta evangelica/pentecostal y catolica (18+); poblacion adulta mexicana; ENCREER/RIFREM, ola 2016	ENCREER (RIFREM/CONACYT/COLEF/COLJAL/CIESAS), 2016	sin id en manifiesto; existencia confirmada esta sesion (ver fila 004)	Pregunta de frecuencia de asistencia por confesion; codigos y N efectivo por subgrupo no cotejados contra tabla primaria	MEDIBLE-CON-ADQUISICIÓN	Mismo instrumento que la fila 004: identificado y confirmado en existencia esta sesion. faltante: tabla de asistencia por confesion de ENCREER (rifrem.mx/encreer), no registrada en manifiesto; residual: N efectivo de evangelicos/catolicos y margen de error por subgrupo.			no aplica	ASTRA5-MESA-RELIGION	Mismo tramite que fila religiosidad-004 (una sola adquisicion sirve a ambas filas).	CONC-ENCREER2016-ASISTEVANGELICA		Ver busqueda_a13 de religiosidad-004 (mismo instrumento); adicional: Pew (via WebFetch pewresearch.org/global/.../catholicism-has-declined...) confirma que protestantes latinoamericanos muestran mayor asistencia/oracion que catolicos en categorias comparables, como contexto regional	RELIGIOSIDAD	Cambiaria si la tabla primaria de RIFREM mostrara que la brecha 53.5%/6.5% se explica por composicion de edad/region y no por confesion al controlar covariables.
ASTRA5-U0-RELIG-006	religiosidad-006	LECTURA-dfb84e08-04	L15 · Resumen ejecutivo, hallazgo 4	Chiapas es el estado menos catolico (53.9%) y con mas protestantes (32.4%); Zacatecas (92.3%), Guanajuato (90.8%), Michoacan (89.3%) y Jalisco (89.2%) siguen ultracatolicos.	FUERTE	CIFRA-PUBLICADA	a	Composicion religiosa (catolica/protestante-evangelica) por entidad federativa, universo poblacion total censada, Censo 2020.	Mide composicion de poblacion por entidad, no intensidad de practica ni valor moral atribuido; el ITER esta a nivel localidad y su agregacion a entidad no se calculo en este lote (CERO MICRODATO).	persona; poblacion total censada por entidad; Censo de Poblacion y Vivienda 2020	Censo de Poblacion y Vivienda 2020 (INEGI), ITER	cpv2020_fd_iter_pdf|1b7ea20fb8f00b9ed248da725a43bda0c7bab6c96d4fe77d6ddf51b1876525eb|p.26	PCATOLICA (cod.214) y PRO_CRIEVA (cod.215), ITER 2020 p.26: 'Poblacion con religion protestante/cristiano evangelico: incluye...protestante, pentecostal, iglesia del Dios vivo,...'; agregacion por entidad no realizada aqui	MEDIBLE-EN-CORPUS	El payload del ITER 2020 (cpv2020_iter_nal_csv) esta en el manifiesto con id y sha256 reales, es de nivel localidad (agregable a entidad sin abrir microdato individual) y las variables PCATOLICA/PRO_CRIEVA estan definidas literalmente en el FD (p.26). U0 no abrio ni sumo el CSV.	cpv2020_iter_nal_csv|ff39bb1d1b6e6adcc6204622535d213d4cd04902bc6ab6e8345f244a6d5f85d6|raiz data_raw; U0 no abrio microdato		ninguna corrida con cpv2020_iter_nal_csv (u0mf --calc: 0 de 326)	ASTRA5-MESA-RELIGION	Una sesion con permiso de abrir el ITER (agregado, no microdato individual) puede sumar PCATOLICA/PRO_CRIEVA por entidad para verificar 53.9/32.4% (Chiapas) y 89-92% (Bajio).	CONC-CPV2020-ENTIDAD		u0pdf -q PCATOLICA --id cpv2020_fd_iter_pdf -> 1 (p.26); u0pdf -q PRO_CRIEVA --id cpv2020_fd_iter_pdf -> 1 (p.26); u0mf --busca chiapas -> 0 (de 1680, no hay documento especifico de Chiapas en manifiesto, la fuente es el ITER nacional agregable)	RELIGIOSIDAD	Cambiaria si al sumar el ITER por entidad las cifras de Chiapas/Bajio se apartaran en mas de un punto porcentual de 53.9/32.4% y 89-92%.
ASTRA5-U0-RELIG-007	religiosidad-007	LECTURA-dfb84e08-05	L17 · Resumen ejecutivo, hallazgo 5	Los 'sin religion' casi se duplicaron a 8.1% (10.2 millones); siete entidades (Edomex, CDMX, BC, Chiapas, Veracruz, NL y Chihuahua) reunen el 51.2% de esta poblacion.	FUERTE	CIFRA-PUBLICADA	a	Proporcion y concentracion geografica de personas censadas sin religion, universo poblacion total, Censo 2020.	Mide 'sin religion' censal, que no equivale a ateismo; nota de vigencia: el Censo 2020 muestra 11.2% protestante > 8.1% sin religion, mientras Pew 2024/2026 (fila 002/003) sugiere que 'sin religion' ya supera a protestante en anos mas recientes -- son olas y universos distintos, no la misma serie.	persona; poblacion total censada, por entidad; Censo de Poblacion y Vivienda 2020	Censo de Poblacion y Vivienda 2020 (INEGI), ITER	cpv2020_fd_iter_pdf|1b7ea20fb8f00b9ed248da725a43bda0c7bab6c96d4fe77d6ddf51b1876525eb|p.26	PSIN_RELIG (cod.217), ITER 2020 p.26: 'Poblacion sin religion: personas que declararon no tener religion o no estar adscritas en alguna'; concentracion por 7 entidades no calculada aqui	MEDIBLE-EN-CORPUS	Payload cpv2020_iter_nal_csv en manifiesto con id/sha reales; variable PSIN_RELIG definida literalmente en el FD (p.26), agregable por entidad sin abrir microdato individual. U0 no abrio el CSV.	cpv2020_iter_nal_csv|ff39bb1d1b6e6adcc6204622535d213d4cd04902bc6ab6e8345f244a6d5f85d6|raiz data_raw; U0 no abrio microdato		ninguna corrida con cpv2020_iter_nal_csv (u0mf --calc: 0 de 326)	ASTRA5-MESA-RELIGION	Sumar PSIN_RELIG por entidad (agregado ITER, no microdato) para verificar 8.1%/10.2M y la concentracion del 51.2% en las 7 entidades listadas.	CONC-CPV2020-SINRELIGION		u0pdf -q PSIN_RELIG --id cpv2020_fd_iter_pdf -> 1 (p.26); u0busca -q 'religion|religios|religiosidad' -> 119 aciertos con texto (de 314256 identidades, 113780 con texto), confirma variable de religion en varios instrumentos	RELIGIOSIDAD	Cambiaria si al sumar el ITER las 7 entidades listadas no alcanzaran 51.2% del total de PSIN_RELIG nacional.
ASTRA5-U0-RELIG-008	religiosidad-008	LECTURA-dfb84e08-05	L17 · Resumen ejecutivo, hallazgo 5	El propio censo creo la categoria 'creyente sin adscripcion religiosa' (3.1 millones), inexistente en 2010.	FUERTE (rige encabezado L17)	CIFRA-PUBLICADA	a	Existencia y tamano de una subcategoria censal 2020 que distinga 'cree pero sin adscripcion' de 'ateo/agnostico' dentro de la poblacion sin religion.	HALLAZGO DE VERIFICACION: el FD del ITER 2020 (p.26) solo define una categoria unica PSIN_RELIG ('personas que declararon no tener religion o no estar adscritas en alguna'), sin distinguir 'creyente sin adscripcion' de 'ateo/agnostico'; esa subcategoria especifica no se localizo en el ITER. Puede vivir en el cuestionario basico/ampliado censal (variable de religion completa, no el indicador ITER) o ser una lectura no confirmada del report.	persona; poblacion total censada; Censo de Poblacion y Vivienda 2020	Censo de Poblacion y Vivienda 2020 (INEGI); cuestionario basico/ampliado (no el ITER)	cpv2020_fd_iter_pdf|1b7ea20fb8f00b9ed248da725a43bda0c7bab6c96d4fe77d6ddf51b1876525eb|p.26 (unica categoria PSIN_RELIG hallada)	Buscado 'creyente sin adscripcion' en los 349 PDF registrados: 0 coincidencias; buscado 'sin adscripcion religiosa' en fd_iter_cpv2020.pdf: 1 coincidencia, es la definicion de PSIN_RELIG, sin submuestreo	MEDIBLE-CON-ADQUISICIÓN	El documento censal existe y tiene id en manifiesto, pero la subcategoria especifica citada por el report (3.1 millones 'creyente sin adscripcion' distinta de ateo) no se confirmo en el FD del ITER revisado. faltante: cuestionario basico/ampliado del Censo 2020 con la codificacion completa de la variable de religion (fuera del ITER), para verificar si existe ese subcodigo o si el report esta describiendo una categoria de otra publicacion (p.ej. tabulados especiales de INEGI).	cpv2020_fd_iter_pdf|1b7ea20fb8f00b9ed248da725a43bda0c7bab6c96d4fe77d6ddf51b1876525eb|raiz data_raw (solo el diccionario del ITER, no confirma la subcategoria)		no aplica	ASTRA5-MESA-RELIGION	Localizar y registrar el cuestionario basico/ampliado del Censo 2020 (variable de religion completa) o el tabulado especial de INEGI que sustente 'creyente sin adscripcion religiosa = 3.1 millones'; sin eso, tratar la cifra como no confirmada contra el corpus.	CONC-CPV2020-CREYENTESINADSCRIPCION		u0pdf -q 'creyente sin adscripcion' -> 0 (de 349 PDF); u0pdf -q 'sin adscripcion religiosa' --id cpv2020_fd_iter_pdf -> 1 (p.26, es PSIN_RELIG unica categoria)	RELIGIOSIDAD	Cambiaria si el cuestionario basico/ampliado del Censo 2020 mostrara efectivamente un subcodigo distinto para 'cree sin adscripcion' vs 'ateo/agnostico' dentro de PSIN_RELIG, confirmando los 3.1 millones.
ASTRA5-U0-RELIG-009	religiosidad-009	LECTURA-dfb84e08-06;RELIGION-INTERNO-01	L19 · Resumen ejecutivo, hallazgo 6; mapa de evidencia L74,L81	El auge evangelico responde tanto a incentivos racionales (disciplina, redes, sobriedad, movilidad) como a busqueda de sentido; la teologia de la prosperidad ofrece un marco de esperanza material.	MEDIA (mapa de evidencia L74 lo tiene como MEDIA; la 'teologia de la prosperidad' aparece ademas listada como HIPOTESIS RAZONABLE en L81 -- discrepancia de tier dentro del mismo report)	INTERPRETACION-DEL-REPORT	no-aplica	Atribucion causal mixta (motivo racional vs espiritual) del ingreso de personas a iglesias evangelicas/pentecostales en Mexico.	Es una sintesis/atribucion causal que combina motivaciones no observadas directamente; ningun instrumento recorrido en el corpus pregunta el motivo de conversion religiosa con opciones racional/espiritual. Ademas el propio report se autocontradice de tier: MEDIA en el hallazgo 6 y en el mapa L74, pero 'teologia de la prosperidad' aparece separada bajo HIPOTESIS RAZONABLE en L81.	persona que se convirtio a una iglesia evangelica/pentecostal; poblacion adulta mexicana; sin ola de instrumento identificada para el mecanismo	ninguno identificado para el mecanismo causal (ENCREER mide composicion/practica, no motivo de conversion)		Buscado 'conversion religios|convirtio.*religion|cambio de religion' en los 314256 identidades de reactivos (113780 con texto): 0 aciertos	NO-MEDIBLE-POR-DISEÑO	Es una atribucion causal de motivos de conversion (mezcla racional/espiritual) que ningun instrumento recorrido en el corpus pregunta directamente; se busco 'conversion religios|convirtio.*religion|cambio de religion' (0/113780 aciertos con texto) y 'encuentro social' (0 aciertos) como proxy de organizacion; no se identifico instrumento tras este recorrido; no equivale a imposibilidad universal -- un modulo de motivos de conversion (deseable, redes, movilidad) permitiria medirlo.			no aplica	ASTRA5-MESA-RELIGION	Si mesa quiere medir el mecanismo, se requeriria un modulo cualitativo/de motivos de conversion; no pedir una encuesta entera, sino ese modulo especifico dentro de un instrumento ya recorrido.	CONC-DOC-AUGEEVANGELICO-MECANISMO		u0busca -q 'conversion religios|convirtio.*religion|cambio de religion' -> 0 aciertos con texto (de 113780); u0busca -q 'encuentro social' -> 0; u0mf --busca 'encuentro social' -> 0 (de 1680)	RELIGIOSIDAD	Un diseno con modulo de motivos de conversion (panel o retrospectivo, con opciones racional/espiritual explicitas) permitiria dictaminar esta afirmacion; sin eso, cambia solo si aparece un estudio cualitativo mexicano con muestra probabilistica que la contradiga.
ASTRA5-U0-RELIG-010	religiosidad-010	RELIGION-INTERNO-01;RELIGION-INTERNO-04	L77 mapa de evidencia (MEDIA); L163 cuerpo	La experiencia migratoria Mexico-EE.UU. es catalizador de conversion: en estudios sobre mixtecos en Baja California y Santa Barbara, 'la mayoria de los integrantes de estas congregaciones cambio de religion despues de emigrar'.	MEDIA	CONCLUSION-DE-ESTUDIO	b	Proporcion de migrantes mixtecos que cambiaron de religion tras emigrar, en comunidades especificas de Baja California y Santa Barbara (EE.UU.).	El proyecto Hernandez/O'Connor cubre exactamente Baja California (Mexico, procedencia primaria a) y el sur de California, incluida Santa Barbara (EE.UU., procedencia diaspora b) -- coincide con la geografia citada por el report. El componente de Santa Barbara sigue siendo evidencia de diaspora/mexicano-americana, no de residentes en Mexico; solo el componente de Baja California cuenta como evidencia primaria mexicana. Titulo/autor ahora identificados (antes el report solo decia 'literatura de CIESAS/El Colef'; el autor real esta afiliado a El Colef, no a CIESAS).	persona migrante mixteca; comunidades de origen y destino; estudio no fechado por el report	Hernandez, A. y O'Connor, M.I., proyecto de campo 2000-2012 (Colef/UCSB); articulo 'Migracion y conversion religiosa entre los mixtecos de Oaxaca', Alteridades (UAM)	sin id en manifiesto. Alberto Hernandez (El Colegio de la Frontera Norte, Tijuana) y Mary I. O'Connor (UC Santa Barbara), proyecto multianual 2000-2012 sobre migracion y conversion religiosa mixteca (financiado por Interdisciplinary Humanities Center UCSB, UC Mexus y Fulbright-Hays), con trabajo de campo en Oaxaca, Sinaloa, Sonora y Baja California (Mexico) y sur de California (incl. Santa Barbara, EE.UU.); articulo relacionado 'Migracion y conversion religiosa entre los mixtecos de Oaxaca' en Alteridades (UAM, alteridades.izt.uam.mx) y scielo.org.mx (pid S0188-70172013000100002). Identificado por titulo/autor/institucion/revista; no leido el texto completo.		MEDIBLE-CON-ADQUISICIÓN	Documento y autores identificados con precision (Hernandez-El Colef, O'Connor-UCSB), coincidiendo geograficamente con la cita del report (Baja California y Santa Barbara). Falta leer el texto completo (Alteridades/scielo) para verificar la cita literal 'la mayoria de los integrantes de estas congregaciones cambio de religion despues de emigrar' y confirmar si el articulo es de CIESAS o de El Colef (el report dice 'CIESAS/El Colef' mezclados; la evidencia apunta a El Colef).	faltante: Hernandez, A. y O'Connor, M.I., proyecto de campo 2000-2012 (Colef/UCSB); articulo 'Migracion y conversion religiosa entre los mixtecos de Oaxaca', Alteridades (UAM)		no aplica	ASTRA5-MESA-MIGRACION	Leer el texto completo de 'Migracion y conversion religiosa entre los mixtecos de Oaxaca' (Alteridades, UAM o scielo.org.mx) para verificar la cita literal y separar el componente Baja California (Mexico) del componente Santa Barbara (EE.UU., diaspora) como exige el limite inferencial.	CONC-DOC-MIGRACIONCONVERSION-MIXTECOS		WebSearch 'mixtecos conversion religiosa evangelica Baja California Santa Barbara migracion CIESAS Colef' (24/sep/2026) -> localiza proyecto Hernandez/O'Connor y articulo en Alteridades/scielo.	MIGRACION	Un estudio identificado con muestra probabilistica de migrantes mixtecos que mida tasa de conversion pre/post migracion permitiria dictaminar; cambiaria si esa tasa resultara marginal en vez de mayoritaria.
