id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-SALUD-001	salud-cuerpo-001	LECTURA-bbdb2e23-01	L9 · Resumen ejecutivo #1 / Patrón A	México es el primer consumidor de refrescos del mundo, con un promedio de 163 litros por persona al año —40% más que Estados Unidos (118 litros, segundo lugar)— (Gaceta UNAM/Universidad de Yale).	FUERTE	CIFRA-PUBLICADA	mixta (agregado de consumo aparente citado por UNAM, fuente primaria no mexicana declarada: Yale/Euromonitor)	Volumen de consumo aparente de refresco per cápita en México vs. EE.UU. (litros/persona/año), indicador macro de mercado, no reactivo de encuesta a personas.	Es una cifra agregada de mercado (consumo aparente), no autoreporte individual; no permite atribuir mecanismo (precio/tiempo/disponibilidad) sin un estudio de elección observado.	unidad=país (agregado); universo=población total de México y EE.UU.; no hay ola de encuesta, es serie de mercado.	No es instrumento de encuesta: boletín Gaceta UNAM (2019) que cita a Yale/Euromonitor. No está en el manifiesto del repo.	SIN-ID-MANIFIESTO; URL https://www.gaceta.unam.mx/mexico-primer-consumidor/ (hallado por WebSearch, ejecutor previo)	N/A — no es reactivo de encuesta; es cifra de mercado citada por un boletín institucional.	MEDIBLE-CON-ADQUISICIÓN	El documento (boletín Gaceta UNAM 2019, citando Yale/Euromonitor) está identificado con URL institucional (no prensa: es órgano oficial de difusión de la UNAM) pero no está registrado en data/manifiesto.yaml; falta adquirir/registrar el boletín y, si se quiere trazar el dato primario, la fuente Yale/Euromonitor que UNAM cita.	faltante: No es instrumento de encuesta: boletín Gaceta UNAM (2019) que cita a Yale/Euromonitor. No está en el manifiesto del repo. (https://www.gaceta.unam.mx/mexico-primer-consumidor/); SIN-ID-MANIFIESTO; documento identificado por URL, no registrado en el manifiesto; U0 no abrió microdato.	ninguna	ninguna corrida con este documento (u0mf --calc: no aplica, no es payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar en manifiesto el boletín Gaceta UNAM (2019) y localizar la fuente primaria Yale/Euromonitor citada; cotejo de la cifra exacta (163L) es residual tras el registro.	CONC-DOC-GACETAUNAM-REFRESCO-2019		u0mf --busca refresco: 0 entradas (1680 examinadas); WebSearch 'Gaceta UNAM refresco consumo litros México primer lugar mundial Yale' (ejecutor previo, item 24 del log previo) → gaceta.unam.mx/mexico-primer-consumidor/	CONSUMO	Cambiaría si series posteriores de Euromonitor/FAO/OMS muestran que México ya no ocupa el primer lugar mundial de consumo per cápita de refresco, o si la cifra de 163L no se reproduce al leer la fuente primaria (Yale) citada por UNAM.
ASTRA5-U0-SALUD-002	salud-cuerpo-002	LECTURA-bbdb2e23-01	L9 · Resumen ejecutivo #1 / Patrón A	La dieta tradicional (maíz-frijol-milpa) ya solo es la principal para ~6% de la población (Guibrunet, Instituto de Geografía UNAM, 2024).	FUERTE	CIFRA-PUBLICADA	primaria México (estudio de investigadora UNAM sobre población mexicana)	Proporción de la población para la que la dieta maíz-frijol-milpa es la dieta PRINCIPAL (autoidentificación o clasificación de patrón dietético), año/estudio de Guibrunet 2024.	No se conoce el reactivo exacto (autoreporte vs. clasificación por consumo observado) ni la muestra/representatividad del estudio sin leer el paper o el boletín completo.	unidad=persona/hogar; universo=población mexicana (representatividad por confirmar); ola=2024 (estudio Guibrunet).	Estudio académico de Louise Guibrunet (Instituto de Geografía, UNAM), difundido en boletín UNAM y prensa (El Financiero, 7 ene 2024). No es instrumento del corpus.	SIN-ID-MANIFIESTO; URL https://www.dgcs.unam.mx/boletin/bdboletin/2024_014.html (boletín UNAM, hallado por WebSearch, ejecutor previo)	N/A — no es reactivo de encuesta del corpus; es hallazgo de estudio académico difundido por boletín institucional.	MEDIBLE-CON-ADQUISICIÓN	Documento identificado (boletín oficial UNAM 2024, autora y tema verificables); no registrado en el manifiesto del repo. El artículo de El Financiero que el report cita es prensa (no se usa como fuente primaria); el boletín UNAM es la vía aceptable.	faltante: Estudio académico de Louise Guibrunet (Instituto de Geografía, UNAM), difundido en boletín UNAM y prensa (El Financiero, 7 ene 2024). No es instrumento del corpus. (https://www.dgcs.unam.mx/boletin/bdboletin/2024_014.html); SIN-ID-MANIFIESTO; documento identificado por URL, no registrado en el manifiesto; U0 no abrió microdato.	ninguna	ninguna corrida (no es payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar el boletín UNAM 2024 y, de ser posible, el paper original de Guibrunet (Instituto de Geografía UNAM) en el manifiesto; extraer el reactivo/metodología exacta del ~6%.	CONC-DOC-GUIBRUNET-DIETA-2024		WebSearch 'Guibrunet dieta tradicional maíz frijol milpa México Instituto de Geografía' (ejecutor previo, item 25 del log previo) → dgcs.unam.mx/boletin/bdboletin/2024_014.html	CONSUMO	Cambiaría si el paper original de Guibrunet reporta una cifra distinta a ~6%, o si se define 'dieta principal' de forma que incluya combinaciones parciales maíz-frijol que eleven sustancialmente el porcentaje.
ASTRA5-U0-SALUD-003	salud-cuerpo-003	LECTURA-bbdb2e23-02	L11 · Resumen ejecutivo #2 / Patrón C	El impuesto al refresco (2014) redujo compras ~6% el primer año y hasta 12% para diciembre 2014, con la mayor caída en hogares de nivel socioeconómico bajo (9-17%) (Colchero et al., BMJ 2016; Health Affairs 2017).	FUERTE	CIFRA-PUBLICADA	primaria México (paneles de compra de hogares mexicanos, Colchero et al.)	Cambio porcentual en compras de bebidas azucaradas por hogar tras el IEPS 2014, total y por NSE (bajo vs. resto), en panel de hogares mexicanos.	Es una asociación observacional (panel pre/post, sin grupo de control aleatorizado); el propio report anota que el efecto es 'modesto frente a la magnitud del problema' según modelaje posterior (PubMed 2023).	unidad=hogar; universo=hogares mexicanos con panel de compras (Nielsen/Kantar, según Colchero et al.); ola=2014 (primer año) y seguimiento a 2 años (2016).	Colchero MA et al., 'Beverage purchases from stores in Mexico under the excise tax…' BMJ 2016; y 'In Mexico, Evidence Of Sustained Consumer Response…' Health Affairs 2017.	SIN-ID-MANIFIESTO; BMJ 2016 (pubmed.ncbi.nlm.nih.gov/28228484) y Health Affairs 2017 (doi 10.1377/hlthaff.2016.1231) — hallados por WebSearch, ejecutor previo	N/A — estudio de panel de compras de hogar, no reactivo de encuesta del corpus.	MEDIBLE-CON-ADQUISICIÓN	Ambos papers de Colchero et al. están identificados con DOI/URL verificables (BMJ, Health Affairs); no están en el manifiesto del repo. El componente (cambio en compras por NSE) es observable en el propio artículo; falta registrar los documentos.	faltante: Colchero MA et al., 'Beverage purchases from stores in Mexico under the excise tax…' BMJ 2016; y 'In Mexico, Evidence Of Sustained Consumer Response…' Health Affairs 2017. (10.1377/hlthaff.2016.1231)); SIN-ID-MANIFIESTO; documentos identificados (BMJ 2016, Health Affairs 2017), no registrados en el manifiesto; U0 no abrió microdato.	ninguna	ninguna corrida (no es payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar ambos papers de Colchero et al. en el manifiesto; cotejar cifras exactas (6%/12%/9-17%) contra el texto de los artículos.	CONC-DOC-COLCHERO-IEPS-2014		WebSearch 'Colchero sugar sweetened beverage tax Mexico BMJ 2016 Health Affairs 2017' (ejecutor previo, item 15 del log previo)	CONSUMO	Cambiaría si estudios posteriores con datos de panel 2018-2024 no muestran diferencial de respuesta por NSE, o si el aumento del IEPS a 3.08 pesos/litro (2026) no reproduce el patrón regresivo-en-costo/progresivo-en-salud.
ASTRA5-U0-SALUD-004	salud-cuerpo-004	LECTURA-bbdb2e23-02	L11 · Resumen ejecutivo #2 / Patrón B	El etiquetado octagonal (oct. 2020) redujo compras de chatarra y forzó reformulación industrial.	FUERTE	CONCLUSION-DE-ESTUDIO	primaria México (International Food Policy Study México 2020-2021; estudios de reformulación industrial)	(a) Cambio autoreportado de compra tras ver sellos de advertencia (elegir producto con menos sellos / no comprar) en adultos y jóvenes mexicanos; (b) reducción de nutrimentos críticos declarados por marcas (reformulación).	El propio report señala que el efecto sobre compra es mayormente AUTOREPORTE (sesgo de deseabilidad social) y que el efecto sobre estado nutricional no ha sido evaluado por revisión sistemática; el efecto de compra REAL (panel) es 'más modesto que el autoreporte'.	unidad=persona (compra reportada) y unidad=producto/marca (reformulación); universo=adultos ≥18 y jóvenes 14-17 años, México 2020-2021 (IFPS); reformulación: canasta de productos con sello, México 2019-2022 (INSP).	International Food Policy Study México 2020-2021 (encuesta transversal en línea repetida); estudio de reformulación INSP/PLOS Medicine.	SIN-ID-MANIFIESTO; Medigraphic IDARTICULO=122581 ('Comportamiento de compra reportado por adultos mexicanos…') y PLOS Medicine 10.1371/journal.pmed.1004533 ('Product reformulation in non-alcoholic beverages and foods…') — hallados por WebSearch propia	N/A — encuesta académica (IFPS), no reactivo del corpus del proyecto; cifra citada por el report: 30.5% eligió producto con menos sellos, 38.7% no compró el producto (Medigraphic).	MEDIBLE-CON-ADQUISICIÓN	Documentos identificados con URL/DOI verificables (Medigraphic, PLOS Medicine); no están en el manifiesto del repo. El componente autoreportado de compra y el de reformulación están en documentos distintos (misma sección del report, fuente distinta) pero se agrupan aquí porque comparten el mismo hallazgo (efecto del etiquetado 2020) y ola.	faltante: International Food Policy Study México 2020-2021 (encuesta transversal en línea repetida); estudio de reformulación INSP/PLOS Medicine. (10.1371/journal.pmed.1004533); SIN-ID-MANIFIESTO; documentos identificados, no registrados en el manifiesto; U0 no abrió microdato.	ninguna	ninguna corrida (no son payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar Medigraphic IDARTICULO=122581 y PLOS Medicine 10.1371/journal.pmed.1004533 en el manifiesto; separar en filas distintas si se decide medir compra-autoreportada y reformulación por separado.	CONC-DOC-IFPS-ETIQUETADO-2020		WebSearch 'International Food Policy Study Mexico 2020 2021 sellos etiquetado octagonal Medigraphic 30.5% 38.7%' (propia, 24/sep/2026) → medigraphic.com/…122581, journals.plos.org/plosmedicine/…1004533	CONSUMO	Cambiaría si un panel de compra observada (no autoreporte) no muestra reducción de chatarra tras oct-2020, o si estudios de reformulación posteriores no confirman la caída de sellos por sodio/azúcar reportada por INSP.
ASTRA5-U0-SALUD-005	salud-cuerpo-005	LECTURA-bbdb2e23-03	L13 · Resumen ejecutivo #3 / Patrón D	Las farmacias con consultorio anexo atienden alrededor de 10.6 millones de personas al mes y ofrecen unas 325 mil consultas diarias (COFEPRIS, vía Saludiario); Anafarmex cifró 'más de 350 mil consultas a diario, es decir, 10 millones 500 mil al mes' (2022).	FUERTE	CIFRA-PUBLICADA	primaria México (fuente administrativa/gremial: COFEPRIS, Anafarmex)	Volumen mensual/diario de consultas atendidas en consultorios adyacentes a farmacias (CAF) en México, según registro regulatorio (COFEPRIS) y asociación gremial (Anafarmex).	Son cifras administrativas/gremiales, no de encuesta a personas; la cifra de COFEPRIS se conoce solo 'vía Saludiario' (medio especializado, no gob.mx directo) y la de Anafarmex es una declaración pública sin documento fuente citado con página.	unidad=consulta/evento de atención; universo=consultorios adyacentes a farmacia en México; ola=~2022-2025 (Anafarmex: 13,000 en 2013 a 20,000 en 2025).	Registro regulatorio COFEPRIS (estrategia de regulación de consultorios en farmacias) y declaraciones públicas de Anafarmex.	SIN-ID-MANIFIESTO; https://www.gob.mx/cofepris/prensa/avanza-la-estrategia-para-regular-consultorios-en-farmacias-62847 (gob.mx, hallado por WebSearch, ejecutor previo); cifra de Anafarmex sin documento primario localizado (solo referida por el report 'vía Saludiario')	N/A — no es reactivo de encuesta; es cifra administrativa/gremial.	MEDIBLE-CON-ADQUISICIÓN	El comunicado COFEPRIS (gob.mx) está identificado y es fuente oficial; la cifra de Anafarmex requiere localizar el comunicado/declaración primaria de la asociación (no se encontró documento propio de Anafarmex con esa cifra, solo la referencia del report vía Saludiario, que es medio especializado y no gob.mx).	faltante: Registro regulatorio COFEPRIS (estrategia de regulación de consultorios en farmacias) y declaraciones públicas de Anafarmex. (https://www.gob.mx/cofepris/prensa/avanza-la-estrategia-para-regular-consultorios-en-farmacias-62847); SIN-ID-MANIFIESTO; documento COFEPRIS identificado por URL, no registrado en el manifiesto; cifra Anafarmex sin documento primario propio localizado; U0 no abrió microdato.	ninguna	ninguna corrida (no son payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar el comunicado COFEPRIS en el manifiesto; localizar el comunicado/boletín propio de Anafarmex (no Saludiario) con la cifra de 350 mil consultas/día antes de tratarla como comprobada.	CONC-DOC-COFEPRIS-CAF-VOLUMEN		WebSearch 'COFEPRIS consultorios adyacentes farmacia consultas mensuales regulación' (ejecutor previo, item 21 del log previo)	SALUD	Cambiaría si el padrón COFEPRIS de CAF activos y su volumen de consultas (si se publica con desglose) no se acerca a 10-10.6 millones/mes, o si Anafarmex no puede sustentar su cifra con un documento propio.
ASTRA5-U0-SALUD-006	salud-cuerpo-006	LECTURA-bbdb2e23-03	L13 · Resumen ejecutivo #3 / Patrón D	En 2022, 17.7% de quienes tuvieron una necesidad de salud acudieron a [consultorios adyacentes a farmacia].	FUERTE	CIFRA-PUBLICADA	primaria México (ENSANUT, ola no especificada por el report más allá de '2022')	Proporción de personas con necesidad de salud (últimos 3 meses) que fueron atendidas en la institución/proveedor 'consultorios pertenecientes a farmacias/farmacias con consultorio médico' (categoría 12 de la variable u0201).	El report no cita la ola exacta más allá de '2022'; el corpus solo tiene ENSANUT 2024 (no 2022), por lo que el 17.7% reportado no se reproduce con el dato disponible; el componente SÍ es medible con la ola 2024 disponible, pero daría una cifra distinta (otra ola) y no una reproducción de la cifra 2022.	unidad=persona-evento de atención; universo=personas con necesidad de salud en los últimos 3 meses, ENSANUT (módulo utilizadores); ola disponible en corpus=2024 (report cita 2022, no disponible).	ENSANUT 2024, cuestionario de Utilizadores, variable u0201 (institución/prestador de atención, 24 categorías, incluye categoría 12 'consultorios pertenecientes a farmacias/farmacias con consultorio médico').	5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios|004aacee3729009e79065ba7e2c4afacfc7f7c3e418e735c405f46e9189fafa6|p.2-p.3	'…u0201e instituto mexicano del seguro social (imss)… 12 consultorios pertenecientes a farmacias/farmacias con consultorio medico… 13 consultorio dentro de hospital privado…' (24 categorías completas en p.2-p.3 del cuestionario Utilizadores)	MEDIBLE-EN-CORPUS	La variable u0201 (institución de atención) con la categoría exacta 'consultorios pertenecientes a farmacias' está en el cuestionario Utilizadores ENSANUT 2024, cuyo payload tiene id en el manifiesto; el componente 'cuota de atención en CAF entre quienes tuvieron necesidad de salud' es directamente medible con esta ola (aunque distinta a la 2022 que cita el report).	utilizadores_ensanut2024_w_stata_stata|1fb44754452e5cbf8d8b195385cd4b052cde80b4784ac38193527682f8ceb482|raíz descargas_mx; U0 no abrió microdato.	ninguna	ninguna corrida con utilizadores_ensanut2024_w_stata_stata (u0mf --calc: 0 de 326 corridas)	ASTRA5-MESA-SALUD	Medir con ENSANUT 2024 la proporción de utilizadores con u0201=12 sobre el universo de necesidad de salud (módulo Hogar, sección IV); declarar que es una cifra de otra ola, no una reproducción del 17.7% de 2022.	CONC-ENSANUT2024-U0201		u0pdf -q 'farmacia|consultorio|hospital|clinica|imss|issste' --idsub utilizadores → 94 coincidencias, 30 mostradas (propia); u0busca -q 'consultorio|farmacia' --encuesta ensanut → 0 aciertos con texto (variable-level index no indexó las categorías de u0201; solo el PDF las trae)	SALUD	Cambiaría si la proporción con u0201=12 en ENSANUT 2024 resultara muy distinta (p. ej. <5% o >30%) del 17.7% de 2022, lo que indicaría una tendencia real de sustitución de proveedor y no solo ruido de ola.
ASTRA5-U0-SALUD-007	salud-cuerpo-007	LECTURA-bbdb2e23-04	L15 · Resumen ejecutivo #4 / Patrón G	ENCODAT 2025: el consumo de alcohol en mujeres subió de 62.6% (2016) a 69.3% (2025).	FUERTE	CIFRA-PUBLICADA	primaria México (ENCODAT, encuesta nacional probabilística)	Prevalencia de consumo de alcohol ALGUNA VEZ EN LA VIDA en mujeres de 12-65 años, México, comparando ENCODAT 2016 vs. 2025.	Es 'alguna vez en la vida' (no consumo reciente); el aumento en mujeres coexiste con estabilidad en hombres (78.5% vs 80.1%, sin cambio) y descenso en adolescentes — no implica que el consumo problemático suba igual.	unidad=persona; universo=mujeres de 12-65 años, México, representatividad nacional/regional/urbano-rural; ola=2016 vs. 2025.	ENCODAT 2025 (Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco), Secretaría de Salud/CONASAMA/INSP/Instituto Nacional de Psiquiatría, diseño probabilístico multietápico; comparación con ENCODAT 2016.	SIN-ID-MANIFIESTO; ENCODAT-_ResumenEjecutivo.pdf, https://www.gob.mx/cms/uploads/attachment/file/1044514/ENCODAT-_ResumenEjecutivo.pdf, p.3 y p.12 (leído íntegro por WebFetch+lectura de PDF, propia, 24/sep/2026)	'La prevalencia de consumo de alcohol alguna vez en la vida en la población de 12 a 65 años aumentó de 71.0% en 2016 a 73.7% en 2025; en los hombres no se observaron cambios (80.1% a 78.5%) y en mujeres incrementó (62.6% a 69.3%).' (p.12, sección 'Consumo de alcohol')	MEDIBLE-CON-ADQUISICIÓN	Leí el documento primario oficial (Resumen Ejecutivo ENCODAT 2025, gob.mx) y confirmé la cita literal con página exacta; la cifra del report (62.6%→69.3%) coincide exactamente. El documento y la encuesta ENCODAT (2016 y 2025) no están registrados en data/manifiesto.yaml del repo (u0mf --busca encodat: 0 de 1680), por lo que falta su adquisición/registro formal, no la verificación del contenido.	faltante: ENCODAT 2025 (Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco), Secretaría de Salud/CONASAMA/INSP/Instituto Nacional de Psiquiatría, diseño probabilístico multietápico; comparación con ENCODAT 2016. (https://www.gob.mx/cms/uploads/attachment/file/1044514/ENCODAT-_ResumenEjecutivo.pdf); SIN-ID-MANIFIESTO; documento leído íntegramente con URL y página, no registrado en el manifiesto; U0 no abrió microdato.	ninguna (ENCODAT no está en la lista de reservas §0.3 de este lote)	ninguna corrida (ENCODAT no es payload_id de manifiesto; u0mf --calc: no aplica)	ASTRA5-MESA-SALUD	Registrar ENCODAT 2016 y 2025 (Resumen Ejecutivo, Informe Completo y microdato si se publica) en el manifiesto del repo.	CONC-DOC-ENCODAT2025-ALCOHOL-MUJERES		u0mf --busca encodat → 0 entradas (1680 examinadas, propia y ejecutor previo); WebFetch https://www.gob.mx/cms/uploads/attachment/file/1044514/ENCODAT-_ResumenEjecutivo.pdf (propia, 24/sep/2026) → PDF leído págs.1-14 con Read	SALUD	Cambiaría si el Informe Completo de ENCODAT 2025 (no solo el Resumen Ejecutivo) reporta una cifra distinta para mujeres, o si un análisis por cohorte muestra que el aumento se concentra en un subgrupo de edad específico y no es generalizable a 'mujeres' en conjunto.
ASTRA5-U0-SALUD-008	salud-cuerpo-008	LECTURA-bbdb2e23-04	L15 · Resumen ejecutivo #4 / Patrón G	ENCODAT 2025: … el binge adolescente cayó de 8.3% a 2.6%.	FUERTE	CIFRA-PUBLICADA	primaria México (ENCODAT, encuesta nacional probabilística)	Prevalencia de consumo EXCESIVO de alcohol en el ÚLTIMO MES en adolescentes de 12-17 años, México, ENCODAT 2016 vs. 2025.	El report llama a esto 'binge adolescente' pero el documento primario lo etiqueta 'consumo excesivo en el último mes' (no necesariamente el criterio clínico estándar de binge drinking, p. ej. 5+/4+ copas en una ocasión); en último año la caída es de 15.2% a 6.3%, cifra distinta a la citada.	unidad=persona; universo=adolescentes de 12-17 años, México; ola=2016 vs. 2025.	ENCODAT 2025, comparación con ENCODAT 2016.	SIN-ID-MANIFIESTO; ENCODAT-_ResumenEjecutivo.pdf, p.3 y p.13 (leído íntegro, propia, 24/sep/2026)	'La prevalencia de consumo excesivo de alcohol en el último mes disminuyó de 19.8% en 2016 a 15.7% en 2025 en la población de 12 a 65 años… En adolescentes la prevalencia disminuyó de 8.3% a 2.6%. La reducción fue de 8.9% a 3.3% en hombres y de 7.7% a 1.9% en mujeres' (p.13, 'Consumo excesivo de alcohol en el último mes')	MEDIBLE-CON-ADQUISICIÓN	Cita literal confirmada con página exacta contra el documento primario oficial; coincide con exactitud (8.3%→2.6%). Documento no registrado en el manifiesto del repo.	faltante: ENCODAT 2025, comparación con ENCODAT 2016.; SIN-ID-MANIFIESTO; documento leído íntegramente con URL y página, no registrado en el manifiesto; U0 no abrió microdato.	ninguna	ninguna corrida (ENCODAT no es payload_id de manifiesto)	ASTRA5-MESA-SALUD	Registrar ENCODAT 2016/2025 en el manifiesto; si se usa el término 'binge', aclarar en el RESULT que el instrumento mide 'consumo excesivo último mes', no un criterio clínico de copas por ocasión.	CONC-DOC-ENCODAT2025-BINGE-ADOLESCENTE		Lectura directa del PDF oficial ENCODAT 2025 Resumen Ejecutivo p.13 (propia, 24/sep/2026)	SALUD	Cambiaría si el criterio de 'consumo excesivo' se redefine (p. ej. a 5+/4+ copas por ocasión) y la caída no se sostiene, o si el desglose por edad dentro de 12-17 muestra que la caída se concentra solo en los más jóvenes.
ASTRA5-U0-SALUD-009	salud-cuerpo-009	LECTURA-bbdb2e23-05	L17 · Resumen ejecutivo #5	ENSANUT 2022: 21.6% de hombres reportó necesidad de salud vs 27.4% de mujeres.	FUERTE	CIFRA-PUBLICADA	primaria México (ENSANUT)	Proporción de personas que reportan haber tenido una necesidad de salud en los últimos 3 meses, por sexo (hombres vs. mujeres).	El report cita 'ENSANUT 2022'; el corpus solo tiene ENSANUT 2024 (ola distinta). El componente es medible con 2024 (variables de necesidad de salud, sección IV del cuestionario Hogar) pero no reproduce la cifra 2022 citada.	unidad=persona; universo=población total ENSANUT (todas las edades, sección IV se aplica a 'todas las personas'); ola disponible en corpus=2024 (report cita 2022, no disponible).	ENSANUT 2024, cuestionario Hogar, Sección IV 'Situación de salud y utilización de servicios de salud', pregunta 4.1-4.2 (necesidad de salud en últimos 3 meses) y H0406 (si fue atendido).	1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios|adc873843b79067a1a2212e25b1f90f6ecb916f8541ad0e42411fd933126c425|p.13-p.14	'4.1 en los últimos 3 4.2 ¿podría decirme cuál fue la última necesidad de salud que tuvo (usted/nombre) en los últimos 3 meses, meses?' (p.13); 'H0406 ¿(USTED/NOMBRE) fue atendido por esa necesidad de salud en alguna institución…?' (p.14; u0busca variable_id=h0406, payload adultos_ensanut2024_w/integrantes_ensanut2024_w_icb)	MEDIBLE-EN-CORPUS	La pregunta de necesidad de salud en últimos 3 meses (sección IV, impresa en el cuestionario Hogar) y su variable de atención (H0406) tienen id en el manifiesto y texto literal citado. El payload hogar_ensanut2024_w_icb_csv_csv NO trae estas variables (su propia nota de manifiesto declara que excluye 'Secciones III/IV' por integrante); H0405/H0406 residen en el payload de Integrantes (y también en Adultos), que sí es el dato correcto a usar.	integrantes_ensanut2024_w_icb_stata_stata__v2026_09_01|20a9fae339da3fa3fc6ce20e81b6b1cf32375b40baf5a876d760a15f01ec6aa9|raíz descargas_mx; adultos_ensanut2024_w_stata_stata__v2026_09_01|0fa8f4436fa427cc23d1d43164d449462c09eb787cb45ad20961576cb095a6c4|raíz descargas_mx; U0 no abrió microdato.	ninguna	ninguna corrida con estos payloads (u0mf --calc: 0 de 326 corridas)	ASTRA5-MESA-SALUD	Medir con ENSANUT 2024 la proporción con necesidad de salud por sexo; declarar que es una cifra de otra ola, no reproducción de 2022; localizar el artículo ENSANUT 2022 específico si se requiere reproducir la cifra citada.	CONC-ENSANUT2024-NECESIDAD-SALUD-SEXO		u0pdf -q 'h0406|necesidad de salud|tuvo alguna enfermedad, accidente' --id 1_vfinal_… → 8 coincidencias (propia); u0busca -q 'h0406' → 4 aciertos con texto (propia)	SALUD	Cambiaría si la brecha hombres/mujeres en necesidad de salud reportada en ENSANUT 2024 es sustancialmente distinta (p. ej. se cierra o se invierte) a la de 2022.
ASTRA5-U0-SALUD-010	salud-cuerpo-010	LECTURA-bbdb2e23-05	L17 · Resumen ejecutivo #5	el INEGI estima que 'más del 60% de los hombres solo busca atención médica cuando los síntomas son graves o persistentes' (citado por Excélsior/Milenio, 2026)	FUERTE (rige el hallazgo #5)	CIFRA-PUBLICADA	primaria México (atribuida a INEGI, pero solo localizada vía prensa)	Proporción de hombres que retrasan la búsqueda de atención médica hasta que los síntomas son graves/persistentes, según estimación atribuida a INEGI.	El propio report cita esta cifra 'vía Excélsior/Milenio' (prensa), no un documento INEGI directo; no se localizó el documento primario de INEGI con este dato exacto.	unidad=persona; universo=hombres en México (edad y ola no especificadas por el report).	No identificado con precisión: posible INEGI 'Mujeres y Hombres en México' o comunicado de prensa; solo hallado como cifra similar en contexto distinto (INEGI: 83.6% vs 87.9% buscan atención entre quienes tuvieron necesidad, cifra distinta a '>60% solo cuando es grave').	NO-LOCALIZADO-EN-ESTE-LOTE	N/A	MEDIBLE-CON-ADQUISICIÓN	Cierre bajo regla 4: el report solo cita esta cifra a traves de prensa (Excelsior/Milenio, 2026); la primera pasada ya intento WebSearch y solo hallo INEGI/gob.mx con una cifra distinta (83.6% hombres vs 87.9% mujeres buscan atencion entre quienes tuvieron necesidad), no la de '>60% solo cuando es grave'. En esta pasada presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada, por lo que no fue posible repetir o ampliar la busqueda web. EXISTENCIA-NO-COMPROBADA tras las consultas de la primera pasada (WebSearch 'INEGI hombres buscan atencion medica sintomas graves persistentes salud masculina') mas 0 consultas nuevas en esta.	SIN-ID-MANIFIESTO; EXISTENCIA-NO-COMPROBADA tras esta pasada (INEGI existe como institucion, pero no el documento exacto con esta cifra)	ninguna	ninguna corrida (no aplica)	ASTRA5-MESA-SALUD	NO-ACCESIBLE-DESDE-SANDBOX (existencia no comprobada; no equivale a «no existe», A.4) → GEN2-ASTRA5-U5-ADQUISICION-1, con la receta forense/analisis/dominios/receta-acceso-fuentes-2026-09-24.md. Con presupuesto WebSearch disponible: localizar el documento INEGI primario (posible comunicado especifico de salud masculina, Dia del Hombre, o similar) que sustente '>60% de los hombres solo busca atencion cuando los sintomas son graves/persistentes'; si no existe, declarar la cifra como atribucion de prensa sin respaldo documental verificado.	CONC-DOC-INEGI-HOMBRES-ATENCION-TARDIA		WebSearch 'INEGI hombres buscan atencion medica sintomas graves persistentes salud masculina' (ejecutor previo) -> solo gob.mx/salud/prensa e INEGI 'Mujeres y Hombres en Mexico 2024' con cifra distinta (83.6%/87.9%). Segunda pasada 24-sep-2026: presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada; 0 consultas WebSearch nuevas; u0mf --busca inegi --busca hombres no aporta (termino demasiado generico para el inventario de este corpus).	SALUD	Se resolvería si se localiza el documento INEGI original citado por Excélsior/Milenio con la cifra exacta y su metodología; de no existir, la afirmación queda como cifra de prensa sin respaldo documental primario verificado en este lote.
