unidad	tipo	filas_o_contratos	razon
LECTURA-d47463c2-01	G,F	ASTRA5-U0-TEC-011;ASTRA5-U0-TEC-012;ASTRA5-U0-TEC-013	
LECTURA-d47463c2-02	G,F	ASTRA5-U0-TEC-014	
LECTURA-d47463c2-03	G,F	ENLACE	
LECTURA-d47463c2-04	G,F	ASTRA5-U0-TEC-015;ASTRA5-U0-TEC-016;ASTRA5-U0-TEC-017;ASTRA5-U0-TEC-018	
LECTURA-d47463c2-05	G,F	ASTRA5-U0-TEC-019;ASTRA5-U0-TEC-020	
LECTURA-d47463c2-06	G,F	ASTRA5-U0-TEC-021;ASTRA5-U0-TEC-022	
LECTURA-d47463c2-07	G,F	ASTRA5-U0-TEC-023	
LECTURA-d47463c2-08	G,F	ASTRA5-U0-TEC-024;ASTRA5-U0-TEC-025;ASTRA5-U0-TEC-026;ASTRA5-U0-TEC-027;ASTRA5-U0-TEC-028	
LECTURA-d47463c2-09	G,F	ASTRA5-U0-TEC-029;ASTRA5-U0-TEC-030	
LECTURA-d47463c2-10	G,F	ASTRA5-U0-TEC-031;ASTRA5-U0-TEC-032	
LECTURA-d47463c2-11	G,F	ASTRA5-U0-TEC-038	
LECTURA-d47463c2-12	G,F	ASTRA5-U0-TEC-039	
LECTURA-d47463c2-13	G,F	ASTRA5-U0-TEC-040	
LECTURA-d47463c2-14	G,F	ASTRA5-U0-TEC-041	
LECTURA-d47463c2-15	G,F	ASTRA5-U0-TEC-042	
CAND-d47463c2-L5	P	ASTRA5-U0-TEC-011;ASTRA5-U0-TEC-012	DEDUP: mismo contenido que G-01 (LECTURA-d47463c2-01), TL;DR repite el hallazgo
CAND-d47463c2-L6	P	ASTRA5-U0-TEC-014	DEDUP: mismo contenido que G-02 (LECTURA-d47463c2-02)
CAND-d47463c2-L7	P	ENLACE	
CAND-d47463c2-L100	P	ASTRA5-U0-TEC-029;ASTRA5-U0-TEC-030	
TIER-d47463c2-L80	T	ASTRA5-U0-TEC-033;ASTRA5-U0-TEC-034	Encabezado NARRATIVA POPULAR rige bloque L81-83 (tres narrativas); tratadas, no NO-AFIRMACION
LECTURA-TEC-INT-01	F	ENLACE	
LECTURA-TEC-INT-02	F	ENLACE	
LECTURA-TEC-INT-03	F	ENLACE	
INT-L62	INT	ASTRA5-U0-TEC-035	
INT-L65	INT	ENLACE	
INT-L66	INT	ASTRA5-U0-TEC-036	
INT-L74	INT	ASTRA5-U0-TEC-037	
INT-L78	INT	ASTRA5-U0-TEC-032	
INT-L83	INT	ASTRA5-U0-TEC-033	
INT-L88	INT	ASTRA5-U0-TEC-043	
INT-L103	INT	ASTRA5-U0-TEC-033	
INT-L109	INT	ENLACE	
INT-L81	INT	ASTRA5-U0-TEC-034	
INT-L82	INT	ASTRA5-U0-TEC-034	
INT-L111	INT		NO-AFIRMACION: prosa de Causas (85% percepcion corrupcion electoral 2020) sin tier explicito; no decompuesta en este lote por alcance (ver nota al supervisor)
INT-L142-L157	INT		NO-AFIRMACION: seccion Recommendations (Etapa 1/2, Benchmarks) es prosa sin marca de tier explicita y ningun G/P/T/F la referencia; leida integra pero no decompuesta en filas por alcance de este lote (nota al supervisor)
INT-L116-L125	INT	ENLACE;ENLACE	Segmentacion explicita: edad y genero ya cubiertos via TEC-008/009 (tecnologia-037/038); region/clase/escolaridad/migracion son prosa sin tier explicito, no decompuestas en este lote (nota al supervisor)
