unidad	tipo	filas_o_contratos	razon
LECTURA-e869c511-01	G	ASTRA5-U0-TRAB-008;ASTRA5-U0-TRAB-009;ASTRA5-U0-TRAB-010;ASTRA5-U0-TRAB-011	
LECTURA-e869c511-01	F	ASTRA5-U0-TRAB-008;ASTRA5-U0-TRAB-009;ASTRA5-U0-TRAB-010;ASTRA5-U0-TRAB-011	
LECTURA-e869c511-02	G	ASTRA5-U0-TRAB-012;ASTRA5-U0-TRAB-013;ASTRA5-U0-TRAB-014	
LECTURA-e869c511-02	F	ASTRA5-U0-TRAB-012;ASTRA5-U0-TRAB-013;ASTRA5-U0-TRAB-014	
LECTURA-e869c511-03	G	ASTRA5-U0-TRAB-015	
LECTURA-e869c511-03	F	ASTRA5-U0-TRAB-015	
LECTURA-e869c511-04	G	ASTRA5-U0-TRAB-016	
LECTURA-e869c511-04	F	ASTRA5-U0-TRAB-016	
LECTURA-e869c511-05	G	ASTRA5-U0-TRAB-003;ASTRA5-U0-TRAB-017;ASTRA5-U0-TRAB-018;ENLACE;ASTRA5-U0-TRAB-019	
LECTURA-e869c511-05	F	ASTRA5-U0-TRAB-003;ASTRA5-U0-TRAB-017;ASTRA5-U0-TRAB-018;ENLACE;ASTRA5-U0-TRAB-019	
LECTURA-e869c511-06	G	ASTRA5-U0-TRAB-020;ASTRA5-U0-TRAB-021	
LECTURA-e869c511-06	F	ASTRA5-U0-TRAB-020;ASTRA5-U0-TRAB-021	
LECTURA-e869c511-07	G	ASTRA5-U0-TRAB-022;ASTRA5-U0-TRAB-023	
LECTURA-e869c511-07	F	ASTRA5-U0-TRAB-022;ASTRA5-U0-TRAB-023	
LECTURA-e869c511-08	G	ASTRA5-U0-TRAB-024;ASTRA5-U0-TRAB-025;ASTRA5-U0-TRAB-026;ENLACE;ASTRA5-U0-TRAB-027;ASTRA5-U0-TRAB-028	
LECTURA-e869c511-08	F	ASTRA5-U0-TRAB-024;ASTRA5-U0-TRAB-025;ASTRA5-U0-TRAB-026;ENLACE;ASTRA5-U0-TRAB-027;ASTRA5-U0-TRAB-028	
LECTURA-e869c511-09	G	ASTRA5-U0-TRAB-029;ASTRA5-U0-TRAB-030;ASTRA5-U0-TRAB-031;ASTRA5-U0-TRAB-032	
LECTURA-e869c511-09	F	ASTRA5-U0-TRAB-029;ASTRA5-U0-TRAB-030;ASTRA5-U0-TRAB-031;ASTRA5-U0-TRAB-032	
LECTURA-e869c511-10	G	ASTRA5-U0-TRAB-034;ASTRA5-U0-TRAB-035	
LECTURA-e869c511-10	F	ASTRA5-U0-TRAB-034;ASTRA5-U0-TRAB-035	
LECTURA-e869c511-11	G	ASTRA5-U0-TRAB-036;ASTRA5-U0-TRAB-037	
LECTURA-e869c511-11	F	ASTRA5-U0-TRAB-036;ASTRA5-U0-TRAB-037	
LECTURA-e869c511-12	G	ASTRA5-U0-TRAB-038;ASTRA5-U0-TRAB-039;ASTRA5-U0-TRAB-040	
LECTURA-e869c511-12	F	ASTRA5-U0-TRAB-038;ASTRA5-U0-TRAB-039;ASTRA5-U0-TRAB-040	
LECTURA-e869c511-13	G	ASTRA5-U0-TRAB-041;ASTRA5-U0-TRAB-042	
LECTURA-e869c511-13	F	ASTRA5-U0-TRAB-041;ASTRA5-U0-TRAB-042	
LECTURA-e869c511-14	G	ASTRA5-U0-TRAB-043;ASTRA5-U0-TRAB-044;ASTRA5-U0-TRAB-045;ENLACE	
LECTURA-e869c511-14	F	ASTRA5-U0-TRAB-043;ASTRA5-U0-TRAB-044;ASTRA5-U0-TRAB-045;ENLACE	
CAND-e869c511-L3	P	ASTRA5-U0-TRAB-001;ASTRA5-U0-TRAB-002;ENLACE;ASTRA5-U0-TRAB-003	
TRABAJO-MITO-01	F	ASTRA5-U0-TRAB-046	
TRABAJO-MITO-02	F	ASTRA5-U0-TRAB-047	
TRABAJO-MITO-03	F	ENLACE	
TRABAJO-MITO-04	F	ASTRA5-U0-TRAB-048	
TRABAJO-MITO-05	F	ASTRA5-U0-TRAB-049	
TRABAJO-MITO-06	F	ENLACE	
TRABAJO-MITO-07	F	ENLACE	
TRABAJO-MITO-08	F	ASTRA5-U0-TRAB-050	
TRABAJO-MITO-09	F	ENLACE	
TRABAJO-CONC-01	F	ASTRA5-U0-TRAB-052	
TRABAJO-CONC-02	F	ENLACE	
TRABAJO-CONC-03	F	ASTRA5-U0-TRAB-053	
TRABAJO-CONC-04	F	ASTRA5-U0-TRAB-054	
TRABAJO-CONC-05	F	ASTRA5-U0-TRAB-055	
INT-L11	INT	ASTRA5-U0-TRAB-004	
INT-L13	INT	ASTRA5-U0-TRAB-005	
INT-L15	INT	ASTRA5-U0-TRAB-006	
INT-L17	INT	ASTRA5-U0-TRAB-007	
INT-L85	INT	ASTRA5-U0-TRAB-033	
INT-L145	INT	ASTRA5-U0-TRAB-051	
