unidad	tipo	filas_o_contratos	razon
LECTURA-2ead6a5a-01	G		DEDUP: ASTRA5-U0-CONS-027 (Hofstede PDI81/IDV30/MAS69/UAI82/LTO24/IVR97, degradado a MEDIA(c) por ADR-06/FP-293); heterogeneidad intranacional (estudio empresa 2017) también DEDUP: ASTRA5-U0-TRAB-007.
LECTURA-2ead6a5a-01	F		DEDUP: ASTRA5-U0-CONS-027 (Hofstede PDI81/IDV30/MAS69/UAI82/LTO24/IVR97, degradado a MEDIA(c) por ADR-06/FP-293); heterogeneidad intranacional (estudio empresa 2017) también DEDUP: ASTRA5-U0-TRAB-007.
LECTURA-2ead6a5a-02	G		DEDUP: ASTRA5-U0-TRUST-003 (confianza interpersonal WVS, caída 33%1990->16%2005); anomalía de género (Ipsos, mujeres confían más) DEDUP: ASTRA5-U0-TRUST-009; WVS 2012 12% DEDUP: ASTRA5-U0-CONS-012. Nota: el rango 12-28% del report combina olas/preguntas WVS distintas sin reactivo reconciliado (cruce TRANS-CONS-WVS-Q57 del paquete); mapa Inglehart-Welzel es posicionamiento teórico sin componente empírico propio adicional (mismo tipo de marco importado (c) que Hofstede/GLOBE).
LECTURA-2ead6a5a-02	F		DEDUP: ASTRA5-U0-TRUST-003 (confianza interpersonal WVS, caída 33%1990->16%2005); anomalía de género (Ipsos, mujeres confían más) DEDUP: ASTRA5-U0-TRUST-009; WVS 2012 12% DEDUP: ASTRA5-U0-CONS-012. Nota: el rango 12-28% del report combina olas/preguntas WVS distintas sin reactivo reconciliado (cruce TRANS-CONS-WVS-Q57 del paquete); mapa Inglehart-Welzel es posicionamiento teórico sin componente empírico propio adicional (mismo tipo de marco importado (c) que Hofstede/GLOBE).
LECTURA-2ead6a5a-03	G		DEDUP: ASTRA5-U0-INTER-031 (GLOBE colectivismo/distancia de poder/paradoja As-Is vs Should-Be); preferencia por menor distancia de poder DEDUP: ASTRA5-U0-AUTOR-006; perfil de liderazgo carismático/equipo/participativo DEDUP: ASTRA5-U0-AUTOR-014.
LECTURA-2ead6a5a-03	F		DEDUP: ASTRA5-U0-INTER-031 (GLOBE colectivismo/distancia de poder/paradoja As-Is vs Should-Be); preferencia por menor distancia de poder DEDUP: ASTRA5-U0-AUTOR-006; perfil de liderazgo carismático/equipo/participativo DEDUP: ASTRA5-U0-AUTOR-014.
LECTURA-2ead6a5a-04	G		FILA PROPIA: transversal-002 (Gelfand tightness-looseness 7.2, 221 CDMX, no localizado en ningún lote temático recorrido; PENDIENTE-VERIFICACION-DOCUMENTAL).
LECTURA-2ead6a5a-04	F		FILA PROPIA: transversal-002 (Gelfand tightness-looseness 7.2, 221 CDMX, no localizado en ningún lote temático recorrido; PENDIENTE-VERIFICACION-DOCUMENTAL).
LECTURA-2ead6a5a-05	G		DEDUP: ASTRA5-U0-EMOC-001 (Smith et al. 2017, autopercepción dignidad/honor/face); correlación dignidad-face r=.96 DEDUP: ASTRA5-U0-EMOC-002; clasificación honor/dignidad/face como marco importado (c) DEDUP: ASTRA5-U0-EMOC-015. ADR-31 (retiro del híbrido honor rural/dignidad urbano) y la lectura canónica de sensibilidad reputacional MEDIA quedan reflejadas en esas mismas filas de emociones-morales.
LECTURA-2ead6a5a-05	F		DEDUP: ASTRA5-U0-EMOC-001 (Smith et al. 2017, autopercepción dignidad/honor/face); correlación dignidad-face r=.96 DEDUP: ASTRA5-U0-EMOC-002; clasificación honor/dignidad/face como marco importado (c) DEDUP: ASTRA5-U0-EMOC-015. ADR-31 (retiro del híbrido honor rural/dignidad urbano) y la lectura canónica de sensibilidad reputacional MEDIA quedan reflejadas en esas mismas filas de emociones-morales.
LECTURA-2ead6a5a-06	G		DEDUP: ASTRA5-U0-FAM-001 (familismo obligatorio no protector, Zeiders 2013; familismo de apoyo sí reduce síntomas depresivos, Cahill 2021 vía la misma fila); obediencia afiliativa/aculturación DEDUP: ASTRA5-U0-FAM-019.
LECTURA-2ead6a5a-06	F		DEDUP: ASTRA5-U0-FAM-001 (familismo obligatorio no protector, Zeiders 2013; familismo de apoyo sí reduce síntomas depresivos, Cahill 2021 vía la misma fila); obediencia afiliativa/aculturación DEDUP: ASTRA5-U0-FAM-019.
LECTURA-2ead6a5a-07	G		DEDUP: ASTRA5-U0-EMOC-011 (PHSC de Díaz-Guerrero: obediencia afiliativa, abnegación, respeto sobre amor); actualización PHSC en pareja DEDUP: ASTRA5-U0-PAREJA-040. Residuo propio (tipología de síndromes activo/pasivo de 1967 y volumen Springer 2019): FILA PROPIA transversal-003.
LECTURA-2ead6a5a-07	F		DEDUP: ASTRA5-U0-EMOC-011 (PHSC de Díaz-Guerrero: obediencia afiliativa, abnegación, respeto sobre amor); actualización PHSC en pareja DEDUP: ASTRA5-U0-PAREJA-040. Residuo propio (tipología de síndromes activo/pasivo de 1967 y volumen Springer 2019): FILA PROPIA transversal-003.
LECTURA-2ead6a5a-08	G		FILA PROPIA: transversal-004 (Paz/Ramos/Bartra, marco teórico/crítica literaria; NO-MEDIBLE-POR-DISEÑO).
LECTURA-2ead6a5a-08	F		FILA PROPIA: transversal-004 (Paz/Ramos/Bartra, marco teórico/crítica literaria; NO-MEDIBLE-POR-DISEÑO).
