unidad	tipo	filas_o_contratos	razon
LECTURA-bed36971-01	G	ASTRA5-U0-VEJEZ-001;ASTRA5-U0-VEJEZ-002;ASTRA5-U0-VEJEZ-003;ASTRA5-U0-VEJEZ-004	
LECTURA-bed36971-02	G	ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006;ASTRA5-U0-VEJEZ-007	
LECTURA-bed36971-03	G	ASTRA5-U0-VEJEZ-008;ASTRA5-U0-VEJEZ-010	
LECTURA-bed36971-04	G	ASTRA5-U0-VEJEZ-013;ASTRA5-U0-VEJEZ-014	
LECTURA-bed36971-05	G	ASTRA5-U0-VEJEZ-015	
LECTURA-bed36971-06	G	ASTRA5-U0-VEJEZ-016	
LECTURA-bed36971-07	G	ASTRA5-U0-VEJEZ-017;ASTRA5-U0-VEJEZ-018	
LECTURA-bed36971-08	G	ASTRA5-U0-VEJEZ-019;ASTRA5-U0-VEJEZ-020	
LECTURA-bed36971-09	G	ASTRA5-U0-VEJEZ-021;ASTRA5-U0-VEJEZ-022	
LECTURA-bed36971-10	G	ASTRA5-U0-VEJEZ-023;ASTRA5-U0-VEJEZ-024	
LECTURA-bed36971-11	G	ASTRA5-U0-VEJEZ-025;ASTRA5-U0-VEJEZ-026	
LECTURA-bed36971-12	G	ASTRA5-U0-VEJEZ-027	
LECTURA-bed36971-13	G	ASTRA5-U0-VEJEZ-028	
CAND-bed36971-L4	P		DEDUP: vejez-001;vejez-003;vejez-007;vejez-017;vejez-022;vejez-026;vejez-027 (TL;DR que recombina fecundidad/CONAPO, familismo-hipotesis, SNC, migracion y entrada de la mujer al trabajo ya filados; sin componente empirico nuevo)
CAND-bed36971-L5	P		DEDUP: vejez-008;vejez-010;vejez-013;vejez-014 (TL;DR que recombina perfil de cuidadora, mecanismo estructura+guion y costo psiquico Zarit/ISSSTE ya filados)
CAND-bed36971-L6	P		DEDUP: vejez-015;vejez-017;vejez-024;vejez-025;vejez-032 (TL;DR que recombina pension del bienestar, SNC, escasez de geriatras y comparacion internacional ya filados)
LECTURA-bed36971-01	F	ASTRA5-U0-VEJEZ-001;ASTRA5-U0-VEJEZ-002;ASTRA5-U0-VEJEZ-003;ASTRA5-U0-VEJEZ-004	
LECTURA-bed36971-02	F	ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006;ASTRA5-U0-VEJEZ-007	
LECTURA-bed36971-03	F	ASTRA5-U0-VEJEZ-008;ASTRA5-U0-VEJEZ-010	
LECTURA-bed36971-04	F	ASTRA5-U0-VEJEZ-013;ASTRA5-U0-VEJEZ-014	
LECTURA-bed36971-05	F	ASTRA5-U0-VEJEZ-015	
LECTURA-bed36971-06	F	ASTRA5-U0-VEJEZ-016	
LECTURA-bed36971-07	F	ASTRA5-U0-VEJEZ-017;ASTRA5-U0-VEJEZ-018	
LECTURA-bed36971-08	F	ASTRA5-U0-VEJEZ-019;ASTRA5-U0-VEJEZ-020	
LECTURA-bed36971-09	F	ASTRA5-U0-VEJEZ-021;ASTRA5-U0-VEJEZ-022	
LECTURA-bed36971-10	F	ASTRA5-U0-VEJEZ-023;ASTRA5-U0-VEJEZ-024	
LECTURA-bed36971-11	F	ASTRA5-U0-VEJEZ-025;ASTRA5-U0-VEJEZ-026	
LECTURA-bed36971-12	F	ASTRA5-U0-VEJEZ-027	
LECTURA-bed36971-13	F	ASTRA5-U0-VEJEZ-028	
VEJEZ-INTERNO-01	F	ASTRA5-U0-VEJEZ-007;ASTRA5-U0-VEJEZ-030	
VEJEZ-INTERNO-02	F	ASTRA5-U0-VEJEZ-009	
VEJEZ-INTERNO-03	F	ASTRA5-U0-VEJEZ-013;ASTRA5-U0-VEJEZ-014;ASTRA5-U0-VEJEZ-021;ASTRA5-U0-VEJEZ-022;ASTRA5-U0-VEJEZ-023;ASTRA5-U0-VEJEZ-024;ASTRA5-U0-VEJEZ-033;ASTRA5-U0-VEJEZ-034;ASTRA5-U0-VEJEZ-035	
VEJEZ-INTERNO-04	F	ASTRA5-U0-VEJEZ-029;ASTRA5-U0-VEJEZ-031;ASTRA5-U0-VEJEZ-032;ASTRA5-U0-VEJEZ-033	
VEJEZ-INTERNO-05	F	ASTRA5-U0-VEJEZ-034;ASTRA5-U0-VEJEZ-035;ASTRA5-U0-VEJEZ-036;ASTRA5-U0-VEJEZ-030	
INT-L92	INT	ASTRA5-U0-VEJEZ-010	
INT-L89	INT	ASTRA5-U0-VEJEZ-011	
INT-L90	INT	ASTRA5-U0-VEJEZ-012	
INT-L124	INT	ASTRA5-U0-VEJEZ-029	
INT-L65	INT	ASTRA5-U0-VEJEZ-030	
INT-L158	INT	ASTRA5-U0-VEJEZ-030	
INT-L79	INT	ASTRA5-U0-VEJEZ-037	
INT-L81	INT	ASTRA5-U0-VEJEZ-037	
INT-L136	INT	ASTRA5-U0-VEJEZ-038	
