dominio	afirmaciones	medible_en_corpus	medible_con_adquisicion	no_medible_por_diseno	medido	en_medicion	sin_result	fraccion_medida	reservadas	reports	pendientes_medibles
AUTORIDAD	39	8	19	12	0	0	39	0/39	1	6	ASTRA5-U0-AUTOR-001;ASTRA5-U0-AUTOR-002;ASTRA5-U0-AUTOR-003;ASTRA5-U0-AUTOR-004;ASTRA5-U0-AUTOR-005;ASTRA5-U0-AUTOR-006;ASTRA5-U0-AUTOR-008;ASTRA5-U0-AUTOR-010;ASTRA5-U0-AUTOR-014;ASTRA5-U0-AUTOR-016;ASTRA5-U0-AUTOR-017;ASTRA5-U0-AUTOR-019;ASTRA5-U0-AUTOR-021;ASTRA5-U0-AUTOR-022;ASTRA5-U0-AUTOR-023;ASTRA5-U0-AUTOR-024;ASTRA5-U0-AUTOR-026;ASTRA5-U0-AUTOR-030;ASTRA5-U0-AUTOR-031;ASTRA5-U0-TRUST-013;ASTRA5-U0-TRUST-023;ASTRA5-U0-TRUST-034;ASTRA5-U0-INTER-031;ASTRA5-U0-CAPSOC-020;ASTRA5-U0-CAPSOC-021;ASTRA5-U0-CAPSOC-022;ASTRA5-U0-JUV-021
CAPITAL_SOCIAL	30	9	8	13	0	0	30	0/30	0	3	ASTRA5-U0-TRUST-012;ASTRA5-U0-TRUST-027;ASTRA5-U0-TRUST-028;ASTRA5-U0-FAM-021;ASTRA5-U0-CAPSOC-001;ASTRA5-U0-CAPSOC-002;ASTRA5-U0-CAPSOC-003;ASTRA5-U0-CAPSOC-004;ASTRA5-U0-CAPSOC-005;ASTRA5-U0-CAPSOC-006;ASTRA5-U0-CAPSOC-007;ASTRA5-U0-CAPSOC-012;ASTRA5-U0-CAPSOC-016;ASTRA5-U0-CAPSOC-025;ASTRA5-U0-CAPSOC-030;ASTRA5-U0-CAPSOC-031;ASTRA5-U0-CAPSOC-032
CONFIANZA	59	20	24	15	0	1	58	0/59	6	17	ASTRA5-U0-APUEST-006;ASTRA5-U0-TEC-036;ASTRA5-U0-TEC-041;ASTRA5-U0-FIN-017;ASTRA5-U0-FIN-018;ASTRA5-U0-TRUST-001;ASTRA5-U0-TRUST-003;ASTRA5-U0-TRUST-004;ASTRA5-U0-TRUST-005;ASTRA5-U0-TRUST-006;ASTRA5-U0-TRUST-007;ASTRA5-U0-TRUST-008;ASTRA5-U0-TRUST-010;ASTRA5-U0-TRUST-011;ASTRA5-U0-TRUST-015;ASTRA5-U0-TRUST-016;ASTRA5-U0-TRUST-022;ASTRA5-U0-TRUST-025;ASTRA5-U0-TRUST-026;ASTRA5-U0-TRUST-030;ASTRA5-U0-VIOL-005;ASTRA5-U0-VIOL-037;ASTRA5-U0-VIOL-038;ASTRA5-U0-TIME-030;ASTRA5-U0-INTER-032;ASTRA5-U0-EMOC-017;ASTRA5-U0-EMOC-018;ASTRA5-U0-EMOC-019;ASTRA5-U0-MER-006;ASTRA5-U0-MER-007;ASTRA5-U0-MER-008;ASTRA5-U0-MER-009;ASTRA5-U0-CAPSOC-008;ASTRA5-U0-CAPSOC-026;ASTRA5-U0-POL-001;ASTRA5-U0-TRUST-002;ASTRA5-U0-SINT-019;ASTRA5-U0-CONS-012;ASTRA5-U0-TRAB-006;ASTRA5-U0-TRAB-012;ASTRA5-U0-TRAB-014;ASTRA5-U0-CONOC-012;ASTRA5-U0-CONOC-014;ASTRA5-U0-SANC-005
CONOCIMIENTO	26	0	15	11	0	0	26	0/26	0	4	ASTRA5-U0-CLASE-016;ASTRA5-U0-CLASE-017;ASTRA5-U0-CLASE-027;ASTRA5-U0-CONOC-001;ASTRA5-U0-CONOC-002;ASTRA5-U0-CONOC-003;ASTRA5-U0-CONOC-004;ASTRA5-U0-CONOC-005;ASTRA5-U0-CONOC-006;ASTRA5-U0-CONOC-009;ASTRA5-U0-CONOC-021;ASTRA5-U0-CONOC-022;ASTRA5-U0-CONOC-023;ASTRA5-U0-CONOC-025;ASTRA5-U0-CONOC-038
CONSUMO	81	3	42	36	0	0	81	0/81	1	11	ASTRA5-U0-APUEST-020;ASTRA5-U0-APUEST-033;ASTRA5-U0-APUEST-035;ASTRA5-U0-APUEST-040;ASTRA5-U0-APUEST-042;ASTRA5-U0-APUEST-044;ASTRA5-U0-ASPIR-004;ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-011;ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-017;ASTRA5-U0-ASPIR-019;ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-022;ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-026;ASTRA5-U0-TIME-028;ASTRA5-U0-SALUD-001;ASTRA5-U0-SALUD-002;ASTRA5-U0-SALUD-003;ASTRA5-U0-SALUD-004;ASTRA5-U0-SALUD-028;ASTRA5-U0-SALUD-029;ASTRA5-U0-MER-041;ASTRA5-U0-CONS-001;ASTRA5-U0-CONS-002;ASTRA5-U0-CONS-003;ASTRA5-U0-CONS-005;ASTRA5-U0-CONS-007;ASTRA5-U0-CONS-008;ASTRA5-U0-CONS-014;ASTRA5-U0-CONS-015;ASTRA5-U0-CONS-016;ASTRA5-U0-CONS-018;ASTRA5-U0-CONS-023;ASTRA5-U0-CONS-026;ASTRA5-U0-CONS-027;ASTRA5-U0-CONS-029;ASTRA5-U0-CONS-031;ASTRA5-U0-CONS-032;ASTRA5-U0-CONS-033;ASTRA5-U0-TRAB-048;ASTRA5-U0-RELIG-020;ASTRA5-U0-RELIG-021
DINERO	179	40	89	50	0	0	179	0/179	8	17	ASTRA5-U0-APUEST-007;ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-010;ASTRA5-U0-APUEST-011;ASTRA5-U0-APUEST-013;ASTRA5-U0-APUEST-014;ASTRA5-U0-APUEST-015;ASTRA5-U0-APUEST-016;ASTRA5-U0-APUEST-018;ASTRA5-U0-APUEST-019;ASTRA5-U0-APUEST-030;ASTRA5-U0-APUEST-032;ASTRA5-U0-APUEST-048;ASTRA5-U0-ASPIR-005;ASTRA5-U0-CRFAC-001;ASTRA5-U0-CRFAC-002;ASTRA5-U0-CRFAC-003;ASTRA5-U0-CRFAC-004;ASTRA5-U0-CRFAC-005;ASTRA5-U0-CRFAC-006;ASTRA5-U0-CRFAC-007;ASTRA5-U0-CRFAC-008;ASTRA5-U0-CRFAC-009;ASTRA5-U0-CRFAC-011;ASTRA5-U0-CRFAC-012;ASTRA5-U0-CRFAC-013;ASTRA5-U0-CRFAC-020;ASTRA5-U0-CRPOP-001;ASTRA5-U0-CRPOP-002;ASTRA5-U0-CRPOP-003;ASTRA5-U0-CRPOP-004;ASTRA5-U0-CRPOP-005;ASTRA5-U0-CRPOP-006;ASTRA5-U0-CRPOP-007;ASTRA5-U0-CRPOP-009;ASTRA5-U0-CRPOP-011;ASTRA5-U0-CRPOP-012;ASTRA5-U0-CRPOP-013;ASTRA5-U0-CRPOP-014;ASTRA5-U0-CRPOP-015;ASTRA5-U0-CRPOP-017;ASTRA5-U0-CRPOP-018;ASTRA5-U0-CRPOP-019;ASTRA5-U0-CRPOP-020;ASTRA5-U0-CRPOP-022;ASTRA5-U0-CRPOP-023;ASTRA5-U0-CRPOP-025;ASTRA5-U0-CRPOP-026;ASTRA5-U0-CRPOP-027;ASTRA5-U0-CRPOP-029;ASTRA5-U0-CRPOP-031;ASTRA5-U0-CRPOP-032;ASTRA5-U0-CRPOP-036;ASTRA5-U0-CRPOP-037;ASTRA5-U0-CRPOP-040;ASTRA5-U0-CRPOP-043;ASTRA5-U0-CRPOP-044;ASTRA5-U0-CRPOP-045;ASTRA5-U0-CRPOP-046;ASTRA5-U0-CRPOP-048;ASTRA5-U0-CRPOP-049;ASTRA5-U0-CRPOP-050;ASTRA5-U0-CRPOP-051;ASTRA5-U0-CRPOP-052;ASTRA5-U0-CRPOP-053;ASTRA5-U0-CRPOP-054;ASTRA5-U0-CRPOP-055;ASTRA5-U0-CRPOP-056;ASTRA5-U0-CRPOP-057;ASTRA5-U0-CRPOP-060;ASTRA5-U0-FIN-001;ASTRA5-U0-FIN-002;ASTRA5-U0-FIN-003;ASTRA5-U0-FIN-004;ASTRA5-U0-FIN-005;ASTRA5-U0-FIN-006;ASTRA5-U0-FIN-007;ASTRA5-U0-FIN-008;ASTRA5-U0-FIN-009;ASTRA5-U0-FIN-010;ASTRA5-U0-FIN-011;ASTRA5-U0-FIN-013;ASTRA5-U0-FIN-016;ASTRA5-U0-FIN-020;ASTRA5-U0-FIN-021;ASTRA5-U0-FIN-023;ASTRA5-U0-FIN-025;ASTRA5-U0-FIN-026;ASTRA5-U0-FIN-028;ASTRA5-U0-FIN-030;ASTRA5-U0-FIN-031;ASTRA5-U0-FIN-032;ASTRA5-U0-FIN-034;ASTRA5-U0-TRUST-018;ASTRA5-U0-TRUST-019;ASTRA5-U0-TRUST-020;ASTRA5-U0-CLASE-014;ASTRA5-U0-CLASE-042;ASTRA5-U0-VIOL-019;ASTRA5-U0-VIOL-020;ASTRA5-U0-VIOL-021;ASTRA5-U0-VIOL-039;ASTRA5-U0-VIOL-041;ASTRA5-U0-VIOL-044;ASTRA5-U0-TIME-006;ASTRA5-U0-TIME-014;ASTRA5-U0-TIME-032;ASTRA5-U0-FAM-003;ASTRA5-U0-FAM-017;ASTRA5-U0-FAM-032;ASTRA5-U0-FAM-034;ASTRA5-U0-FAM-036;ASTRA5-U0-FAM-049;ASTRA5-U0-MER-023;ASTRA5-U0-MER-025;ASTRA5-U0-CAPSOC-009;ASTRA5-U0-CAPSOC-010;ASTRA5-U0-SINT-024;ASTRA5-U0-CONS-009;ASTRA5-U0-CONS-010;ASTRA5-U0-CONS-011;ASTRA5-U0-CONS-017;ASTRA5-U0-CONS-021;ASTRA5-U0-CONS-025;ASTRA5-U0-CONS-039;ASTRA5-U0-VEJEZ-015;ASTRA5-U0-VEJEZ-016;ASTRA5-U0-VEJEZ-029;ASTRA5-U0-VEJEZ-035
DUELO	33	3	23	7	0	0	33	0/33	0	1	ASTRA5-U0-DUEL-001;ASTRA5-U0-DUEL-002;ASTRA5-U0-DUEL-003;ASTRA5-U0-DUEL-004;ASTRA5-U0-DUEL-005;ASTRA5-U0-DUEL-006;ASTRA5-U0-DUEL-007;ASTRA5-U0-DUEL-008;ASTRA5-U0-DUEL-009;ASTRA5-U0-DUEL-010;ASTRA5-U0-DUEL-011;ASTRA5-U0-DUEL-012;ASTRA5-U0-DUEL-013;ASTRA5-U0-DUEL-014;ASTRA5-U0-DUEL-015;ASTRA5-U0-DUEL-016;ASTRA5-U0-DUEL-019;ASTRA5-U0-DUEL-020;ASTRA5-U0-DUEL-023;ASTRA5-U0-DUEL-025;ASTRA5-U0-DUEL-026;ASTRA5-U0-DUEL-027;ASTRA5-U0-DUEL-031;ASTRA5-U0-DUEL-034;ASTRA5-U0-DUEL-035;ASTRA5-U0-DUEL-041
EMOCIONES_MORALES	26	0	18	8	0	0	26	0/26	0	4	ASTRA5-U0-INTER-001;ASTRA5-U0-INTER-002;ASTRA5-U0-EMOC-001;ASTRA5-U0-EMOC-002;ASTRA5-U0-EMOC-003;ASTRA5-U0-EMOC-004;ASTRA5-U0-EMOC-005;ASTRA5-U0-EMOC-006;ASTRA5-U0-EMOC-009;ASTRA5-U0-EMOC-010;ASTRA5-U0-EMOC-011;ASTRA5-U0-EMOC-012;ASTRA5-U0-EMOC-013;ASTRA5-U0-EMOC-014;ASTRA5-U0-EMOC-023;ASTRA5-U0-EMOC-024;ASTRA5-U0-EMOC-025;ASTRA5-U0-SINT-007
FAMILIA_CUIDADOS	46	6	27	13	0	0	46	0/46	0	8	ASTRA5-U0-FAM-001;ASTRA5-U0-FAM-002;ASTRA5-U0-FAM-005;ASTRA5-U0-FAM-007;ASTRA5-U0-FAM-008;ASTRA5-U0-FAM-009;ASTRA5-U0-FAM-010;ASTRA5-U0-FAM-014;ASTRA5-U0-FAM-019;ASTRA5-U0-FAM-025;ASTRA5-U0-FAM-026;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-029;ASTRA5-U0-FAM-031;ASTRA5-U0-FAM-033;ASTRA5-U0-FAM-042;ASTRA5-U0-FAM-050;ASTRA5-U0-EMOC-027;ASTRA5-U0-SINT-026;ASTRA5-U0-JUV-012;ASTRA5-U0-JUV-013;ASTRA5-U0-GEN-018;ASTRA5-U0-VEJEZ-001;ASTRA5-U0-VEJEZ-002;ASTRA5-U0-VEJEZ-003;ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006;ASTRA5-U0-VEJEZ-008;ASTRA5-U0-VEJEZ-017;ASTRA5-U0-VEJEZ-018;ASTRA5-U0-VEJEZ-031;ASTRA5-U0-VEJEZ-033;ASTRA5-U0-VEJEZ-037
GENERO	47	7	26	14	0	1	46	0/47	5	19	ASTRA5-U0-TRUST-009;ASTRA5-U0-VIOL-014;ASTRA5-U0-VIOL-015;ASTRA5-U0-VIOL-034;ASTRA5-U0-RURAL-038;ASTRA5-U0-PAREJA-019;ASTRA5-U0-INTER-013;ASTRA5-U0-INTER-025;ASTRA5-U0-INTER-026;ASTRA5-U0-FAM-018;ASTRA5-U0-FAM-035;ASTRA5-U0-FAM-039;ASTRA5-U0-MER-038;ASTRA5-U0-SINT-010;ASTRA5-U0-SINT-018;ASTRA5-U0-JUV-018;ASTRA5-U0-JUV-019;ASTRA5-U0-TRAB-024;ASTRA5-U0-TRAB-025;ASTRA5-U0-TRAB-026;ASTRA5-U0-GEN-001;ASTRA5-U0-GEN-002;ASTRA5-U0-GEN-003;ASTRA5-U0-GEN-004;ASTRA5-U0-GEN-015;ASTRA5-U0-GEN-016;ASTRA5-U0-GEN-017;ASTRA5-U0-GEN-022;ASTRA5-U0-GEN-026;ASTRA5-U0-GEN-030;ASTRA5-U0-SALMEN-021;ASTRA5-U0-SALMEN-022;ASTRA5-U0-VEJEZ-038
