serie_id	instrumento	dominio	conducta	conducta_texto	eje	segmento	unidad	ola	calc	result_p	result_lo	result_hi	par_con_anterior	cita_par	marca_2020	nota
ENUT-A-NACIONAL-TOTAL	ENUT	familia	A	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	NACIONAL	TOTAL	razon ponderada: horas de cuidado de mujeres 40+ sobre horas de cuidado totales del hogar	2024	CALC-ENUT-0001	RESULT-ENUT-A-R			PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-EDAD-12-17	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	EDAD	12-17	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-EDAD-12-17-P	RESULT-ENUT2024-CONCP-EDAD-12-17-IC-LO	RESULT-ENUT2024-CONCP-EDAD-12-17-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-EDAD-18-29	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	EDAD	18-29	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-EDAD-18-29-P	RESULT-ENUT2024-CONCP-EDAD-18-29-IC-LO	RESULT-ENUT2024-CONCP-EDAD-18-29-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-EDAD-30-39	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	EDAD	30-39	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-EDAD-30-39-P	RESULT-ENUT2024-CONCP-EDAD-30-39-IC-LO	RESULT-ENUT2024-CONCP-EDAD-30-39-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-EDAD-40-59	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	EDAD	40-59	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-EDAD-40-59-P	RESULT-ENUT2024-CONCP-EDAD-40-59-IC-LO	RESULT-ENUT2024-CONCP-EDAD-40-59-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-EDAD-60-MAS	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	EDAD	60-MAS	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-EDAD-60-MAS-P	RESULT-ENUT2024-CONCP-EDAD-60-MAS-IC-LO	RESULT-ENUT2024-CONCP-EDAD-60-MAS-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-ESCOLARIDAD-HASTA-PRIMARIA	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	ESCOLARIDAD	HASTA-PRIMARIA	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-ESCOLARIDAD-HASTA-PRIMARIA-P	RESULT-ENUT2024-CONCP-ESCOLARIDAD-HASTA-PRIMARIA-IC-LO	RESULT-ENUT2024-CONCP-ESCOLARIDAD-HASTA-PRIMARIA-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-ESCOLARIDAD-MEDIA-SUPERIOR	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	ESCOLARIDAD	MEDIA-SUPERIOR	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-ESCOLARIDAD-MEDIA-SUPERIOR-P	RESULT-ENUT2024-CONCP-ESCOLARIDAD-MEDIA-SUPERIOR-IC-LO	RESULT-ENUT2024-CONCP-ESCOLARIDAD-MEDIA-SUPERIOR-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-ESCOLARIDAD-SECUNDARIA	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	ESCOLARIDAD	SECUNDARIA	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SECUNDARIA-P	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SECUNDARIA-IC-LO	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SECUNDARIA-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
ENUT-CONCP-ESCOLARIDAD-SUPERIOR	ENUT	tiempo-y-cuidado	CONCP	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	ESCOLARIDAD	SUPERIOR	horas/semana, media ponderada FAC_PER	2024	CALC-ENUT2024-NUCLEO-EJES-0001	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SUPERIOR-P	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SUPERIOR-IC-LO	RESULT-ENUT2024-CONCP-ESCOLARIDAD-SUPERIOR-IC-HI	PRIMERA		NO	Primera ola de la serie. FUERA-DE-ESCALA-(0,1).
