serie_id	instrumento	dominio	conducta	conducta_texto	eje	segmento	unidad	ola	calc	result_p	result_lo	result_hi	par_con_anterior	cita_par	marca_2020	nota
BANXICO-ATRASO-DANO-POR-PRODUCTO-NACIONAL-AUTO	BANXICO	dinero	ATRASO-DANO-POR-PRODUCTO	atraso_y_dano_por_producto_banxico (auto)	NACIONAL	AUTO	proporcion_persona_0_1	2024	CALC-BANXICO-PRODUCTO-DANO-0001	RESULT-BANXICO-2024-AUT-ATRASO-P			PRIMERA		NO	
BANXICO-ATRASO-DANO-POR-PRODUCTO-NACIONAL-HIPOTECARIO	BANXICO	dinero	ATRASO-DANO-POR-PRODUCTO	atraso_y_dano_por_producto_banxico (hipotecario)	NACIONAL	HIPOTECARIO	proporcion_persona_0_1	2024	CALC-BANXICO-PRODUCTO-DANO-0001	RESULT-BANXICO-2024-HIP-ATRASO-P			PRIMERA		NO	
BANXICO-ATRASO-DANO-POR-PRODUCTO-NACIONAL-NOMINA	BANXICO	dinero	ATRASO-DANO-POR-PRODUCTO	atraso_y_dano_por_producto_banxico (nomina)	NACIONAL	NOMINA	proporcion_persona_0_1	2024	CALC-BANXICO-PRODUCTO-DANO-0001	RESULT-BANXICO-2024-NOM-ATRASO-P			PRIMERA		NO	
BANXICO-ATRASO-DANO-POR-PRODUCTO-NACIONAL-PERSONAL	BANXICO	dinero	ATRASO-DANO-POR-PRODUCTO	atraso_y_dano_por_producto_banxico (personal)	NACIONAL	PERSONAL	proporcion_persona_0_1	2024	CALC-BANXICO-PRODUCTO-DANO-0001	RESULT-BANXICO-2024-PER-ATRASO-P			PRIMERA		NO	
BANXICO-ATRASO-DANO-POR-PRODUCTO-NACIONAL-TDC	BANXICO	dinero	ATRASO-DANO-POR-PRODUCTO	atraso_y_dano_por_producto_banxico (tarjeta de credito)	NACIONAL	TDC	proporcion_persona_0_1	2024	CALC-BANXICO-PRODUCTO-DANO-0001	RESULT-BANXICO-2024-TDC-ATRASO-P			PRIMERA		NO	
EDER-CORRESIDENCIA-ADULTO-FAMILIAR-NACIONAL-TOTAL	EDER	familia	CORRESIDENCIA-ADULTO-FAMILIAR	familia.corresidencia.adulto_familiar	NACIONAL	TOTAL	proporcion_persona_0_1	SN	CALC-EDER-0001	RESULT-EDER-A-P	RESULT-EDER-A-IC-LO	RESULT-EDER-A-IC-HI	PRIMERA		NO	ola-no-declarada-en-catalogo(instrumento_ola='EDER')
EDER-UNION-PRIMERA-DIRECTO-NACIONAL-TOTAL	EDER	familia	UNION-PRIMERA-DIRECTO	familia.union.libre :: matrimonio_directo	NACIONAL	TOTAL	proporcion_persona_0_1	2017	CALC-EDER-0003	RESULT-EDER-UNION-A-P-DIRECTO			PRIMERA		NO	
EDER-UNION-PRIMERA-LIBRE-NACIONAL-TOTAL	EDER	familia	UNION-PRIMERA-LIBRE	familia.union.libre :: union_libre	NACIONAL	TOTAL	proporcion_persona_0_1	2017	CALC-EDER-0003	RESULT-EDER-UNION-A-P-LIBRE			PRIMERA		NO	
ENCUCI-MORDIDA-CONTACTO-MARCO-M-NACIONAL-TRA-M-02	ENCUCI	tramite	MORDIDA-CONTACTO-MARCO-M	marco-M::TRA-M-02::R (contacto AP5_16)	NACIONAL	TRA-M-02	proporcion_persona_0_1	2020	CALC-R-TRA-M-02-v3	RESULT-R-TRA-M-02-PUNTO	RESULT-R-TRA-M-02-IC-LO	RESULT-R-TRA-M-02-IC-HI	PRIMERA		SI	
ENCUCI-MORDIDA-DISCRECIONAL-SOLICITUD-O-ENTREGA-NACIONAL-TOTAL	ENCUCI	tramite	MORDIDA-DISCRECIONAL-SOLICITUD-O-ENTREGA	tramite.mordida.discrecional (AP5_17|AP5_18)	NACIONAL	TOTAL	proporcion_persona_0_1	2020	CALC-ENCUCI-0001	RESULT-ENCUCI-A-P-CUALQUIERA	RESULT-ENCUCI-A-IC-LO-CUALQUIERA	RESULT-ENCUCI-A-IC-HI-CUALQUIERA	PRIMERA		SI	
ENCUCI-PROTESTA-ALGUNA-VEZ-CON-AGRAVIO-RURAL-TOTAL	ENCUCI	civico	PROTESTA-ALGUNA-VEZ-CON-AGRAVIO	civico.protesta.agravio_urbano_encuci2020	RURAL	TOTAL	proporcion_persona_0_1	2020	CALC-ENCUCI-0001	RESULT-ENCUCI-B-P-RUR-AGR	RESULT-ENCUCI-B-IC-LO-RUR-AGR	RESULT-ENCUCI-B-IC-HI-RUR-AGR	PRIMERA		SI	
ENCUCI-PROTESTA-ALGUNA-VEZ-CON-AGRAVIO-URBANO-TOTAL	ENCUCI	civico	PROTESTA-ALGUNA-VEZ-CON-AGRAVIO	civico.protesta.agravio_urbano_encuci2020	URBANO	TOTAL	proporcion_persona_0_1	2020	CALC-ENCUCI-0001	RESULT-ENCUCI-B-P-URB-AGR	RESULT-ENCUCI-B-IC-LO-URB-AGR	RESULT-ENCUCI-B-IC-HI-URB-AGR	PRIMERA		SI	
ENDIREH-AYUDA-BC-EDAD-15-29-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	edad	15-29|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=15-29&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=15-29&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=15-29&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-EDAD-30-44-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	edad	30-44|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=30-44&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=30-44&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=30-44&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-EDAD-45-59-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	edad	45-59|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=45-59&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=45-59&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=45-59&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-EDAD-60-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	edad	60+|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=60%2B&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=60%2B&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=edad&categoria=60%2B&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-ENTIDAD-01-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	entidad	01|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=01&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=01&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=01&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-ENTIDAD-02-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	entidad	02|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=02&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=02&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=02&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
ENDIREH-AYUDA-BC-ENTIDAD-03-VENTANA-DESDE-INICIO-RELACION	ENDIREH	genero	ayuda_bc	ENDIREH PISOS :: ayuda_bc	entidad	03|VENTANA:desde_inicio_relacion	proporcion_0_1	2021	CALC-ENDIREH-PISOS-2021-NOFISICA-BC-0001	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=03&ventana=desde_inicio_relacion/p	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=03&ventana=desde_inicio_relacion/ic95[0]	RESULT-ENDIREH2021-NF-BC-TABLA#resultado=ayuda_bc&eje=entidad&categoria=03&ventana=desde_inicio_relacion/ic95[1]	PRIMERA		NO	CELDA-DE-TABLA
