tipo,sexo,edad,n_denominador,masa_denominador,masa_numerador,punto,ee,ic95_lo,ic95_hi,gl,precision_estado,definicion
peso_estandar_edad,ambos,15_17,694,54989025.000000000000,255446.000000000000,0.004645399696,0.000253227147,0.004174532889,0.005169102275,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,masa conjunta del tramo / masa conjunta de cinco tramos
tasa_sexo_edad,hombre,15_17,158,57981.000000000000,51351.000000000000,0.885652196409,0.035401044752,0.796067087515,0.938903999352,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_sexo_edad,mujer,15_17,536,197465.000000000000,190976.000000000000,0.967138480237,0.009576550390,0.942209720501,0.981524679867,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
peso_estandar_edad,ambos,18_29,22676,54989025.000000000000,8062758.000000000000,0.146624858324,0.001689752214,0.143343613642,0.149968064252,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,masa conjunta del tramo / masa conjunta de cinco tramos
tasa_sexo_edad,hombre,18_29,9274,3308356.000000000000,2359438.000000000000,0.713175365650,0.006735212233,0.699794036645,0.726193611624,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_sexo_edad,mujer,18_29,13402,4754402.000000000000,3278107.000000000000,0.689488814787,0.005790973724,0.678025287785,0.700724349012,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
peso_estandar_edad,ambos,30_44,50944,54989025.000000000000,18434508.000000000000,0.335239768299,0.002147661146,0.331043265306,0.339462473637,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,masa conjunta del tramo / masa conjunta de cinco tramos
tasa_sexo_edad,hombre,30_44,24043,8695034.000000000000,3738980.000000000000,0.430013269643,0.004587931064,0.421044379091,0.439028335175,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
tasa_sexo_edad,mujer,30_44,26901,9739474.000000000000,3941719.000000000000,0.404715798820,0.004198363082,0.396513965978,0.412971189734,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,"P3_27=1 / P3_27 en {1,6}, tramo y sexo"
peso_estandar_edad,ambos,45_59,47308,54989025.000000000000,17090637.000000000000,0.310800873447,0.002070842149,0.306756381544,0.314874470120,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56,masa conjunta del tramo / masa conjunta de cinco tramos
