grupo	categoria	n	masa_fac_tra
TOTAL	RESPUESTA_VALIDA_OBSERVADA	23100	63712439
TOTAL	SALTO_NEGATIVO_LOGICO	99924	337524702
TOTAL	FUERA_UNIVERSO_NO_APLICA	0	0
TOTAL	ELEGIBILIDAD_NO_DETERMINABLE	162	987961
TOTAL	RESPUESTA_FALTANTE_APLICABLE	0	0
TOTAL	CONTRADICCION	0	0
PRE	RESPUESTA_VALIDA_OBSERVADA	10852	27406509
PRE	SALTO_NEGATIVO_LOGICO	58403	169394301
PRE	FUERA_UNIVERSO_NO_APLICA	0	0
PRE	ELEGIBILIDAD_NO_DETERMINABLE	87	365327
PRE	RESPUESTA_FALTANTE_APLICABLE	0	0
PRE	CONTRADICCION	0	0
DIG	RESPUESTA_VALIDA_OBSERVADA	6005	20075796
DIG	SALTO_NEGATIVO_LOGICO	28111	103012421
DIG	FUERA_UNIVERSO_NO_APLICA	0	0
DIG	ELEGIBILIDAD_NO_DETERMINABLE	36	220013
DIG	RESPUESTA_FALTANTE_APLICABLE	0	0
DIG	CONTRADICCION	0	0
OTRO	RESPUESTA_VALIDA_OBSERVADA	2332	8912353
OTRO	SALTO_NEGATIVO_LOGICO	11607	62359807
OTRO	FUERA_UNIVERSO_NO_APLICA	0	0
OTRO	ELEGIBILIDAD_NO_DETERMINABLE	37	399887
OTRO	RESPUESTA_FALTANTE_APLICABLE	0	0
OTRO	CONTRADICCION	0	0
CANAL_FALTANTE	RESPUESTA_VALIDA_OBSERVADA	3911	7317781
CANAL_FALTANTE	SALTO_NEGATIVO_LOGICO	1803	2758173
CANAL_FALTANTE	FUERA_UNIVERSO_NO_APLICA	0	0
CANAL_FALTANTE	ELEGIBILIDAD_NO_DETERMINABLE	2	2734
CANAL_FALTANTE	RESPUESTA_FALTANTE_APLICABLE	0	0
CANAL_FALTANTE	CONTRADICCION	0	0
