indicador_id,indicador_nombre,dominio_tipo,dominio,valor_original,unidad_original,transformacion,valor_normalizado,unidad_normalizada,porcentaje_derivado,numerador_publicado,denominador_publicado,unidad_numerador_denominador,n_muestral,incertidumbre_tipo,incertidumbre_valor,periodo,cuadro,localizador,estado_celda,nota_supresion,procedencia,uso
PREVALENCIA-EXPERIENCIA-CORRUPCION,Tasa de prevalencia de unidades económicas que experimentaron al menos un acto de corrupción,nacional,Estados Unidos Mexicanos,509.853592479729,por 10 000 unidades económicas expuestas,valor_original / 10000,0.050985359248,proporción de unidades económicas expuestas,5.098535924797,204284.532,4006729.2849,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_33 (contraste de tasa: t6_36),t6_33.csv; fila=Estados Unidos Mexicanos; columnas=Participación...Absolutos/Tasa de prevalencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
PREVALENCIA-EXPERIENCIA-CORRUPCION,Tasa de prevalencia de unidades económicas que experimentaron al menos un acto de corrupción,tamaño oficial,Micro,551.420131096186,por 10 000 unidades económicas expuestas,valor_original / 10000,0.055142013110,proporción de unidades económicas expuestas,5.514201310962,189424.3132,3435208.5192,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_33 (contraste de tasa: t6_36),t6_33.csv; fila=Micro; columnas=Participación...Absolutos/Tasa de prevalencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
PREVALENCIA-EXPERIENCIA-CORRUPCION,Tasa de prevalencia de unidades económicas que experimentaron al menos un acto de corrupción,tamaño oficial,Pequeña,224.333418494939,por 10 000 unidades económicas expuestas,valor_original / 10000,0.022433341849,proporción de unidades económicas expuestas,2.243334184949,11084.7403,494118.9937,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_33 (contraste de tasa: t6_36),t6_33.csv; fila=Pequeña; columnas=Participación...Absolutos/Tasa de prevalencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
PREVALENCIA-EXPERIENCIA-CORRUPCION,Tasa de prevalencia de unidades económicas que experimentaron al menos un acto de corrupción,tamaño oficial,Mediana,441.320847441275,por 10 000 unidades económicas expuestas,valor_original / 10000,0.044132084744,proporción de unidades económicas expuestas,4.413208474413,2719.3691,61618.8679,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_33 (contraste de tasa: t6_36),t6_33.csv; fila=Mediana; columnas=Participación...Absolutos/Tasa de prevalencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
PREVALENCIA-EXPERIENCIA-CORRUPCION,Tasa de prevalencia de unidades económicas que experimentaron al menos un acto de corrupción,tamaño oficial,Grande,669.147701404332,por 10 000 unidades económicas expuestas,valor_original / 10000,0.066914770140,proporción de unidades económicas expuestas,6.691477014043,1056.1094,15782.9041,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_33 (contraste de tasa: t6_36),t6_33.csv; fila=Grande; columnas=Participación...Absolutos/Tasa de prevalencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
INCIDENCIA-EXPERIENCIAS-CORRUPCION,Tasa de incidencia de trámites o inspecciones con experiencia de corrupción,nacional,Estados Unidos Mexicanos,2399.90245541133,experiencias por 10 000 unidades económicas expuestas,valor_original / 10000,0.239990245541,experiencias por unidad económica expuesta,NO-APLICA,961575.9449,4006729.2849,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_41,t6_41.csv; fila=Estados Unidos Mexicanos; columnas=Total de trámites.../Tasa de incidencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
INCIDENCIA-EXPERIENCIAS-CORRUPCION,Tasa de incidencia de trámites o inspecciones con experiencia de corrupción,tamaño oficial,Micro,2368.67046658784,experiencias por 10 000 unidades económicas expuestas,valor_original / 10000,0.236867046659,experiencias por unidad económica expuesta,NO-APLICA,813687.6966,3435208.5192,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_41,t6_41.csv; fila=Micro; columnas=Total de trámites.../Tasa de incidencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
INCIDENCIA-EXPERIENCIAS-CORRUPCION,Tasa de incidencia de trámites o inspecciones con experiencia de corrupción,tamaño oficial,Pequeña,2327.62523332242,experiencias por 10 000 unidades económicas expuestas,valor_original / 10000,0.232762523332,experiencias por unidad económica expuesta,NO-APLICA,115012.3838,494118.9937,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_41,t6_41.csv; fila=Pequeña; columnas=Total de trámites.../Tasa de incidencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
INCIDENCIA-EXPERIENCIAS-CORRUPCION,Tasa de incidencia de trámites o inspecciones con experiencia de corrupción,tamaño oficial,Mediana,2342.96868670643,experiencias por 10 000 unidades económicas expuestas,valor_original / 10000,0.234296868671,experiencias por unidad económica expuesta,NO-APLICA,14437.1078,61618.8679,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_41,t6_41.csv; fila=Mediana; columnas=Total de trámites.../Tasa de incidencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
INCIDENCIA-EXPERIENCIAS-CORRUPCION,Tasa de incidencia de trámites o inspecciones con experiencia de corrupción,tamaño oficial,Grande,11682.7401238534,experiencias por 10 000 unidades económicas expuestas,valor_original / 10000,1.168274012385,experiencias por unidad económica expuesta,NO-APLICA,18438.7567,15782.9041,unidades expandidas,NO-PUBLICADO,NO-DISPONIBLE-EN-REPRESENTACION-CSV,,Durante 2020 (enero a la fecha de entrevista),t6_41,t6_41.csv; fila=Grande; columnas=Total de trámites.../Tasa de incidencia,PUBLICADA-NUMERICA,Sin símbolo de supresión; una celda vacía no se convertiría en cero.,"INEGI, ENCRIGE 2020, tabulados oficiales CSV",CONTEXTO-INFORME-NO-CALIBRA;UNIDAD-DISTINTA-NO-TRANSFERENCIA
