denominador_ponderado,ee,est_socio,estado,etiqueta,ic95_hi,ic95_lo,n,numerador_ponderado,proporcion,replicas_validas,segsoc,tam_loc,tramo_edad,unidad,universo,upm_n
91619046.0,8.3666692e-05,1,OBSERVADA,Sí × 18–29 × 100 000 y más × Bajo,0.000982938229,0.000659419138,143,74138.0,0.000809198559,1000,1,1,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,67
91619046.0,0.000579495419,2,OBSERVADA,Sí × 18–29 × 100 000 y más × Medio bajo,0.027890661138,0.025633659278,4842,2448335.0,0.026722991636,1000,1,1,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,2029
91619046.0,0.00048228435,3,OBSERVADA,Sí × 18–29 × 100 000 y más × Medio alto,0.022676237362,0.020799505954,4123,1994248.0,0.021766740509,1000,1,1,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,1896
91619046.0,0.000417489805,4,OBSERVADA,Sí × 18–29 × 100 000 y más × Alto,0.011043482083,0.009414947541,1548,939944.0,0.010259264215,1000,1,1,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,777
91619046.0,3.9399906e-05,1,OBSERVADA,Sí × 18–29 × 15 000 a 99 999 × Bajo,0.000361148604,0.000210222632,94,25763.0,0.00028119699,1000,1,2,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,19
91619046.0,0.000360647664,2,OBSERVADA,Sí × 18–29 × 15 000 a 99 999 × Medio bajo,0.010792439921,0.009379878705,2063,922943.0,0.010073702361,1000,1,2,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,542
91619046.0,0.000181088109,3,OBSERVADA,Sí × 18–29 × 15 000 a 99 999 × Medio alto,0.003348467857,0.002632084544,665,273838.0,0.002988876352,1000,1,2,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,151
91619046.0,8.3332041e-05,4,OBSERVADA,Sí × 18–29 × 15 000 a 99 999 × Alto,0.000772903876,0.00045049627,105,56095.0,0.000612263524,1000,1,2,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,42
91619046.0,0.000106466288,1,OBSERVADA,Sí × 18–29 × 2 500 a 14 999 × Bajo,0.001426421216,0.001005133575,245,111651.0,0.001218643992,1000,1,3,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,74
91619046.0,0.000335532607,2,OBSERVADA,Sí × 18–29 × 2 500 a 14 999 × Medio bajo,0.009441756214,0.008131001565,2004,803412.0,0.008769050051,1000,1,3,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,460
91619046.0,0.000111148143,3,OBSERVADA,Sí × 18–29 × 2 500 a 14 999 × Medio alto,0.000882110096,0.000457172016,137,60175.0,0.00065679575,1000,1,3,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,32
91619046.0,6.1429865e-05,4,OBSERVADA,Sí × 18–29 × 2 500 a 14 999 × Alto,0.00028737947,5.6314751e-05,21,13813.0,0.000150765595,1000,1,3,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,14
91619046.0,0.000277044929,1,OBSERVADA,Sí × 18–29 × Menos de 2 500 × Bajo,0.00738174251,0.006278702271,2827,626905.0,0.006842518312,1000,1,4,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,709
91619046.0,0.000249153328,2,OBSERVADA,Sí × 18–29 × Menos de 2 500 × Medio bajo,0.008027203412,0.007005697895,3959,689073.0,0.007521067181,1000,1,4,18-29,persona,integrantes del hogar de 18 a 96 años con factor persona válido,752
