codigo,denominador_ponderado,ee,estado,etiqueta,fuente,ic95_hi,ic95_lo,missing_masa,missing_n,n,numerador_ponderado,proporcion,replicas_validas,unidad,universo,universo_masa,universo_n,upm_n,valid_masa,valid_n,variable
1,91619046.0,0.00225439555,OBSERVADA,Sí,"ENIGH 2022 Descripción de la base, p. 75",0.500614525239,0.49179640626,0.0,0,107360,45469201.0,0.49628546667,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,10133,91619046.0,217080,segsoc
2,91619046.0,0.00225439555,OBSERVADA,No,"ENIGH 2022 Descripción de la base, p. 75",0.50820359374,0.499385474761,0.0,0,109720,46149845.0,0.50371453333,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,9780,91619046.0,217080,segsoc
18-29,91619046.0,0.001376604418,OBSERVADA,18–29,"ENIGH 2022 Descripción de la base, p. 65; corte operativo 18–96",0.265906785812,0.260582277012,0.0,0,57456,24114987.0,0.263209322219,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,9510,91619046.0,217080,tramo_edad
30-44,91619046.0,0.001465285451,OBSERVADA,30–44,"ENIGH 2022 Descripción de la base, p. 65; corte operativo 18–96",0.29055382222,0.284839651272,0.0,0,62262,26348844.0,0.287591337723,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,9643,91619046.0,217080,tramo_edad
45-59,91619046.0,0.001364780759,OBSERVADA,45–59,"ENIGH 2022 Descripción de la base, p. 65; corte operativo 18–96",0.252901983449,0.247643431042,0.0,0,54059,22933802.0,0.25031697012,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,9575,91619046.0,217080,tramo_edad
60-96,91619046.0,0.001589205923,OBSERVADA,60–96,"ENIGH 2022 Descripción de la base, p. 65; corte operativo 18–96",0.202008221501,0.195730974863,0.0,0,43303,18221413.0,0.198882369939,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,8764,91619046.0,217080,tramo_edad
1,91619046.0,0.002117323366,OBSERVADA,100 000 y más,"ENIGH 2022 Descripción de la base, pp. 45 y 186",0.49161278849,0.483358924114,0.0,0,79470,44660188.0,0.487455283042,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,6757,91619046.0,217080,tam_loc
2,91619046.0,0.001557490502,OBSERVADA,15 000 a 99 999,"ENIGH 2022 Descripción de la base, pp. 45 y 186",0.149460973373,0.143367781411,0.0,0,27882,13408464.0,0.14635018138,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,943,91619046.0,217080,tam_loc
3,91619046.0,0.001551019167,OBSERVADA,2 500 a 14 999,"ENIGH 2022 Descripción de la base, pp. 45 y 186",0.141428988684,0.135513711401,0.0,0,28175,12684299.0,0.138446093403,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,751,91619046.0,217080,tam_loc
4,91619046.0,0.001555233354,OBSERVADA,Menos de 2 500,"ENIGH 2022 Descripción de la base, pp. 45 y 186",0.23067983859,0.224755671887,0.0,0,81553,20866095.0,0.227748442174,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,1760,91619046.0,217080,tam_loc
1,91619046.0,0.00160035587,OBSERVADA,Bajo,"ENIGH 2022 Descripción de la base, pp. 46 y 186",0.188855265783,0.182625994532,0.0,0,50567,17028872.0,0.185866069813,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,1166,91619046.0,217080,est_socio
2,91619046.0,0.002271865664,OBSERVADA,Medio bajo,"ENIGH 2022 Descripción de la base, pp. 46 y 186",0.512149263557,0.503583508077,0.0,0,114949,46512481.0,0.507672618639,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,4775,91619046.0,217080,est_socio
3,91619046.0,0.00176421275,OBSERVADA,Medio alto,"ENIGH 2022 Descripción de la base, pp. 46 y 186",0.214306216554,0.207293629367,0.0,0,37794,19320022.0,0.210873424724,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,2902,91619046.0,217080,est_socio
4,91619046.0,0.001460063008,OBSERVADA,Alto,"ENIGH 2022 Descripción de la base, pp. 46 y 186",0.098506871291,0.092698296498,0.0,0,13770,8757671.0,0.095587886824,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,1368,91619046.0,217080,est_socio
1,91619046.0,0.00267380528,OBSERVADA,Sí,"ENIGH 2022 Descripción de la base, p. 54",0.650355309153,0.639932170347,0.0,0,131757,59095227.0,0.645010285307,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,10036,91619046.0,217080,conex_inte
2,91619046.0,0.00267380528,OBSERVADA,No,"ENIGH 2022 Descripción de la base, p. 54",0.360067829653,0.349644690847,0.0,0,85323,32523819.0,0.354989714693,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,7706,91619046.0,217080,conex_inte
1,91619046.0,0.001325008937,OBSERVADA,Sí,"ENIGH 2022 Descripción de la base, p. 54",0.94005944891,0.934796805042,0.0,0,203021,85900219.0,0.937580369479,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,10205,91619046.0,217080,celular
2,91619046.0,0.001325008937,OBSERVADA,No,"ENIGH 2022 Descripción de la base, p. 54",0.065203194958,0.05994055109,0.0,0,14059,5718827.0,0.062419630521,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,91619046.0,217080,3504,91619046.0,217080,celular
