pr	sha	clase	senales	n_calc	n_archivos	clase_regla_seccion2	discrepa
962	fc13cdcc	APARATO	APARATO	0	20	APARATO	NO
961	55c8d57c	ADOPTA	ADOPTA,FIRMA,APARATO	2	25	ADOPTA	NO
960	1f197a2c	APARATO	APARATO	0	12	APARATO	NO
959	9abc7a19	APARATO	APARATO	0	14	APARATO	NO
958	33d97e12	FIRMA	FIRMA	0	14	FIRMA	NO
957	78a406cc	REVISIÓN	-	0	1	REVISIÓN	NO
956	4bb29d96	REVISIÓN	-	0	2	REVISIÓN	NO
955	c7a52a7f	REVISIÓN	-	0	55	REVISIÓN	NO
954	bc22fb70	APARATO	APARATO	0	9	APARATO	NO
953	6b898108	REVISIÓN	-	0	2	REVISIÓN	NO
952	346ab2bc	REVISIÓN	-	0	1	REVISIÓN	NO
951	ba5fafe5	REVISIÓN	-	0	9	REVISIÓN	NO
950	35429371	REVISIÓN	-	0	3	REVISIÓN	NO
949	e24a7a53	APARATO	APARATO	0	24	APARATO	NO
948	8535a977	APARATO	APARATO	0	12	APARATO	NO
947	deddfd42	FIRMA	FIRMA,APARATO	0	10	FIRMA	NO
946	32e23f7a	APARATO	APARATO	0	18	APARATO	NO
945	483eeeb7	APARATO	APARATO	0	9	APARATO	NO
944	13129c05	FIRMA	FIRMA	0	13	FIRMA	NO
943	9bb5396f	ADOPTA	ADOPTA,FIRMA	1	28	ADOPTA	NO
941	73d7c816	REVISIÓN	-	0	8	REVISIÓN	NO
939	887aecb6	APARATO	APARATO	0	16	APARATO	NO
938	04a2edeb	REVISIÓN	-	0	7	REVISIÓN	NO
937	5a888bcb	FIRMA	FIRMA,APARATO	0	13	FIRMA	NO
936	ff73e022	REVISIÓN	-	0	9	REVISIÓN	NO
935	fa43ec36	APARATO	APARATO	0	16	APARATO	NO
934	67e157a9	REVISIÓN	-	0	3	REVISIÓN	NO
933	d5825063	APARATO	APARATO	0	16	APARATO	NO
932	8d78cf5f	APARATO	APARATO	0	16	APARATO	NO
929	1dfb6726	REVISIÓN	-	0	62	REVISIÓN	NO
928	d4494952	APARATO	APARATO	0	12	APARATO	NO
927	8d639a01	APARATO	APARATO	0	20	APARATO	NO
926	b8438d76	FIRMA	FIRMA	0	19	FIRMA	NO
925	dfb07b9e	FIRMA	FIRMA	0	15	FIRMA	NO
924	93f68f2e	REVISIÓN	-	0	8	REVISIÓN	NO
923	bd9ed213	APARATO	APARATO	0	17	APARATO	NO
922	d7c38276	APARATO	APARATO	0	10	APARATO	NO
921	3b76eb3d	REVISIÓN	-	0	3	REVISIÓN	NO
920	98c00806	REVISIÓN	-	0	5	REVISIÓN	NO
