tipo,variante,tramo_edad,desglose,grupo,medida,estimacion,ic95_inferior,ic95_superior,estado,unidad
mujer_menos_hombre,CON_CP,total,sexo,total,participacion,0.081923958696,0.073672939581,0.089902028462,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,total,sexo,total,media_incluye_ceros,8.365919714640,8.000922728596,8.723295436476,OK,horas/semana
mujer_menos_hombre,CON_CP,total,sexo,total,media_participantes,12.971625937044,12.384219081696,13.543731056972,OK,horas/semana
mujer_menos_hombre,CON_CP,12-17,sexo_edad,12-17,participacion,0.029286842489,0.005476673861,0.054472060760,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,12-17,sexo_edad,12-17,media_incluye_ceros,2.166553234709,1.595625617882,2.758627739617,OK,horas/semana
mujer_menos_hombre,CON_CP,12-17,sexo_edad,12-17,media_participantes,3.437151488482,2.477459788328,4.407645076071,OK,horas/semana
mujer_menos_hombre,CON_CP,18-29,sexo_edad,18-29,participacion,0.171237319369,0.153535825781,0.190210832164,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,18-29,sexo_edad,18-29,media_incluye_ceros,15.793556574597,14.903308836987,16.727056128634,OK,horas/semana
mujer_menos_hombre,CON_CP,18-29,sexo_edad,18-29,media_participantes,22.152416543685,20.835192678111,23.394657094919,OK,horas/semana
mujer_menos_hombre,CON_CP,30-39,sexo_edad,30-39,participacion,0.147110545727,0.129458936594,0.165213677307,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,30-39,sexo_edad,30-39,media_incluye_ceros,16.845502488345,15.806727687801,17.980106907665,OK,horas/semana
mujer_menos_hombre,CON_CP,30-39,sexo_edad,30-39,media_participantes,18.302492989145,16.998821427989,19.653330738792,OK,horas/semana
mujer_menos_hombre,CON_CP,40-59,sexo_edad,40-59,participacion,0.059953509368,0.045135015872,0.074039375114,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,40-59,sexo_edad,40-59,media_incluye_ceros,5.025519643638,4.474995951187,5.600510638962,OK,horas/semana
mujer_menos_hombre,CON_CP,40-59,sexo_edad,40-59,media_participantes,8.521892652421,7.551579618439,9.523866418365,OK,horas/semana
mujer_menos_hombre,CON_CP,60+,sexo_edad,60+,participacion,-0.010621358637,-0.030096888461,0.007003598866,OK,diferencia de proporciones
mujer_menos_hombre,CON_CP,60+,sexo_edad,60+,media_incluye_ceros,0.951755186204,0.460922966061,1.471392717749,OK,horas/semana
mujer_menos_hombre,CON_CP,60+,sexo_edad,60+,media_participantes,2.748575854942,1.648825912423,3.866265251658,OK,horas/semana
mujer_menos_hombre,SIN_CP,total,sexo,total,participacion,0.086868341497,0.078940962822,0.094761524324,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,total,sexo,total,media_incluye_ceros,4.013914689650,3.848840579961,4.182065553111,OK,horas/semana
mujer_menos_hombre,SIN_CP,total,sexo,total,media_participantes,6.276210321426,5.991864767632,6.558656754802,OK,horas/semana
mujer_menos_hombre,SIN_CP,12-17,sexo_edad,12-17,participacion,0.034823771474,0.011597230991,0.059697273628,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,12-17,sexo_edad,12-17,media_incluye_ceros,1.093299345866,0.806666191685,1.390631672387,OK,horas/semana
mujer_menos_hombre,SIN_CP,12-17,sexo_edad,12-17,media_participantes,1.723372118499,1.239307786715,2.215810037263,OK,horas/semana
mujer_menos_hombre,SIN_CP,18-29,sexo_edad,18-29,participacion,0.180177049876,0.162448041060,0.198837686535,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,18-29,sexo_edad,18-29,media_incluye_ceros,8.255539633985,7.803869570354,8.713844390112,OK,horas/semana
mujer_menos_hombre,SIN_CP,18-29,sexo_edad,18-29,media_participantes,11.524832797977,10.816400898719,12.234860142054,OK,horas/semana
mujer_menos_hombre,SIN_CP,30-39,sexo_edad,30-39,participacion,0.161517145504,0.143340838680,0.180002249457,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,30-39,sexo_edad,30-39,media_incluye_ceros,8.076871895941,7.593833859681,8.596075135454,OK,horas/semana
mujer_menos_hombre,SIN_CP,30-39,sexo_edad,30-39,media_participantes,8.365421279432,7.756175965980,8.996221678449,OK,horas/semana
mujer_menos_hombre,SIN_CP,40-59,sexo_edad,40-59,participacion,0.060266243142,0.045413121181,0.074315172396,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,40-59,sexo_edad,40-59,media_incluye_ceros,2.115520667579,1.864411855975,2.372758090934,OK,horas/semana
mujer_menos_hombre,SIN_CP,40-59,sexo_edad,40-59,media_participantes,3.568657144946,3.111047010349,4.055074687199,OK,horas/semana
mujer_menos_hombre,SIN_CP,60+,sexo_edad,60+,participacion,-0.011710015467,-0.030630821187,0.005991743309,OK,diferencia de proporciones
mujer_menos_hombre,SIN_CP,60+,sexo_edad,60+,media_incluye_ceros,0.195930824120,-0.029950317778,0.433326494785,OK,horas/semana
mujer_menos_hombre,SIN_CP,60+,sexo_edad,60+,media_participantes,0.783459399283,0.234322568207,1.326749719029,OK,horas/semana
