efecto	delta_pp	n_celdas	potencia_despeja_0_5pp	potencia_despeja_0	se_medio_pp	d_hat_medio_pp
0.00	0.0000	15	0.0075	0.0954	0.2930	-0.0016
0.00	0.0000	35	0.0009	0.0931	0.1924	-0.0044
0.00	0.0000	44	0.0008	0.0950	0.1719	-0.0012
0.00	0.0000	68	0.0001	0.0929	0.1383	-0.0023
0.50	0.5000	15	0.0953	0.4407	0.2926	0.5004
0.50	0.5000	35	0.0950	0.6577	0.1926	0.4974
0.50	0.5000	44	0.0952	0.7355	0.1716	0.5003
0.50	0.5000	68	0.0947	0.8653	0.1382	0.5000
S-MEDIO	1.1012	15	0.5244	0.8803	0.2930	1.0987
S-MEDIO	1.1012	35	0.7833	0.9941	0.1925	1.1039
S-MEDIO	1.1012	44	0.8506	0.9988	0.1717	1.1040
S-MEDIO	1.1012	68	0.9422	1.0000	0.1382	1.0999
S-LAMBDA	1.4651	15	0.8131	0.9758	0.2929	1.4661
S-LAMBDA	1.4651	35	0.9770	0.9999	0.1923	1.4655
S-LAMBDA	1.4651	44	0.9920	1.0000	0.1717	1.4677
S-LAMBDA	1.4651	68	0.9994	1.0000	0.1382	1.4653
2.00	2.0000	15	0.9826	0.9988	0.2928	2.0047
2.00	2.0000	35	1.0000	1.0000	0.1924	2.0007
2.00	2.0000	44	1.0000	1.0000	0.1718	1.9991
2.00	2.0000	68	1.0000	1.0000	0.1382	2.0009
