ola	cruce	categoria_a	categoria_b	n_tramites	personas	personas_evento	personas_no_evento	solape	num_w	den_w	p	p_ee	p_ic_lo	p_ic_hi	delta	delta_ee	delta_ic_lo	delta_ic_hi	b_validas	causa
2021	SEXO-EDAD	1	18-29	1834	1834	1196	638	0	5681734.0	8868297.0	0.6406792645758256	0.016734522441756227	0.6068784881193336	0.6727933036957744	-0.06173130473307409	0.04962959223820945	-0.15909640951326395	0.03600215094845775	10000	OK
2021	SEXO-EDAD	1	30-44	3502	3502	2405	1097	0	11777633.0	17867957.0	0.6591482730790096	0.012130131748688605	0.6354400016144485	0.6831409091323699	0.03568385043038713	0.0327001844866624	-0.026868120691614112	0.10029856436965018	10000	OK
2021	SEXO-EDAD	1	45-59	3067	3067	1902	1165	0	10692710.0	17837790.0	0.599441410623177	0.014486222855241513	0.5707722383385382	0.6273775087166723	0.0071245860248088655	0.033616303110969616	-0.05730028816361132	0.07360897644753514	10000	OK
2021	SEXO-EDAD	1	60-96	2132	2132	1063	1069	0	5242864.0	11328852.0	0.4627886391313083	0.016766798184867066	0.4306184207770215	0.49609131526148975	0.054720721795000316	0.038133421860132896	-0.021777144212131803	0.1306223281066653	10000	OK
2021	SEXO-EDAD	2	18-29	1614	1614	1038	576	0	4907775.0	7895629.0	0.6215812571740643	0.01978632327975146	0.5833604150012175	0.6605980907410726	0.06422353725037905	0.054333036968842036	-0.03880045970242085	0.17511549153555814	10000	OK
2021	SEXO-EDAD	2	30-44	3763	3763	2398	1365	0	10644098.0	17841079.0	0.5966061806015208	0.012671812627588949	0.5715748537799689	0.6213545104123489	-0.024470038918224912	0.030130501631785687	-0.0830187178612777	0.03450405552394913	10000	OK
2021	SEXO-EDAD	2	45-59	3227	3227	1840	1387	0	9418150.0	17239982.0	0.5462969740919683	0.014249245396974773	0.5179752192551648	0.5741343579466739	-0.002290601435476436	0.03330385335615506	-0.06794981186494105	0.06277348135418706	10000	OK
2021	SEXO-EDAD	2	60-96	1909	1909	786	1123	0	3215850.0	8598711.0	0.37399210183945014	0.01791824627538747	0.33965447297579143	0.4096508772039841	-0.10328329613502718	0.05273293125843964	-0.20783500244060923	-0.00023881257080498873	10000	OK
2021	SEXO-ESCOLARIDAD	1	HASTA-PRIMARIA	1362	1362	586	776	0	3003708.0	7108596.0	0.4225458866983016	0.020698459660772366	0.3823216055641283	0.4630361191396825	-0.02536380602332583	0.056989604262387666	-0.13870493173542842	0.0847382592366803	10000	OK
2021	SEXO-ESCOLARIDAD	1	SECUNDARIA	2246	2246	1232	1014	0	5998746.0	11614020.0	0.5165090123833092	0.016126609059016823	0.48472550227687344	0.5478956698351297	-0.013834228049844521	0.040802620910316764	-0.09335196195896173	0.06731253055597927	10000	OK
2021	SEXO-ESCOLARIDAD	1	MEDIA-SUPERIOR	2837	2837	1744	1093	0	8606657.0	15287025.0	0.5630040508208759	0.01493816556803361	0.5336239114536582	0.5925308104751328	-0.030579992403453937	0.03512905036975647	-0.09920662049660885	0.03807273774590363	10000	OK
2021	SEXO-ESCOLARIDAD	1	SUPERIOR	4144	4144	3041	1103	0	15998831.0	22223876.0	0.7198938205018782	0.01123505568384847	0.697827076475148	0.7413391595154043	-0.02788467181326687	0.030675588966577804	-0.08630031536215993	0.034105035265893785	10000	OK
2021	SEXO-ESCOLARIDAD	2	HASTA-PRIMARIA	1573	1573	618	955	0	2902594.0	7500454.0	0.38698910759268706	0.018803194968571697	0.3504270250598998	0.4237528030988252	0.03501735330087735	0.05593331608520295	-0.07718467583277881	0.1426205773145043	10000	OK
2021	SEXO-ESCOLARIDAD	2	SECUNDARIA	2472	2472	1288	1184	0	5940596.0	12515085.0	0.4746748424001914	0.0156449069277214	0.4438453866994092	0.5052466269553747	0.02675470201545921	0.038021739489042035	-0.04911240431681517	0.10030561546897648	10000	OK
2021	SEXO-ESCOLARIDAD	2	MEDIA-SUPERIOR	2930	2930	1657	1273	0	7788248.0	14757061.0	0.5277641665911661	0.015045489882073756	0.4989874070059504	0.5575597645192039	0.035264515703702315	0.03567852813736269	-0.033614291931291396	0.10644668116715825	10000	OK
2021	SEXO-ESCOLARIDAD	2	SUPERIOR	3588	3588	2529	1059	0	11755700.0	17144887.0	0.6856679778641878	0.012902388809456381	0.6599811730447581	0.7106800459761099	0.016160416996780114	0.03669959408955155	-0.05521879034702551	0.08888767430803582	10000	OK
2021	EDAD-ESCOLARIDAD	18-29	HASTA-PRIMARIA	110	110	53	57	0	289519.0	554884.0	0.52176490942251	0.060022676512606246	0.4008617526568523	0.6357981553994267	0.2246535460412883	0.23737670266632496	-0.24930556791417646	0.6849140639356274	10000	OK
2021	EDAD-ESCOLARIDAD	18-29	SECUNDARIA	640	640	357	283	0	1619747.0	3107470.0	0.5212430047594989	0.030499947823586518	0.46257382194689883	0.5818434861961468	-0.13943779597680955	0.10253327352132245	-0.33414876577095165	0.06344385345820953	10000	OK
2021	EDAD-ESCOLARIDAD	18-29	MEDIA-SUPERIOR	1183	1183	706	477	0	3347264.0	5826446.0	0.5744949837345098	0.023152624240022193	0.5291016352808999	0.6200689382569075	-0.13007776327971604	0.0681899744414892	-0.26130082840010516	0.004630408914103312	10000	OK
2021	EDAD-ESCOLARIDAD	18-29	SUPERIOR	1515	1515	1118	397	0	5332979.0	7275126.0	0.7330428366464031	0.017697477644496352	0.6969927230058272	0.7661769722188024	-0.10238232425674415	0.06924795575940242	-0.2357130054292482	0.03617677587534891	10000	OK
2021	EDAD-ESCOLARIDAD	30-44	HASTA-PRIMARIA	452	452	214	238	0	1088234.0	2307744.0	0.471557503778582	0.033541867251150624	0.40583893030945645	0.5356600622864646	0.039873692231224944	0.12091544907740051	-0.20256080242547642	0.27128591422680637	10000	OK
2021	EDAD-ESCOLARIDAD	30-44	SECUNDARIA	1735	1735	971	764	0	4368385.0	8562260.0	0.5101906505992577	0.01868678003292119	0.4741271744019381	0.5474589810356482	-0.16746497444450031	0.053447416386086015	-0.269376758988423	-0.05986215798249574	10000	OK
2021	EDAD-ESCOLARIDAD	30-44	MEDIA-SUPERIOR	2041	2041	1273	768	0	5968773.0	10333465.0	0.5776158336047008	0.01701107489350894	0.544269539329369	0.6111928326072071	-0.10107086428020423	0.048012428414430736	-0.1940443639517357	-0.003508479466856985	10000	OK
2021	EDAD-ESCOLARIDAD	30-44	SUPERIOR	3037	3037	2345	692	0	10996339.0	14505567.0	0.7580771575492361	0.012186598858385569	0.7340053900797702	0.7817124861292322	0.04589584753815995	0.04615695256641592	-0.04355007907956791	0.1381141799263618	10000	OK
2021	EDAD-ESCOLARIDAD	45-59	HASTA-PRIMARIA	925	925	428	497	0	2339626.0	5180890.0	0.4515876615793811	0.02531834856487455	0.4018775198202696	0.5010901611802412	0.1873121807342143	0.07347652553442345	0.04186167412267842	0.3290113109020512	10000	OK
