evaluacion	calc	result_delta	delta_mae_pp	result_ic_lo	ic_lo_pp	result_ic_hi	ic_hi_pp	unidad	temporalidad	sello_sha256
ENIF 2024 · lote	CALC-DIN-LOTE-ENIF2024-ADJUDICACION-0001	RESULT-DIN-LOTE24-ADJ-G-PRIMARIO-R2-DELTA-MAE-PP	0.47975872191017643	RESULT-DIN-LOTE24-ADJ-G-PRIMARIO-R2-DELTA-IC95INF	0.09746514131737907	RESULT-DIN-LOTE24-ADJ-G-PRIMARIO-R2-DELTA-IC95SUP	0.7150813681278729	persona	PROSPECTIVA	fb67202c3a31d2a159b481969ca54846048a253b4f13f060322f7b9a5a60bd03
ENCIG 2025 · piloto 3	CALC-GOB-DIGITAL-EXE-ADJUDICACION-0001	RESULT-GOB-EXE15-ADJ-2025-S-LAMBDA-DELTA-MAE-PP	1.4651067822737933	RESULT-GOB-EXE15-ADJ-2025-S-LAMBDA-DELTA-MAE-IC-LO	0.43922681298913385	RESULT-GOB-EXE15-ADJ-2025-S-LAMBDA-DELTA-MAE-IC-HI	2.114862896958696	trámite	PROSPECTIVA	0983028a1f045363bf9c3a6585ea996d30eefbd845432bc961d4ab3dab523e9a
ENVIPE 2026 · SXD	CALC-DUELO-ENVIPE2026-ADJUDICACION-0001	RESULT-DUELO26-ADJ-SXD-SL-DELTA-MAE-PP	-0.43060714166016156	RESULT-DUELO26-ADJ-SXD-SL-DELTA-IC95INF	-0.9100127316090185	RESULT-DUELO26-ADJ-SXD-SL-DELTA-IC95SUP	0.35958993418551616	delito	PROSPECTIVA	bcaa9e8160d130a720e96d7e6acf7a9b12a8061a30ccabb90ecf715eb93f62f3
ENVIPE 2026 · EXD	CALC-DUELO-ENVIPE2026-ADJUDICACION-0001	RESULT-DUELO26-ADJ-EXD-SL-DELTA-MAE-PP	0.36073910654568664	RESULT-DUELO26-ADJ-EXD-SL-DELTA-IC95INF	-0.4051980973998825	RESULT-DUELO26-ADJ-EXD-SL-DELTA-IC95SUP	0.7730734491797252	delito	PROSPECTIVA	bcaa9e8160d130a720e96d7e6acf7a9b12a8061a30ccabb90ecf715eb93f62f3
ENVIPE 2025 · piloto 4 dominio×sexo	CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-ARBITRO-CRUCES-0001	RESULT-TRA-ENCOGIDA-ARB-DOMxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-PP	0.30719668492502367	RESULT-TRA-ENCOGIDA-ARB-DOMxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-LO	-0.7734826482078047	RESULT-TRA-ENCOGIDA-ARB-DOMxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-HI	0.9463777791837367	delito	PROSPECTIVA	65d6d2d0745ce87297b543d6381b872b09f104a66ce36ce7267aa39778dd6723
ENVIPE 2025 · piloto 4 edad×escolaridad	CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-ARBITRO-CRUCES-0001	RESULT-TRA-ENCOGIDA-ARB-EDADxESC-G-DELTA-MAE-C-ENCOGIDA-VS-C2-PP	0.35054299318320936	RESULT-TRA-ENCOGIDA-ARB-EDADxESC-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-LO	-0.06687557548994078	RESULT-TRA-ENCOGIDA-ARB-EDADxESC-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-HI	0.5195233109382125	delito	PROSPECTIVA	65d6d2d0745ce87297b543d6381b872b09f104a66ce36ce7267aa39778dd6723
ENVIPE 2025 · piloto 4 edad×sexo	CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-ARBITRO-CRUCES-0001	RESULT-TRA-ENCOGIDA-ARB-EDADxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-PP	0.10383761079301518	RESULT-TRA-ENCOGIDA-ARB-EDADxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-LO	-0.30867412273043593	RESULT-TRA-ENCOGIDA-ARB-EDADxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-HI	0.3348747071384349	delito	PROSPECTIVA	65d6d2d0745ce87297b543d6381b872b09f104a66ce36ce7267aa39778dd6723
ENVIPE 2025 · piloto 4 escolaridad×sexo	CALC-TRA-EVADE-NORMA-CRUCES-ENCOGIDA-ARBITRO-CRUCES-0001	RESULT-TRA-ENCOGIDA-ARB-ESCxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-PP	0.4391038454001994	RESULT-TRA-ENCOGIDA-ARB-ESCxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-LO	-0.19650588607269198	RESULT-TRA-ENCOGIDA-ARB-ESCxSEX-G-DELTA-MAE-C-ENCOGIDA-VS-C2-IC-HI	0.5243015971114283	delito	PROSPECTIVA	65d6d2d0745ce87297b543d6381b872b09f104a66ce36ce7267aa39778dd6723
ENCIG 2025 · cierre edad×sexo C-ASTRA	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-G-C-ASTRA-DELTA-MAE-PP	0.1911559253574897	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-G-C-ASTRA-DELTA-MAE-IC-LO	-0.26577713805898306	RESULT-ENCIG-DUELO-2025-ADJ-EDADXSEXO-G-C-ASTRA-DELTA-MAE-IC-HI	0.4798803883291278	trámite	PROSPECTIVA	4be804b2eb188c15e31648d637d32e040e1c0e453ff3f89d702957f01b6112ed
ENCIG 2025 · cierre escolaridad×sexo C-ASTRA	CALC-ENCIG-DUELO-2025-ADJUDICACION-0001	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-G-C-ASTRA-DELTA-MAE-PP	-0.34554728940814083	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-G-C-ASTRA-DELTA-MAE-IC-LO	-0.3663299497547928	RESULT-ENCIG-DUELO-2025-ADJ-ESCOLARIDADXSEXO-G-C-ASTRA-DELTA-MAE-IC-HI	0.3180459386738055	trámite	PROSPECTIVA	4be804b2eb188c15e31648d637d32e040e1c0e453ff3f89d702957f01b6112ed
