tipo,calc_id,pais,universo,precision,estado,universo_matriz,variable_a,item_a,situacion_a,variable_b,item_b,situacion_b,medida,masa_denominador,masa_numerador,proporcion,unidad
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,ACUERDO,981.000000000000,696.000000000000,0.709480122324,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,DISCORDANCIA_A_FAMILIA_B_NO,981.000000000000,46.000000000000,0.046890927625,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,DISCORDANCIA_A_NO_B_FAMILIA,981.000000000000,239.000000000000,0.243628950051,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_B_DADO_FAMILIA_A,637.000000000000,591.000000000000,0.927786499215,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_B_DADO_NO_FAMILIA_A,344.000000000000,239.000000000000,0.694767441860,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_A_DADO_FAMILIA_B,830.000000000000,591.000000000000,0.712048192771,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_A_DADO_NO_FAMILIA_B,151.000000000000,46.000000000000,0.304635761589,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,ACUERDO,996.000000000000,706.000000000000,0.708835341365,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,DISCORDANCIA_A_FAMILIA_B_NO,996.000000000000,47.000000000000,0.047188755020,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,DISCORDANCIA_A_NO_B_FAMILIA,996.000000000000,243.000000000000,0.243975903614,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_B_DADO_FAMILIA_A,647.000000000000,600.000000000000,0.927357032457,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_B_DADO_NO_FAMILIA_A,349.000000000000,243.000000000000,0.696275071633,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_A_DADO_FAMILIA_B,843.000000000000,600.000000000000,0.711743772242,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v22,Q7b,Hogar durante enfermedad,P_FAMILIA_A_DADO_NO_FAMILIA_B,153.000000000000,47.000000000000,0.307189542484,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,ACUERDO,981.000000000000,656.000000000000,0.668705402650,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,DISCORDANCIA_A_FAMILIA_B_NO,981.000000000000,186.000000000000,0.189602446483,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,DISCORDANCIA_A_NO_B_FAMILIA,981.000000000000,139.000000000000,0.141692150866,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_B_DADO_FAMILIA_A,637.000000000000,451.000000000000,0.708006279435,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_B_DADO_NO_FAMILIA_A,344.000000000000,139.000000000000,0.404069767442,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_A_DADO_FAMILIA_B,590.000000000000,451.000000000000,0.764406779661,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_A_DADO_NO_FAMILIA_B,391.000000000000,186.000000000000,0.475703324808,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,ACUERDO,993.000000000000,661.000000000000,0.665659617321,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,DISCORDANCIA_A_FAMILIA_B_NO,993.000000000000,190.000000000000,0.191339375629,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,DISCORDANCIA_A_NO_B_FAMILIA,993.000000000000,142.000000000000,0.143001007049,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_B_DADO_FAMILIA_A,644.000000000000,454.000000000000,0.704968944099,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_B_DADO_NO_FAMILIA_A,349.000000000000,142.000000000000,0.406876790831,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_A_DADO_FAMILIA_B,596.000000000000,454.000000000000,0.761744966443,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,PAREJA-DOS-VALIDAS,v21,Q7a,Hogar o jardín,v23,Q7c,Hablar al sentirse deprimido,P_FAMILIA_A_DADO_NO_FAMILIA_B,397.000000000000,190.000000000000,0.478589420655,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v24,Q7d,Consejo sobre problemas familiares,ACUERDO,981.000000000000,592.000000000000,0.603465851172,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v24,Q7d,Consejo sobre problemas familiares,DISCORDANCIA_A_FAMILIA_B_NO,981.000000000000,257.000000000000,0.261977573904,proporcion
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,v24,Q7d,Consejo sobre problemas familiares,DISCORDANCIA_A_NO_B_FAMILIA,981.000000000000,132.000000000000,0.134556574924,proporcion
