tipo,calc_id,pais,universo,precision,estado,universo_matriz,variable_a,item_a,situacion_a,codigo_a,categoria_a,variable_b,item_b,situacion_b,codigo_b,categoria_b,n_denominador,masa_denominador,n_numerador,masa_numerador,proporcion,unidad
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,1,Familiar cercano,981,981.000000000000,504,504.000000000000,0.513761467890,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,2,Familiar más lejano,981,981.000000000000,51,51.000000000000,0.051987767584,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,3,Amigo cercano,981,981.000000000000,20,20.000000000000,0.020387359837,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,4,Vecino,981,981.000000000000,4,4.000000000000,0.004077471967,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,5,Compañero de trabajo,981,981.000000000000,0,0.000000000000,0.000000000000,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,6,Alguien más,981,981.000000000000,1,1.000000000000,0.001019367992,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,1,Familiar cercano,v22,Q7b,Hogar durante enfermedad,7,Ninguno,981,981.000000000000,2,2.000000000000,0.002038735984,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,2,Familiar más lejano,v22,Q7b,Hogar durante enfermedad,1,Familiar cercano,981,981.000000000000,30,30.000000000000,0.030581039755,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,2,Familiar más lejano,v22,Q7b,Hogar durante enfermedad,2,Familiar más lejano,981,981.000000000000,6,6.000000000000,0.006116207951,proporcion-respuestas-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,CINCO-RESPUESTAS-VALIDAS,v21,Q7a,Hogar o jardín,2,Familiar más lejano,v22,Q7b,Hogar durante enfermedad,3,Amigo cercano,981,981.000000000000,17,17.000000000000,0.017329255861,proporcion-respuestas-validas
