tipo,calc_id,version,pais,universo,precision,estado,variable,item,situacion,dominio_id,dominio,codigo,texto_integrado,texto_mexico,n_denominador,masa_denominador,n_numerador,masa_numerador,proporcion,porcentaje,unidad
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",1,Close family member,Familiar cercano,999,999.000000000000,593,593.000000000000,0.593593593594,59.359359359359,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",2,More distant family member,Familiar más lejano,999,999.000000000000,56,56.000000000000,0.056056056056,5.605605605606,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",3,Close friend,Amigo cercano,999,999.000000000000,159,159.000000000000,0.159159159159,15.915915915916,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",4,Neighbour,Vecino,999,999.000000000000,86,86.000000000000,0.086086086086,8.608608608609,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",5,Someone I work with,Alguien con quien trabajo,999,999.000000000000,20,20.000000000000,0.020020020020,2.002002002002,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",6,Someone else,Alguien más,999,999.000000000000,55,55.000000000000,0.055055055055,5.505505505506,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,TOTAL,"México, personas adultas",7,No one,Ninguno,999,999.000000000000,30,30.000000000000,0.030030030030,3.003003003003,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,HOMBRES,Hombres,1,Close family member,Familiar cercano,486,486.000000000000,272,272.000000000000,0.559670781893,55.967078189300,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,HOMBRES,Hombres,2,More distant family member,Familiar más lejano,486,486.000000000000,22,22.000000000000,0.045267489712,4.526748971193,proporcion-de-respuestas-validas
RESULT,CALC-ISSP2017-REDES-APOYO-COTIDIANO-0001,ZA6980 v2.0.0; DOI 10.4232/1.13322,México,"Personas de 18 años o más, muestra nacional de México",EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,v21,Q7a,Hogar o jardín,HOMBRES,Hombres,3,Close friend,Amigo cercano,486,486.000000000000,83,83.000000000000,0.170781893004,17.078189300412,proporcion-de-respuestas-validas
