universo	consumido_por_marcador	celda	sub_celda	candidato	calc	resultado	clase	cadena
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE1	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE1	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE2	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE2	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE3	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE3	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE4	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE4	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE1	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE1	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE2	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE2	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE3	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE3	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	SI	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE4	C2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE4	HEREDADO-DE-LEGACY	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001 [medidor.py:373,391-408 compone C2-P de parametros.marginales_sellados_D9 (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml; NAC de milpa/tramite.yaml)] | CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001: parametros.marginales_sellados_D9 (números tecleados de milpa/)
CELDA-D	NO	DIN.credito_k1.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k2_automotriz.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
CELDA-D	NO	DIN.credito_k2_departamental.enif2024.marginal16	(celda)	PERSISTENCIA (champion_actual=PERSISTENCIA)	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002		NUEVO	CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002 [medidor.py:221-224: PERSISTENCIA se lee de las emisiones selladas (input EMISIONES-0001); enif2024_csv es R] | CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002: EMISIONES-0001 -> CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001 [medidor.py:60: PERSISTENCIA = p_2021(celda) del input PISO-2021] | CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001: PISO-2021 -> CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001 [p_2021 medido de enif2021_csv; los demás inputs son medidor importado por sha y metadatos de rejilla/comparabilidad (sin números)] | CALC-DIN-CREDITO-PISOS-ENIF2021-RECORTE1870-0001: enif2021_csv (manifiesto)
