# DERIVADO (P5, ACTO GEN2-RELEVO-TANDA-1): DEMANDA DE MEDICION DE CAJA.
# 154 slots SIN-CANDIDATO agrupados en 71 corridas naturales. De aqui salen los siguientes encargos de caja.
corrida_natural	slots_sin_oferta	slots	consumidores_familia	razon
CORR-0019	21	RES-0074;RES-0075;RES-0076;RES-0077;RES-0078;RES-0079;RES-0080;RES-0081;RES-0082;RES-0083;RES-0084;RES-0085;RES-0086;RES-0087;RES-0088;RES-0089;RES-0090;RES-0091;RES-0092;RES-0093;RES-0094	asignados_coeficiente;asignados_probabilidad	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-01;CORR-SIN-CALC-DECLARADA
CORR-0082	14	RES-0183;RES-0184;RES-0185;RES-0186;RES-0187;RES-0188;RES-0189;RES-0190;RES-0191;RES-0192;RES-0193;RES-0194;RES-0195;RES-0196	M09;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22	CORR-SIN-CALC-DECLARADA
CORR-0083	12	RES-0197;RES-0198;RES-0199;RES-0200;RES-0201;RES-0202;RES-0203;RES-0204;RES-0205;RES-0206;RES-0207;RES-0208	condicionales_confianza_institucional/educación;condicionales_confianza_institucional/electoral-partidos;condicionales_confianza_institucional/financiera;condicionales_confianza_institucional/justicia-policía;condicionales_confianza_institucional/salud;condicionales_confianza_institucional/seguridad	CORR-SIN-CALC-DECLARADA
CORR-0081	8	RES-0175;RES-0176;RES-0177;RES-0178;RES-0179;RES-0180;RES-0181;RES-0182	M01;M02;M03;M04;M05;M06;M07;M08	CORR-SIN-CALC-DECLARADA
CORR-0018	7	RES-0067;RES-0068;RES-0069;RES-0070;RES-0071;RES-0072;RES-0073	coeficientes_generador_sellados	CORR-SIN-CALC-DECLARADA
CORR-0076	6	RES-0165;RES-0166;RES-0167;RES-0168;RES-0169;RES-0170	CORTES_C1	CORR-SIN-CALC-DECLARADA
CORR-0001	4	RES-0001;RES-0002;RES-0007;RES-0008	tramite.mordida	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1
CORR-0004	2	RES-0017;RES-0018	tramite.gobierno_digital	CORR-SIN-CALC-DECLARADA
CORR-0005	2	RES-0019;RES-0020	tramite.gobierno_digital	CORR-SIN-CALC-DECLARADA
CORR-0006	2	RES-0023;RES-0024	tramite	CORR-SIN-CALC-DECLARADA
CORR-0008	2	RES-0029;RES-0030	dinero.ahorro	CORR-SIN-CALC-DECLARADA
CORR-0022	2	RES-0097;RES-0098	CIV-M-01	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-02;CORR-SIN-CALC-DECLARADA
CORR-0026	2	RES-0102;RES-0103	CIV-M-02	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-R-CIV-M-04;CORR-SIN-CALC-DECLARADA
