# forense/analisis/seguridad-ensu/inventario-reactivos-ensu-v1_0.tsv -- ACTO GEN2-SEGURIDAD-ENSU-SERIE-1
# Texto de pregunta transcrito del FD ENSU (miembro PDF del zip; sha256 del zip). Sólo las variables que citan las verificaciones de texto del acto.
instrumento	variable_id	texto_reactivo	texto_tipo	fuente_texto	fuente_sha256	acto
ensu2025	BP1_1	1.1 En términos de delincuencia, ¿considera que vivir actualmente en (CIUDAD), es… seguro? / inseguro?	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP1_2_08	1.2 En términos de delincuencia, dígame si en (LUGAR) se siente seguro(a) o inseguro(a). — el cajero automático localizado en la vía pública	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP1_5_1	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … llevar cosas de valor como joyas, dinero o tarjetas de crédito?	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP1_5_2	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … caminar por los alrededores de su vivienda, pasadas las ocho de la noche?	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP1_5_3	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … visitar a parientes o amigos(as)?	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP1_5_4	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … permitir que los (las) menores de edad que viven en el hogar salgan solos(as)?	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_septiembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_1	1.1 En términos de delincuencia, ¿considera que vivir actualmente en (CIUDAD), es… seguro? / inseguro?	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_2_08	1.2 En términos de delincuencia, dígame si en (LUGAR) se siente seguro(a) o inseguro(a). — el cajero automático localizado en la vía pública	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_5_1	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … llevar cosas de valor como joyas, dinero o tarjetas de crédito?	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_5_2	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … caminar por los alrededores de su vivienda, pasadas las ocho de la noche?	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_5_3	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … visitar a parientes o amigos(as)?	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2024	BP1_5_4	1.5. En este mismo periodo de tres meses, por temor a sufrir algún delito (robo, asalto, secuestro, entre otros), ¿usted cambió sus hábitos respecto a … permitir que los (las) menores de edad que viven en el hogar salgan solos(as)?	PREGUNTA+OPCION	ensu_fd_2024/ensu_fd_2024_marzo.pdf	b2f47ed6de7054b07f319a5f04d80b84679b63e7da71c26402a37d4e3f35c744	GEN2-SEGURIDAD-ENSU-SERIE-1
ensu2025	BP3_6	3.6 En los últimos seis meses, ¿la policía u otras autoridades de seguridad pública le insinuó, le pidió de forma directa o generó las condiciones para que les diera dinero, un regalo o favor para agilizar, aprobar, o bien, evitar infracciones o detenciones? [trimestre II y IV]	PREGUNTA+OPCION	ensu_fd_2025/ensu_fd_2025_diciembre.pdf	ea8950ed8db3973e12cf0545670857b5261c8e91a5e41a669812fe640a9e360b	GEN2-SEGURIDAD-ENSU-SERIE-1
