dominio_id,dominio,escenario_singleton,precision_tipo,n_entrevistados_dominio,n_expuestos,n_clasificables,masa_clasificable,n_si,punto_padre,punto_sucesor,delta_punto,ee,ic95_inferior,ic95_superior,limite_inferior_faltantes,limite_superior_faltantes,n_unidades_muestreo_diseno,n_estratos_diseno,n_estratos_singleton_diseno,n_singleton_diseno_con_dominio_clasificable,n_estratos_que_serian_singleton_tras_filtro,grados_libertad,fpc,transformacion_ic,estado,ponderador
TOTAL,Total nacional cubierto,SINGLETON-CERTEZA,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,1322,257,242,47903.520996093750,38,0.152397247515,0.152397247515,0.000000000000,0.049466591948,0.078180257227,0.275976039865,0.148851531155,0.172117806749,1322,242,34,3,55,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
TOTAL,Total nacional cubierto,SINGLETON-AVERAGE,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,1322,257,242,47903.520996093750,38,0.152397247515,0.152397247515,0.000000000000,0.053356582572,0.074026493907,0.287937875359,0.148851531155,0.172117806749,1322,242,34,3,55,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
PEQUENA,Pequeña (5-19),SINGLETON-CERTEZA,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,624,104,102,34783.548828125000,17,0.153785713961,0.153785713961,0.000000000000,0.064520094292,0.064281957163,0.324670542712,0.153024731621,0.157973060826,1322,242,34,1,15,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
PEQUENA,Pequeña (5-19),SINGLETON-AVERAGE,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,624,104,102,34783.548828125000,17,0.153785713961,0.153785713961,0.000000000000,0.069593873422,0.059830941470,0.341663886791,0.153024731621,0.157973060826,1322,242,34,1,15,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
MEDIANA,Mediana (20-99),SINGLETON-CERTEZA,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,305,62,57,9189.820922851562,8,0.141515603261,0.141515603261,0.000000000000,0.079566145499,0.043612133388,0.373392805037,0.134346537545,0.185005726712,1322,242,34,0,15,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
MEDIANA,Mediana (20-99),SINGLETON-AVERAGE,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,305,62,57,9189.820922851562,8,0.141515603261,0.141515603261,0.000000000000,0.085823127187,0.039586171548,0.397322810276,0.134346537545,0.185005726712,1322,242,34,0,15,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
GRANDE,Grande (100-250),SINGLETON-CERTEZA,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,229,44,41,2557.214477539062,7,0.176374611485,0.176374611485,0.000000000000,0.076119791852,0.071141855099,0.374506682590,0.155373769386,0.274443299421,1322,242,34,1,18,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
GRANDE,Grande (100-250),SINGLETON-AVERAGE,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,229,44,41,2557.214477539062,7,0.176374611485,0.176374611485,0.000000000000,0.082105756621,0.065980717329,0.393630557936,0.155373769386,0.274443299421,1322,242,34,1,18,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
EXTRA-GRANDE,Extra grande (251+),SINGLETON-CERTEZA,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,164,47,42,1372.937652587891,6,0.145396990039,0.145396990039,0.000000000000,0.079020800025,0.046574738488,0.372072584101,0.132637385849,0.220394389527,1322,242,34,1,7,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
EXTRA-GRANDE,Extra grande (251+),SINGLETON-AVERAGE,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,164,47,42,1372.937652587891,6,0.145396990039,0.145396990039,0.000000000000,0.085234896430,0.042406131052,0.395271299881,0.132637385849,0.220394389527,1322,242,34,1,7,1080,NO-APLICADA;NO-DISPONIBLE-POR-ESTRATO-PANEL-FRESH,LOGIT-T-95,IC-APROXIMADO-CONDICIONAL-A-SUPUESTOS,wmedian
