id	encuesta	ola	universo	variable	estimador	ponderador	escala	grado_dependencia	publicada	cv_arbitro	n_no_ponderado	frase_discriminacion	post_corte_u_ola_retenida	dominio	dificultad	estrato
CIV-01	ENCIG	2023	población de 18 años y más residente en viviendas particulares en ciudades de cien mil habitantes y más	P8_3_1	proporción ponderada	FAC_P18	binaria	P0	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encig 2023: 6 filas descarga-masiva + 36 canastas) y paso 2 sobre 36 bloques/11 466 cadenas, 484 hojas del programa :: NO-ENCONTRADO -- el cuadro 4.10 de IV_corrupcion_encig2023_est.xlsx publica el COMPUESTO 'experiencia con algun acto de corrupcion' por tipo de tramite (5 383 732 casos, tasa 13 965.843 por cada 100 mil), no el reactivo P8_3_1; 0 coincidencias del texto verbatim del reactivo	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	M deriva la mordida de tramite.mordida.discrecional, que la hace funcion de la discrecionalidad del tramite y no del nivel de corrupcion percibida; L tiende a anclar en la cifra nacional de corrupcion mas citada. Divergen si el condicionamiento por tipo de tramite mueve la tasa mas que el promedio nacional.	NO	tramite	MEDIA	tramite|P0|MEDIA
CIV-02	ENCIG	2023	población de 18 años y más residente en viviendas particulares en ciudades de cien mil habitantes y más	P11_1_02	proporción ponderada	FAC_P18	ordinal k=4	P0	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encig 2023, 36 archivos) y paso 2 abriendo VI_confianza_institucional_encig_2023_est.xlsx :: EXISTE-SATISFACE -- hoja 6.1 fila 34 'Policias': Mucha confianza = 2 074 650 absolutos y 3.9527 por ciento sobre 52 486 649; el cuadro 6.2 lo abre por sexo	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	M pasa por confianza_institucional[dominio] con pendiente homogenea supuesta (ADR-49 D3, ADR-52 B); L reproduce el ranking de confianza que circula en prensa. Divergen si el orden entre policias y otras autoridades no es el del ranking publicado.	NO	civico	MEDIA	civico|P0|MEDIA
CIV-03	ENCIG	2021	población de 18 años y más residente en viviendas particulares en ciudades de cien mil habitantes y más	P9_1	proporción ponderada	FAC_P18	binaria	P0	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encig 2021, 34 archivos) y paso 2 sobre 32 bloques/8 742 cadenas :: NO-ENCONTRADO -- 0 coincidencias de 'cinco anos', 'recuerda' e 'insinuado'; el cuadro 4.4 publica 'conocimiento y/o contacto con actos de corrupcion', que es otro reactivo	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	La pregunta es de recuerdo abierto (situaciones no listadas): M no tiene regla para actos de corrupcion fuera del catalogo de tramites y debe extrapolar; L puede recitar el agregado de ENCIG sin distinguir listado de no listado.	NO	tramite	MEDIA	tramite|P0|MEDIA
CIV-04	ENCIG	2019	población de 18 años y más residente en viviendas particulares en ciudades de cien mil habitantes y más	P5_10A	proporción ponderada	FAC_P18	ordinal k=6	P1	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encig 2019, 36 archivos) y paso 2 abriendo II_evaluacion_servicios_bajo_demanda_encig2019_est.xlsx :: EXISTE-SATISFACE -- hoja 2.9 fila 12, servicio de metro o tren ligero: 'Satisfecha' = 4 406 652 y 57.4863 por ciento sobre 7 665 566 usuarios, por entidad federativa	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Satisfaccion con metro o tren ligero solo aplica a ciudades que lo tienen: M debe condicionar por disponibilidad del servicio, L probablemente promedia sobre todas las ciudades. La divergencia mide si el corredor respeta el universo.	NO	tramite	MEDIA	tramite|P1|MEDIA
CIV-05	ENCUCI	2020	población mexicana de 15 años y más residente en viviendas seleccionadas, muestra nacional urbano/rural y seis regiones	AP5_4_2	proporción ponderada	FAC_SEL	ordinal k=4	P0	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encuci 2020, 6 archivos) y paso 2 abriendo II_Creencias_valores_y_actitudes.xlsx :: EXISTE-SATISFACE -- hoja 2.25 fila 20 'Libertad de voto': Muy frecuente = 57 216 644 y 59.336 por ciento sobre 96 427 583, por sexo, region, edad y dominio	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Frecuencia percibida de situaciones en el pais es una creencia sobre terceros, no conducta propia: M la produce por agregacion de sus reglas de exposicion; L la produce por prior mediatico. Es la celda donde mas se separan mecanismo y memoria.	NO	civico	MEDIA	civico|P0|MEDIA
CIV-06	ENCUCI	2020	población mexicana de 15 años y más residente en viviendas seleccionadas, muestra nacional urbano/rural y seis regiones	AP5_3_8	proporción ponderada	FAC_SEL	ordinal k=4	P0	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (encuci 2020, 6 archivos) y paso 2 abriendo II_Creencias_valores_y_actitudes.xlsx :: EXISTE-SATISFACE -- hoja 2.17 fila 26 'Instituto Nacional Electoral': Mucha confianza = 18 090 304 y 18.761 por ciento sobre 96 427 583	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Confianza en el INE es el reactivo mexicano con mas cobertura mediatica: si L gana aqui por memoria y no en CIV-02, la sonda canario del propio piloto lo delata. Sirve como control de contaminacion dentro del dominio civico.	NO	civico	MEDIA	civico|P0|MEDIA
CIV-07	ENVIPE	2023	delitos ocurridos en 2022 captados en el modulo sobre victimizacion (TMod_Vic), poblacion de 18 años y más	BP1_20	proporción ponderada	FAC_DEL	binaria	P1	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (envipe 2023, 40 archivos) y paso 2 abriendo III_denuncia_delito_2023_est.xlsx :: EXISTE-SATISFACE -- hoja 3.1 fila 11: 'Delitos denunciados' = 2 926 213 y 10.9048 por ciento sobre 26 834 278 delitos ocurridos en 2022, por entidad federativa	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	M tiene regla explicita (civico.denuncia.con_seguro / sin_seguro, p=0.93 MEDIDO con reserva definicional declarada en procedencia.yaml); L recita la cifra negra. La reserva del propio motor -- la cifra negra agrega dos cantidades -- hace probable que M y L difieran por definicion, no por modelado.	NO	civico	MEDIA	civico|P1|MEDIA
CIV-08	ENVIPE	2023	población de 18 años y más (TPer_Vic1)	AP4_4_03	proporción ponderada	FAC_ELE	binaria	P1	NO :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (envipe 2023) y paso 2 sobre 42 bloques/20 525 cadenas mas los 205 indicadores del paquete envipe_00_csv (61 098 filas) :: NO-ENCONTRADO -- el corte por espacio fisico ('la calle') solo se publica para la Ciudad de Mexico, cuaderno IX cuadros 9.25 a 9.28; a nivel nacional el indicador es el compuesto 'insegura en calle, transporte publico, parque o centro recreativo'	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Inseguridad percibida en la calle es el indicador ENVIPE mas publicado; M debe derivarla de exposicion_violencia, que en el motor esta MEDIDO PARCIAL. Divergen si el condicionamiento por sexo mueve la brecha mas de lo que el promedio nacional sugiere.	NO	civico	MEDIA	civico|P1|MEDIA
CIV-09	ENVIPE	2023	población de 18 años y más (TPer_Vic1)	AP5_6_02	proporción ponderada	FAC_ELE	ordinal k=4	P1	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (envipe 2023, canasta indicadores) y paso 2 abriendo envipe_00_csv.zip, 61 098 filas y 205 indicadores distintos :: EXISTE-SATISFACE -- indicador 6200028491 'Porcentaje de personas de 18 anos y mas que identifica a la Policia Preventiva Municipal y considera muy efectivo el trabajo de esta', nacional y por entidad; tambien 6200028512 (algo efectivo) y 6200028513 (suma)	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Efectividad percibida de la policia preventiva condiciona por autoridad: M usa confianza_institucional[dominio] con una sola pendiente para seis componentes (supuesto, no medicion); L distingue autoridades por prensa. Divergen exactamente donde el supuesto de homogeneidad de M es falso.	NO	civico	MEDIA	civico|P1|MEDIA
CIV-10	ENVIPE	2018	población de 18 años y más (TPer_Vic1)	AP5_6_04	proporción ponderada	FAC_ELE	ordinal k=4	P1	SI :: prueba del bibliotecario FP-93, dos pasos, 25/ago/2026: paso 1 indices (envipe 2018, canasta indicadores) y paso 2 abriendo envipe_00_csv.zip, 77 288 filas y 261 indicadores distintos :: EXISTE-SATISFACE -- indicador 6200028494 'Porcentaje de personas de 18 anos y mas que identifica a la Policia Federal y considera muy efectivo el trabajo de esta', nacional y por entidad	POR_MEDIR :: umbral CAC-007/01/2018, columna viviendas/hogares: Alta [0%,15%), Moderada [15%,30%), Baja >=30%	POR_MEDIR :: el n no ponderado de la celda solo existe al correr el arbitro sobre el microdato, prohibido en este acto; piso sin cifra en ADV1-M1	Policia Federal en 2018 es una institucion que ya no existe: L entrenado despues de 2019 puede no tener la cifra, o puede contaminarla con Guardia Nacional (mismo mnemonico AP5_6_04 en 2025). Es una sonda de perturbacion de universo con costo cero.	NO	civico	MEDIA	civico|P1|MEDIA
