# DERIVADO -- censo de identidad emisor <-> arbitro. ACTO GEN2-EMISOR-ESTADO-1 P1 (sucesor de NC-0275).
# FUENTES: milpa/tramite.yaml (emisor) y milpa/tramite-ola5-propuesta-v0.yaml (arbitro sellado), leidos en la base 1a6a530.
# CERO CIFRAS NUEVAS: cada `p` de este archivo ya estaba sellado en uno de esos dos YAML. Ninguno de los dos se modifica.
# METODO (verbatim en la nota de cierre del acto): la contraparte de ENTRADA se resuelve por el `id` que el `origen:` del emisor cita, por el bloque anidado que nombra, o por el id de la regla base -- NUNCA por el rango de linea, que esta DESFASADO. La contraparte de CELDA se resuelve por etiqueta identica, por `eje::celda`, o por token discriminante unico; un empate se deja SIN-CONTRAPARTE y no se adivina (A.15).
# p_arbitro marcado `(complemento)`: el arbitro asienta 1-p para la conducta complementaria. Es el MISMO numero medido.
regla	salida	celda	p_emisor	p_arbitro	instrumento_ola_emisor	instrumento_ola_arbitro	origen_linea	veredicto
tramite.mordida.discrecional	enmienda_encuci2020	solicitud_o_entrega_mordida_encuci2020	0.126006	0.125822	ENCUCI 2020 (unica ola)	ENCUCI 2020 (unica ola)	tramite.yaml:114	INDEPENDIENTE
tramite.mordida.discrecional	enmienda_encuci2020	sin_solicitud_y_sin_entrega_encuci2020	0.873994	SIN-CONTRAPARTE	ENCUCI 2020 (unica ola)	ENCUCI 2020 (unica ola)	tramite.yaml:114	SIN-CONTRAPARTE
tramite.mordida.discrecional	enmienda_encuci2020	paga_mordida_encuci2020	0.126006	0.125822	ENCUCI 2020 (unica ola)	ENCUCI 2020 (unica ola)	tramite.yaml:114	INDEPENDIENTE
tramite.mordida.discrecional	enmienda_encuci2020	tramite_normal_encuci2020	0.873994	0.874178	ENCUCI 2020 (unica ola)	ENCUCI 2020 (unica ola)	tramite.yaml:114	INDEPENDIENTE
tramite.mordida.discrecional	enmienda_encig2025	paga_mordida_encig2025	0.085118	0.085118	ENCIG 2025 (más reciente de 8 olas disponibles; las otras 7 van en serie_olas, NO promedia	ENCIG 2025 (más reciente de 8 olas disponibles; las otras 7 van en serie_olas, NO promedia	tramite.yaml:133	IDENTICO
tramite.mordida.discrecional	enmienda_encig2025	tramite_normal_encig2025	0.914882	0.914882	ENCIG 2025 (más reciente de 8 olas disponibles; las otras 7 van en serie_olas, NO promedia	ENCIG 2025 (más reciente de 8 olas disponibles; las otras 7 van en serie_olas, NO promedia	tramite.yaml:133	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025	paga_mordida_encig2025_presencial	0.116	0.116	ENCIG 2025 (única ola con esta variable de canal examinada por MAESTRA34-L1; P7_3 EXISTE-S	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:207	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025	tramite_normal_encig2025_presencial	0.884	0.116 (complemento)	ENCIG 2025 (única ola con esta variable de canal examinada por MAESTRA34-L1; P7_3 EXISTE-S	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:207	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025	paga_mordida_encig2025_digital	0.027358	0.027358	ENCIG 2025 (única ola con esta variable de canal examinada por MAESTRA34-L1; P7_3 EXISTE-S	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:207	IDENTICO
tramite.mordida.con_registro	enmienda_encig2025	tramite_normal_encig2025_digital	0.972642	0.972642	ENCIG 2025 (única ola con esta variable de canal examinada por MAESTRA34-L1; P7_3 EXISTE-S	ENCIG 2025 (única ola con esta variable de canal examinada por este acto; no se buscó en 2	tramite.yaml:207	IDENTICO
