celda_d	sub_celda	calc	resultado_puntual	clase_censo	origen_resolvedor_mecanico	cadena_del_punto	control_numerico
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE1	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE2	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE3	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L1xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L1xE4	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE1	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE2	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE3	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
DIN.ahorro_solo_informal.enif2024.localidad_x_edad	L2xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	RESULT-DIN-LXE8-C2-P-L2xE4	HEREDADO-DE-LEGACY	NUEVO	parametros.marginales_sellados_D9 del spec.yaml (E1-E4, L1-L2 de milpa/tramite-ola5-propuesta-v0.yaml:1447-1450,1472-1473; NAC de milpa/tramite.yaml:1312) (lineas citadas por el propio spec.yaml) -> medidor.py:373,391-408; inputs solo manifiesto: el resolvedor no ve parametros	G-CTRL-ARBITRO-VEREDICTO=NO-REPRODUCE (delta max 1.20e-3); max|C2-P - C2-P-REDERIVADO|=1.04e-3
GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xHASTA-PRIMARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-HASTA-PRIMARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
GOB.gobierno_digital.encig2025.edad_x_escolaridad	18-29xSECUNDARIA	CALC-GOB-DIGITAL-EXE-EMISIONES-0002	RESULT-GOB-EXE15-2025-18-29-SECUNDARIA-C2-P	NUEVO	NUEVO	medidor.py:315-404 (CALC-GOB-DIGITAL-EXE-EMISIONES-0002) compone C2 desde marginales de encig25_base_datos_csv (manifiesto) replica por replica; c2_compuesto_resultados solo alimenta -CONTROL-C2COMP-P; fila origen: de mesa en decisiones.tsv	punto re-estimado desde microdato ENCIG 2025
