cell_id_R	calc_R	cell_id_piso	calc_piso	instrumento	edicion_R	edicion_piso	consumer	outcome	axis	category	unit	marcador_celda_id	marcador_estado_en_55c8d57c
RESULT-ARBITRO-ENIF2024-D9-SEXO-1-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-SEXO-1-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	sexo	1	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::sexo::1 Hombre	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-SEXO-2-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-SEXO-2-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	sexo	2	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::sexo::2 Mujer	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-EDAD-18-29-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-EDAD-18-29-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	edad	18-29	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::edad::18-29	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-EDAD-30-44-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-EDAD-30-44-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	edad	30-44	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::edad::30-44	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-EDAD-45-59-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-EDAD-45-59-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	edad	45-59	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::edad::45-59	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-EDAD-60-MAS-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-EDAD-60-MAS-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	edad	60+	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::edad::60+	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-HASTA-PRIMARIA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	escolaridad	hasta_primaria	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::escolaridad::hasta primaria	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-ESCOLARIDAD-SECUNDARIA-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SECUNDARIA-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	escolaridad	secundaria	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::escolaridad::secundaria	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-MEDIA-SUPERIOR-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	escolaridad	media_superior	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::escolaridad::media superior	SOLO-PISO
RESULT-ARBITRO-ENIF2024-D9-ESCOLARIDAD-SUPERIOR-P	CALC-ARBITRO-MARGINALES-ENIF2024-0001	RESULT-PISOS-ENIF2021-V2-D9-ESCOLARIDAD-SUPERIOR-P	CALC-PISOS-ENIF2021-EJES-0003	ENIF	2024	2021	dinero.ahorro.tiene_ahorros.segmentacion_ejes_enif2024	ahorra_solo_informal	escolaridad	superior	PERSONA ELEGIDA 18+	MARG::dinero.ahorro.via_informal_ejes_enif2024::ahorra_solo_informal::escolaridad::superior	SOLO-PISO
