cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	metadata_source	metadata_source_sha256
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-CUENTA-CON-CUENTA-P	K1::cuenta::con cuenta	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	cuenta	con cuenta	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-CUENTA-SIN-CUENTA-P	K1::cuenta::sin cuenta	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	cuenta	sin cuenta	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-EDAD-18-29-P	K1::edad::18-29	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	edad	18-29	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-EDAD-30-44-P	K1::edad::30-44	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	edad	30-44	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-EDAD-45-59-P	K1::edad::45-59	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	edad	45-59	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-EDAD-60-MAS-P	K1::edad::60+	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	edad	60+	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-ESCOLARIDAD-HASTA-PRIMARIA-P	K1::escolaridad::hasta_primaria	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	escolaridad	hasta_primaria	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-ESCOLARIDAD-MEDIA-SUPERIOR-P	K1::escolaridad::media_superior	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	escolaridad	media_superior	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-ESCOLARIDAD-SECUNDARIA-P	K1::escolaridad::secundaria	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	escolaridad	secundaria	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
RESULT-DIN-CREDITO-PISOS-ENIF2018-K1-ESCOLARIDAD-SUPERIOR-P	K1::escolaridad::superior	K1	ENIF	2018	abril 2017 a levantamiento 2018	ENIF	2021	julio 2020 a levantamiento 2021	P · PERSONA ELEGIDA 18-70	escolaridad	superior	CONSTRUIBLE	CAMBIO-MENOR: piso histórico conmensurable con CALC-DIN-CREDITO-PISOS-ENIF2021-0001 (población 18-70; matiz en RESULT -MATIZ)	PENDIENTE:lote-prospectivo-credito-2024 (K1) · historia de la conducta	forense/prereg-caja/DIN-CREDITO-PISOS-HISTORIA-spec-v1_0.md	f38a509ba3d8ae7eac22b9830f8bc48d59384981d12bfefa6ebffaebf5d270ff
