ola	rol	miembro	variables	codigos_1	codigos_0	regla	fuente	nota
2021	llave	conjunto_de_datos_tmodulo_enif_2021.csv				una tabla; sin join	#943 (CALC-DIN-CREDITO-PISOS-ENIF2021-0001 spec.yaml)	fila oro: reproduce #943
2021	ponderador	conjunto_de_datos_tmodulo_enif_2021.csv	FAC_ELE			FAC_ELE > 0	#943	
2021	diseno	conjunto_de_datos_tmodulo_enif_2021.csv	EST_DIS,UPM_DIS			estrato × UPM no vacíos	#943	
2021	sexo	conjunto_de_datos_tmodulo_enif_2021.csv	SEXO	1,2		1 hombre · 2 mujer	#943	
2021	edad	conjunto_de_datos_tmodulo_enif_2021.csv	EDAD			cortes de -0003: 18-29 / 30-44 / 45-59 / 60-96	#943	
2021	escolaridad	conjunto_de_datos_tmodulo_enif_2021.csv	P3_1_1			cortes de -0003: 0-2 / 3 / 4-7 / 8-9; 99 fuera	#943	
2021	localidad	conjunto_de_datos_tmodulo_enif_2021.csv	TLOC			1-2 → 15 000 y mas · 3-4 → menor de 15 000	#943	
2021	cuenta	conjunto_de_datos_tmodulo_enif_2021.csv	P5_4_1,P5_4_2,P5_4_3,P5_4_4,P5_4_5,P5_4_6,P5_4_7,P5_4_8,P5_4_9	1	2	con cuenta si algún = 1; sin cuenta si los nueve = 2	#943	batería universal
2021	formalidad	conjunto_de_datos_tmodulo_enif_2021.csv	P3_10	1,2,3,4,5	6	con seguridad social 1-5 · sin 6 · 9/blanco fuera; universo trabaja = 1..6	#943; PISOS-ENIF2021-formalidad-spec-v1_0.md §1	
2021	credito_filtro	conjunto_de_datos_tmodulo_enif_2021.csv				sin filtro previo: la batería es universal	#943	
2021	credito_bateria	conjunto_de_datos_tmodulo_enif_2021.csv	P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9	1	2	tenedor = algún 1; sin producto = los nueve 2	#943; tabla K1·2021	
2021	k2_departamental	conjunto_de_datos_tmodulo_enif_2021.csv	P6_2_1	1	2		#943; tabla K2·2021	
2021	k2_nomina	conjunto_de_datos_tmodulo_enif_2021.csv	P6_2_3	1	2		#943; tabla K2·2021	
2021	k2_automotriz	conjunto_de_datos_tmodulo_enif_2021.csv	P6_2_5	1	2		#943; tabla K2·2021	
2021	k3_items	conjunto_de_datos_tmodulo_enif_2021.csv	P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5	1	2	K3 = algún 1; 0 si los cinco = 2	#943; tabla K3·2021	
2021	k4_alguna_vez	conjunto_de_datos_tmodulo_enif_2021.csv	P6_14	1	2	base K4 = sin producto ∧ = 2	#943; tabla K4·2021	
2021	k4_motivo	conjunto_de_datos_tmodulo_enif_2021.csv	P6_15	6,7|1,2,3|1|2|3	1,2,3,4,5,6,7,8,9	(a) 6,7 · (b) 1,2,3 · b1 1 · b2 2 · b3 3; catálogo 1..9	#943; tabla K4·2021	
2021	k5	conjunto_de_datos_tmodulo_enif_2021.csv	P6_17	1	2,3	entre solicitantes: 0 sólo si 2	#943; tabla K5·2021	
2021	k6_atraso	conjunto_de_datos_tmodulo_enif_2021.csv	P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9	1	2	posicional k↔k con la batería; 8, 9, blanco indefinido	#943; tabla K6·2021	
2021	k7_canal	conjunto_de_datos_tmodulo_enif_2021.csv	P6_7	1,2,3,4,5,6		SUCURSAL 1 · APP 2 · INTERNET 3 · ESTABLECIMIENTO 4 · PROMOTOR 5 · OTRO 6; 9/blanco indefinido	#943; tabla K7·2021	
2018	llave	conjunto_de_datos/tmodulo.csv				una tabla; sin join; columnas en minúsculas en el archivo (se normalizan a mayúsculas)	diccionario_datos_tmodulo_enif_2018.csv filas 2-5	
2018	ponderador	conjunto_de_datos/tmodulo.csv	FAC_PER			FAC_PER > 0 (factor persona; no existe FAC_ELE en 2018)	diccionario_datos_tmodulo_enif_2018.csv fila 223 «Factor persona»	
2018	diseno	conjunto_de_datos/tmodulo.csv	EST_DIS,UPM_DIS			estrato de diseño (001-012) × UPM de diseño (00001-00826)	diccionario_datos_tmodulo_enif_2018.csv filas 221-222	
2018	sexo	conjunto_de_datos/tmodulo.csv	SEXO	1,2		1 Hombre · 2 mujer	diccionario fila 218; catálogo sexo.csv	
2018	edad	conjunto_de_datos/tmodulo.csv	EDAD			cortes de -0003; rango del archivo 18-70	diccionario fila 217; catálogo edad.csv (18..70)	población 18-70: la celda 60+ es 60-70 y NACIONAL es 18-70
2018	escolaridad	conjunto_de_datos/tmodulo.csv	NIV			cortes de -0003 sobre el mismo catálogo de 11 códigos (0 Ninguno … 9 Maestría o doctorado, 99 NS/NR)	diccionario fila 9; catálogo niv.csv	texto de catálogo idéntico a p3_1_1 de 2021
2018	localidad	conjunto_de_datos/tmodulo.csv	TLOC			1-2 → 15 000 y mas · 3-4 → menor de 15 000	diccionario fila 220; catálogo tloc.csv	mismos cortes que 2021
