instrumento	edicion	archivo_fuente	miembro_catalogo	variable	codigo	texto_catalogo	categoria_piso
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	00	Ninguno	hasta_primaria
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	01	Preescolar	hasta_primaria
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	02	Primaria	hasta_primaria
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	03	Secundaria	secundaria
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	04	Carrera técnica con secundaria terminada	media_superior
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	05	Normal básica (con antecedente en secundaria)	media_superior
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	06	Preparatoria o bachillerato	media_superior
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	07	Carrera técnica con preparatoria terminada	media_superior
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	08	Licenciatura o profesional	superior
ENVIPE	2024	envipe2024_csv.zip	tsdem_envipe2024/catalogos/niv.csv	NIV	09	Maestría o doctorado	superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	00	Ninguno	hasta_primaria
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	01	Preescolar	hasta_primaria
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	02	Primaria	hasta_primaria
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	03	Secundaria	secundaria
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	04	Carrera técnica con secundaria terminada	media_superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	05	Normal básica	media_superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	06	Preparatoria o bachillerato	media_superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	07	Carrera técnica con preparatoria terminada	media_superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	08	Licenciatura o profesional	superior
ENCIG	2023	encig2023_datosabiertos_csv.zip	conjunto_de_datos_encig2023_02_residentes_sec_2/catalogos/niv.csv	NIV	09	Maestría o doctorado	superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	0	Ninguno	hasta_primaria
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	1	Preescolar o kínder	hasta_primaria
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	2	Primaria	hasta_primaria
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	3	Secundaria	secundaria
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	4	Estudios técnicos con secundaria terminada	media_superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	5	Normal básica	media_superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	6	Preparatoria o bachillerato	media_superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	7	Estudios técnicos con preparatoria terminada	media_superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	8	Licenciatura o ingeniería (profesional)	superior
ENIF	2021	enif2021_csv.zip	conjunto_de_datos_tmodulo_enif_2021/catalogos/p3_1_1.csv	P3_1_1	9	Maestría o doctorado	superior
