scope	familia_id	familia	encuesta_fuente	olas_en_manifiesto	unidad	celdas_propuestas	pregunta_transferencia	regla_M_que_emite_a_ciegas	material_existente	material_faltante	exposicion_previa	superficie_y_cita	estado	reserva_como_se_preserva	realista_para_piloto	que_falta_adquirir
RETENIDA-CANDIDATA	R01-CIV-MOCIBA-DENUNCIA	CIV	MOCIBA (Modulo sobre Ciberacoso, INEGI)	2015,2016,2017,2019,2020,2021,2022,2023,2024,2025 (48 entradas de manifiesto, 46 sin uso asignado)	persona 12+ usuaria de internet	MOCIBA 2021 y 2022 -- CORREGIDO en v1_2 respecto de v1_1 (que proponia 2021 y 2023): MOCIBA 2023 y 2024 YA son celdas del marco congelado piloto (TIC-10 = MOCIBA 2023 P4_01; TIC-11 = MOCIBA 2024 P3, con tabulados abiertos por la prueba del bibliotecario FP-93 el 25/ago/2026). 2019/2020/2025 quedan como reserva confirmatoria	Entre victimas de ciberacoso, que proporcion lo puso en conocimiento de una autoridad. Es transferencia de DOMINIO de civico.denuncia (delito -> acoso digital), no de ola	civico.denuncia.miedo_desconfianza (traza-motor.tsv: calibrada en ENVIPE 2025, persona 18+ victima, no-denuncia por miedo/desconfianza). Emite una tasa de denuncia sin conocer el objetivo	BD por ola (csv/dbf/dta/sav/RData) y FD por ola, registrados en data/manifiesto.yaml con sha256; 9625 filas de inventario de reactivos con los ids de variable por ola	RESUELTO EN ESTE ACTO (GEN2-F6-PANEL-CAJA-1, 15/sep/2026): bateria de denuncia leida directamente del FD. Par declarado 2021+2022 -- ambas olas traen P12_5 identica: "12.5 Que acciones tomo o ha tomado como consecuencia de la(s) situacion(es) que vivio(vive)? Denunciar ante el Ministerio Publico o policia", codigos 1=Si/2=No (mociba2021_fd.xlsx hoja TMOCIBA fila 2503; mociba2022_fd.xlsx hoja TMociba fila 2728). 2023 desdobla el reactivo en dos items separados (P12_05 MP/Fiscalia + P12_11 policia, ver R14-nota) -- por eso el par elegido es 2021+2022, wording-consistente, y NO 2021+2023 (evita el problema abierto en NC-0237). Universo (screening): P4_01..P4_13 (victimas que vivieron >=1 situacion en el ultimo ano; P4_01 fila 38 en ambas olas). Ponderador: FACTOR (fila 2531 en 2021, fila 2765 en 2022). Dominios: SEXO (fila 2576/2810), EDAD (fila 2578/2812). sha256 de 2022 verificado contra manifiesto: 923fa85a... (136935 B) COINCIDE -- ya no esta POR VERIFICAR. Escrito en data/reactivos-contexto-verificados-v1_0.tsv (filas mociba2021/mociba2022, P12_5/P4_01/FACTOR/SEXO).	NINGUNA en las tres superficies de DESARROLLO (milpa 0 · corpus de L 0 · traza-motor 0). NO es ninguna en la cuarta: v1_1 declaro 'CALC/marco/corridas-R/prereg-caja 0' y esa linea es INCORRECTA -- el marco congelado piloto trae dos celdas MOCIBA (TIC-10/TIC-11) y el crosswalk pregunta-regla v1_1 las cita con veredicto NO-EMITE. Ademas hay contaminacion ADR-46 de estructura declarada el 4/ago/2026 sobre el FD 2024 (forense/hallazgos.md:120)	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 (grep -ril -F mociba, 4 superficies, 15/sep/2026) · MARCO: forense/prereg-duelo-v2/marco-congelado-piloto-v1_0.tsv lineas TIC-10 (2023) y TIC-11 (2024) · CROSSWALK: forense/crosswalk-pregunta-regla-v1_1.tsv TIC-10/TIC-11 NO-EMITE · forense/prereg-duelo-v2/enlace-M-v1_0.md idem	RETENIDA	Se lee SOLO el FD (estructura: nombre de variable, codigos, universo, ponderador), nunca la BD, hasta que la spec este congelada -- el mismo movimiento de prereg-caja-B-MARCO §0.3. 2024/2025 no se abren ni en FD hasta la fase confirmatoria	SI -- CONGELABLE. Ya no bloqueada en nube: reactivo, universo, ponderador y dominios fijados en CAJA (este acto, con raiz montada). Falta unicamente redactar la spec formal (prereg-caja) y correr -- cero mediciones en este acto (perimetro).	Nada material ni documental. Sucesor de medicion redacta prereg-caja y congela COMMIT-1.
RETENIDA-CANDIDATA	R02-TRA-WBES-SOBORNO	TRA	World Bank Enterprise Survey Mexico	2006,2010,2023,2026 (13 entradas; DDI 2.5 con 357 variables y caseQnty=1322 para 2023)	establecimiento (NO persona)	WBES Mexico 2010 y WBES Mexico 2023	Incidencia de pago informal/soborno para obtener un tramite o servicio, a nivel establecimiento. Transferencia de POBLACION Y UNIDAD (persona 18+ -> empresa)	tramite.mordida.discrecional (traza-motor.tsv: calibrada en ENCIG 2025, personas 18+ con P8_3_1 valido, FAC_P18)	Microdato .dta 2023 (1322x357), DDI 2.5 XML completo y DDI PDF de 218 paginas, todos con sha256 en manifiesto y con uso declarado	Nada de acceso. Lo que falta es una DECISION: el cambio de unidad	NINGUNA en las cuatro superficies	milpa/ 0 (ni 'WBES' ni 'Enterprise Survey') · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	UNIDAD-DISTINTA-NO-TRANSFERENCIA	El microdato 2023 ya esta en el arbol y NO se abre: se congela primero la spec leyendo solo el DDI (estructura). 2026 queda fuera de alcance	NO -- resuelto por FIRMA F-19 (mesa, 15/sep/2026): el crosswalk persona->establecimiento NO es admisible para F6. Las reglas de M estan calibradas sobre persona y una familia de establecimiento mide otro estimando en otro universo (A-bis 4). Deja de perseguirse como celda de transferencia. Entra como familia DESCRIPTIVA del dominio TRA para el informe (junto con R08), rotulada UNIDAD-DISTINTA-NO-TRANSFERENCIA. F6 no se abre por esto.	N/A -- no se persigue como celda. Ver realista_para_piloto para su rol descriptivo.
RETENIDA-NO-EJECUTABLE	R03-TRA-ENAPROCE-TRAMITES	TRA	ENAPROCE (Productividad y Competitividad de las MIPYME, INEGI)	2015,2018 (10 entradas, las 10 sin uso asignado)	empresa micro/pequena/mediana	ENAPROCE 2015 y 2018 -- NO CONSTRUIBLES hoy	Carga regulatoria y pago informal en tramites de la MIPYME	tramite.mordida.discrecional -- con el mismo cambio de unidad que R02	1319 variables inventariadas (modulos M10..M16); 2579 filas de inventario	Las entradas registradas son 'ejem_base_micro_ciega' y 'ejem_base_pyme_ciega': bases de EJEMPLO CEGADAS, no el microdato real. CERO descriptores de archivo (0 FD). CERO textos de reactivo	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No se abre nada; la familia queda en reserva mientras se gestiona el microdato real	NO	Microdato real (no la base cegada de ejemplo) y el FD de 2015 y 2018. Mas la misma firma de unidad de R02
RETENIDA-NO-EJECUTABLE	R04-DIN-ENAFIN-FINANCIAMIENTO	DIN	ENAFIN (Financiamiento de las Empresas, INEGI)	2015,2019-2021,2024	empresa	ninguna construible	Uso de financiamiento formal frente a informal en la empresa	dinero.ahorro.tiene_ahorros seria la unica cercana, y NO aplica: mide tenencia de ahorro de PERSONAS, no financiamiento de empresas	5494 filas de inventario bajo ADQ15_ENAFIN_2024_RNM_INEGI; conjunto_de_datos/tr_enafin_*_2024.csv y su diccionario	Los archivos 'tr_' y las hojas Catalogo/INDICADORES son TABULADOS de resultados, no microdato de respondente; 0 textos de reactivo	NINGUNA -- la unica coincidencia es un ejemplo en un docstring	Unico hit: milpa/src/emisor.py:1299, docstring de una funcion que normaliza nombres ('ENAFIN (Encuesta ...)' -> 'ENAFIN'). NO es calibracion, ni eleccion de regla, ni contexto de L. Adjudicado: NO es exposicion	RETENIDA	No aplica todavia: sin estimando ni consumidor no hay reserva que proteger	NO	Microdato de respondente y un estimando que alguna regla de M pueda emitir. Hoy no existe ninguno de los dos: descartarla es mas barato que adquirirla
RETENIDA-FUERA-DE-DOMINIO	R05-ENESTYC	(ninguno)	ENESTYC (Empleo, Salarios, Tecnologia y Capacitacion)	1992,1995,1999,2001,2005 (15 entradas, 15 sin uso asignado)	establecimiento manufacturero	ninguna	ninguna formulable: el instrumento no mide ninguna conducta del motor	NINGUNA de las cinco reglas de traza-motor.tsv	7894 filas de inventario, 7224 variables	0 FD, 0 textos de reactivo; ola mas reciente 2005	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No aplica: sin regla que emita no hay evaluacion posible	NO	Nada. Se declara y se descarta: retenida no es lo mismo que util
RETENIDA-SIN-MATERIAL	R06-ENJUVE	CIV/FAM	ENJUVE (Encuesta Nacional de la Juventud)	2005,2010 (5 entradas)	persona joven	ninguna construible	(quedo INDETERMINADA en FP-374; sigue indeterminada, y ahora con causa)	no evaluable sin microdato	Solo 'enjuve2010_resultados_generales_presentacion' -- agregado, NO microdato, segun su propio campo usado_para	Microdato y FD de cualquier ola; 0 filas en los tres inventarios de reactivos	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	Trivialmente: no hay nada que abrir	NO	Microdato + FD. FP-374 la dejo INDETERMINADA; este acto la resuelve: retenida pero SIN MATERIAL
RETENIDA-PARCIAL	R07-TRA-ENEAC-AGS	TRA	ENEAC 2021 (tramites, Aguascalientes)	2021 (6 entradas)	microempresa, subnacional	una sola -- no hay segunda celda	Canal y evento de tramite en microempresas de Aguascalientes	tramite.mordida.con_registro, parcialmente	Codigos y etiquetas .xlsx y base .sav; ya citada en NC-0153 como candidato parcial	Una segunda ola y cobertura nacional	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No se abre; queda en reserva	NO -- una ola subnacional no da dos celdas	Una segunda ola. No existe: ENEAC 2021 es unica
EXPUESTA	E01-FAM-ENGASTO	FAM	ENGASTO (Encuesta Nacional de Gastos de los Hogares)	2012,2013	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/procedencia.yaml:1434 -- 'eder2017/engasto2012:edo_conyug (parcial, misma frase plegada)' listada como fuente ALTERNA al elegir la procedencia de un campo. Fue mirada al elegir una regla	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada: aunque se adquiriera mas, la exposicion ya ocurrio y no se deshace
EXPUESTA	E02-DIN-ENASEM	DIN	ENASEM (Salud y Envejecimiento en Mexico)	2018,2021,2024	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/tramite-ola5-propuesta-v0.yaml:2465 -- 'descarto ENASEM por medir afiliacion y no percepcion': se evaluo y se descarto al elegir fuente. Ademas 1 report del corpus de L la cita	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada: descartar una fuente al elegir una regla es usarla
EXPUESTA	E03-CIV-ICPSR-MEXPANEL	CIV	ICPSR 35024 Mexico Panel Study 2012	2012	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/tramite-ola5-propuesta-v0.yaml:2842-2866 -- fuente de calibracion declarada de clientelismo, con DOI, payload_manifiesto_id y codebook; data/l12-mps2012-v1_0.json. Tambien en 1 forense del corpus de L. Coincide con FP-374: 'Mexico Panel 2012 conocido durante desarrollo'	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada. A02 de FP-374 queda cerrada por exposicion, no por falta de acceso
