id	encuesta	ola	unidad_observacion	universo_L	evento_L	escala	fuente_definicion	cambio_vs_v1_3	requiere_recaptura
CIV-M-01	ENVIPE	2012	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-01/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
CIV-M-02	ENVIPE	2013	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-02/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
CIV-M-04	ENVIPE	2015	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-04/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
CIV-M-10	ENVIPE	2021	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-10/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
CIV-M-12	ENVIPE	2023	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-12/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
CIV-M-13	ENVIPE	2024	delito	Delitos captados en TMod_Vic, sección I (todos los tipos de delito), que no fueron denunciados y tienen una respuesta válida en BP1_23 sobre la razón principal de no denuncia.	La razón principal de no denuncia fue miedo al agresor, miedo a que lo extorsionaran o desconfianza en la autoridad; el evento es 0 para las demás razones válidas: delito de poca importancia, pérdida de tiempo, trámites largos y difíciles, falta de pruebas, actitud hostil de la autoridad u otra razón.	binaria	data/corrida0/CALC-R-CIV-M-13/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	persona entrevistada	Personas entrevistadas en el libro 3B, sección CR, de ENNViH-1 2002, con respuesta válida Sí o No al reactivo cr27; no sabe, no responde y faltantes quedan fuera.	La persona declara que tiene ahorros (reactivo cr27, “TIENE AHORROS”).	binaria	data/corrida0/CALC-R-DIN-M-01-v4/spec.yaml + forense/prereg-duelo-v2/codificacion-R-v1_2.tsv	UNIVERSO-Y-EVENTO-MATERIAL	SI
FAM-M-01	ENIF	2018	persona seleccionada	Personas seleccionadas de tmodulo2, sección 9.9 de ENIF 2018, con respuesta válida Sí o No al inciso p9_9_4; no sabe/no responde queda fuera.	La persona piensa cubrir sus gastos en la vejez con dinero que le den su pareja o esposo(a), sus hijos u otros familiares (inciso p9_9_4).	binaria	data/corrida0/CALC-R-FAM-M-01-v3/spec.yaml + data/inventario-fd-v1_1.tsv:12047	UNIVERSO-Y-EVENTO-MATERIAL	SI
FAM-M-05	ENIGH	2016	hogar	Hogares — universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2016 Nueva Serie, sin filtro adicional. Desenlace recibe_remesas = 1 si concentradohogar.remesas > 0, 0 si = 0; la rama NA de la dicotomización no existe (`remesas` trae cero nulos en las 6 olas, verificado, no supuesto).	El hogar recibe remesas: concentradohogar.remesas es mayor que cero.	binaria	data/corrida0/CALC-R-FAM-M-05-v3/spec.yaml	SIN-CAMBIO-MATERIAL	NO
FAM-M-06	ENIGH	2018	hogar	Hogares — universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2018 Nueva Serie, sin filtro adicional. Desenlace recibe_remesas = 1 si concentradohogar.remesas > 0, 0 si = 0; la rama NA de la dicotomización no existe (`remesas` trae cero nulos en las 6 olas, verificado, no supuesto).	El hogar recibe remesas: concentradohogar.remesas es mayor que cero.	binaria	data/corrida0/CALC-R-FAM-M-06-v3/spec.yaml	SIN-CAMBIO-MATERIAL	NO
