id_celda	variante	indice	valor	estado	fragmento_citado
CIV-M-01	L+corpus	1	0.3200	EXTRAIBLE	0.32
CIV-M-01	L+corpus	2	0.0700	EXTRAIBLE	6–8 %
CIV-M-01	L+corpus	3	0.2000	EXTRAIBLE	~20%
CIV-M-01	L+corpus	4	0.1650	EXTRAIBLE	15–18 %
CIV-M-01	L+corpus	5	0.3000	EXTRAIBLE	0.30
CIV-M-01	L+corpus	6	0.2100	EXTRAIBLE	≈ 21 %
CIV-M-01	L+corpus	7	0.2200	EXTRAIBLE	≈ 22 %
CIV-M-01	L+corpus	8	0.9150	EXTRAIBLE	91–92%
CIV-M-01	L-solo	1	0.2000	EXTRAIBLE	0.20
CIV-M-01	L-solo	2	0.2200	EXTRAIBLE	0.22
CIV-M-01	L-solo	3	0.2200	EXTRAIBLE	~22 %
CIV-M-01	L-solo	4	0.3000	EXTRAIBLE	0.30
CIV-M-01	L-solo	5	0.2000	EXTRAIBLE	0.20
CIV-M-01	L-solo	6	0.2800	EXTRAIBLE	0.28
CIV-M-01	L-solo	7	0.2500	EXTRAIBLE	≈ 25%
CIV-M-01	L-solo	8	0.3000	EXTRAIBLE	0.30
CIV-M-06	L+corpus	1	0.2350	EXTRAIBLE	20 %–27 %
CIV-M-06	L+corpus	2	0.9350	EXTRAIBLE	93–94 %
CIV-M-06	L+corpus	3	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-06	L+corpus	4	0.6000	EXTRAIBLE	0.6
CIV-M-06	L+corpus	5		NO-EXTRAIBLE	
CIV-M-06	L+corpus	6	0.3000	EXTRAIBLE	25–35%
CIV-M-06	L+corpus	7	0.2500	EXTRAIBLE	≈ 25%
CIV-M-06	L+corpus	8	0.2500	EXTRAIBLE	0.25
CIV-M-06	L-solo	1	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-06	L-solo	2	0.2600	EXTRAIBLE	≈ 26%
CIV-M-06	L-solo	3	0.2800	EXTRAIBLE	≈ 28 %
CIV-M-06	L-solo	4	0.9360	EXTRAIBLE	~93.6%
CIV-M-06	L-solo	5	0.9350	EXTRAIBLE	93–94%
CIV-M-06	L-solo	6	0.9350	EXTRAIBLE	93–94%
CIV-M-06	L-solo	7	0.2500	EXTRAIBLE	~25%
CIV-M-06	L-solo	8	0.2200	EXTRAIBLE	0.22
CIV-M-08	L+corpus	1	0.1650	EXTRAIBLE	16–17 %
CIV-M-08	L+corpus	2	0.2700	EXTRAIBLE	≈ 27%
CIV-M-08	L+corpus	3	0.2200	EXTRAIBLE	≈ 22%
CIV-M-08	L+corpus	4	0.9300	EXTRAIBLE	~93%
CIV-M-08	L+corpus	5	0.2200	EXTRAIBLE	≈ 22%
CIV-M-08	L+corpus	6	0.9300	EXTRAIBLE	~93 %
CIV-M-08	L+corpus	7	0.2200	EXTRAIBLE	≈ 22 %
CIV-M-08	L+corpus	8	0.9300	EXTRAIBLE	93%
CIV-M-08	L-solo	1	0.1700	EXTRAIBLE	≈ 17 %
CIV-M-08	L-solo	2	0.2200	EXTRAIBLE	0.22
CIV-M-08	L-solo	3	0.2000	EXTRAIBLE	20 %
CIV-M-08	L-solo	4		NO-EXTRAIBLE	
CIV-M-08	L-solo	5	0.1600	EXTRAIBLE	15-17%
CIV-M-08	L-solo	6		NO-EXTRAIBLE	
CIV-M-08	L-solo	7	0.2500	EXTRAIBLE	0.25
CIV-M-08	L-solo	8	0.9300	EXTRAIBLE	~93%
CIV-M-09	L+corpus	1	0.2200	EXTRAIBLE	~22%
CIV-M-09	L+corpus	2	0.2750	EXTRAIBLE	25–30 %
CIV-M-09	L+corpus	3	0.2500	EXTRAIBLE	20–30%
CIV-M-09	L+corpus	4	0.1900	EXTRAIBLE	0.19
CIV-M-09	L+corpus	5	0.1900	EXTRAIBLE	≈19%
CIV-M-09	L+corpus	6	0.6300	EXTRAIBLE	62–64%
CIV-M-09	L+corpus	7	0.3000	EXTRAIBLE	~30 %
CIV-M-09	L+corpus	8	0.2200	EXTRAIBLE	0.22
CIV-M-09	L-solo	1	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-09	L-solo	2	0.3300	EXTRAIBLE	~33%
CIV-M-09	L-solo	3	0.1900	EXTRAIBLE	≈ 19%
CIV-M-09	L-solo	4	0.2200	EXTRAIBLE	~22%
CIV-M-09	L-solo	5	0.0950	EXTRAIBLE	9–10 %
CIV-M-09	L-solo	6	0.2000	EXTRAIBLE	~20 %
CIV-M-09	L-solo	7	0.2200	EXTRAIBLE	~22 %
CIV-M-09	L-solo	8	0.2500	EXTRAIBLE	0.25
CIV-M-11	L+corpus	1	0.6000	EXTRAIBLE	~60 %
CIV-M-11	L+corpus	2	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-11	L+corpus	3	0.2300	EXTRAIBLE	≈ 23 %
CIV-M-11	L+corpus	4	0.9300	EXTRAIBLE	93 %
CIV-M-11	L+corpus	5		NO-EXTRAIBLE	
CIV-M-11	L+corpus	6	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-11	L+corpus	7	0.9350	EXTRAIBLE	93–94%
CIV-M-11	L+corpus	8	0.9300	EXTRAIBLE	~93%
CIV-M-11	L-solo	1	0.1400	EXTRAIBLE	13–15%
CIV-M-11	L-solo	2	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-11	L-solo	3	0.9300	EXTRAIBLE	≈93%
CIV-M-11	L-solo	4	0.2400	EXTRAIBLE	0.24
CIV-M-11	L-solo	5	0.2500	EXTRAIBLE	0.25
CIV-M-11	L-solo	6	0.9350	EXTRAIBLE	93–94%
CIV-M-11	L-solo	7	0.9300	EXTRAIBLE	~93%
CIV-M-11	L-solo	8	0.9350	EXTRAIBLE	93–94%
CIV-M-12	L+corpus	1	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-12	L+corpus	2	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-12	L+corpus	3	0.2000	EXTRAIBLE	20 %
CIV-M-12	L+corpus	4	0.3350	EXTRAIBLE	33–34 %
CIV-M-12	L+corpus	5	0.9250	EXTRAIBLE	92–93%
CIV-M-12	L+corpus	6	0.6250	EXTRAIBLE	60-65%
CIV-M-12	L+corpus	7	0.9300	EXTRAIBLE	92–94 %
CIV-M-12	L+corpus	8	0.2500	EXTRAIBLE	~25 %
CIV-M-12	L-solo	1	0.2000	EXTRAIBLE	≈ 20%
CIV-M-12	L-solo	2	0.2200	EXTRAIBLE	~22 %
CIV-M-12	L-solo	3	0.2500	EXTRAIBLE	20–30%
CIV-M-12	L-solo	4	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-12	L-solo	5	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-12	L-solo	6	0.1900	EXTRAIBLE	≈ 19 %
CIV-M-12	L-solo	7	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-12	L-solo	8	0.2000	EXTRAIBLE	~20 %
CIV-M-13	L+corpus	1	0.2000	EXTRAIBLE	~20 %
CIV-M-13	L+corpus	2	0.6250	EXTRAIBLE	60-65%
CIV-M-13	L+corpus	3	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-13	L+corpus	4	0.1200	EXTRAIBLE	≈ 12 %
CIV-M-13	L+corpus	5	0.1500	EXTRAIBLE	~15%
CIV-M-13	L+corpus	6	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-13	L+corpus	7	0.6250	EXTRAIBLE	60-65%
