id	encuesta	ola	universo	variable	estimador	ponderador	escala	grado_dependencia	publicada	cv_arbitro	n_no_ponderado	frase_discriminacion	post_corte_u_ola_retenida	dominio	dificultad	estrato	regla	conducta	clase_procedencia	base_medida	en_corpus	en_marco_60	elegible	ola_calibracion	grado_sellado	grado_transferencia	transferencia	razon	grado_DD	razon_DD	elegible_v1_1
TRA-M-01	ENCIG	2023	población de 18 años y más, ENCIG 2023, join encig2023_01_sec_11 (P11_1_23) x encig2023_01_sec1_A_3_4_5_8_9_10 (P8_3_1/2/3), ID_PER, 38966 filas, cero pérdida	P8_3_1	proporción ponderada	FAC_P18	binaria	P1		P8_3_1/P8_3_2/P8_3_3		tramite.mordida.discrecional -> paga_mordida (desenlace medido G1.confianza_institucional; NOTA: por la regla real de grado_dependencia -- P0=ruta de parametrizacion de M, forense/notas/2026-08-20-act-pil-2-marco.md -- esta fila seria P0, no P1; desviacion declarada, ver spec (b))	NO	tramite	MEDIA	tramite|P1|MEDIA	tramite.mordida.discrecional	paga_mordida	MEDIDO·β̂(diferencia de proporciones), un ítem, marginal, TRUNCADO	SI	SI	CIV-01	SI	ENCIG 2023	P0	P0	NO	Es la propia ola de calibracion del p ASIGNADO de tramite.mordida.discrecional (milpa/tramite.yaml:45,50, fuente=[ENCIG2023,...], confirmado por procedencia.yaml:782-786) -- ola=instrumento de la fila coincide con ola_calibracion, sin transferencia. grado_sellado=P0 por match literal en forense/notas/2026-08-20-act-pil-2-marco.md:125 (ENCIG 2023 nombrado en la lista P0).	P0 VERIFICACION-NO-PUNTUA	(encuesta,ola)=(ENCIG,2023) COINCIDE con ola_calibracion=ENCIG 2023 de su regla -> calibration target bajo F-DD (ADR-237). Control de plomeria: se conserva, no puntua.	NO
TRA-M-02	ENCUCI	2020	universo con contacto AP5_16_1..10, ENCUCI 2020 SEC_4_5, 21519 filas, n útil 13375/13393/13365 de 13435 con contacto	AP5_17|AP5_18	proporción ponderada	FAC_SEL	binaria	P1		AP5_1_1/AP5_1_2/AP5_1_3		tramite.mordida.discrecional -> paga_mordida (desenlace medido G1.radio_confianza, batería AP5_1_1/2/3 x AP5_17 o AP5_18='1'; NOTA: misma tensión P0/P1, ver spec (b))	NO	tramite	MEDIA	tramite|P1|MEDIA	tramite.mordida.discrecional	paga_mordida	MEDIDO·β̂(diferencia de proporciones), por ítem, marginal (sin condicionar sobre atributos)	SI	SI		SI	ENCIG 2023	P0	P1	SI	C1: variable corregida de AP5_1_1 (item de theta de G1.radio_confianza, NO el desenlace) a AP5_17|AP5_18 (desenlace compuesto sellado, procedencia.yaml:888 + forense/notas/2026-08-04-w-coeficientes-generador-paso1.md lineas 114-121,151: 'compuesto: 1 si AP5_17=1 o AP5_18=1'). C2: ponderador corregido de NO_ENCONTRADO_1944_LINEAS_REVISADAS a FAC_SEL (forense/notas/2026-08-30-compuesta-spec.md:52, verbatim: 'Ponderador: FAC_SEL. Estrato: EST_DIS. UPM: UPM_DIS.'; ese diseno de estrato/UPM no tiene columna propia en este esquema, queda citado aqui, no en columna nueva). grado_transferencia=P1: instrumento ENCUCI != ola_calibracion ENCIG 2023 de la regla -- transferencia DE INSTRUMENTO (criterio (c) del spec, ejemplo literal mordida ENCIG<->ENCUCI). grado_sellado=P0 por match literal de ENCUCI 2020 en la lista P0 (act-pil-2-marco.md:125) -- P0 por parametrizar G1.radio_confianza, NO porque AP5_17/18 sea el par medido de esa lista (salvedad de (d) del spec: P0 es propiedad del PAR encuesta-ola, no de la variable). Inconsistencia observada, NO corregida (fuera de las dos correcciones C1/C2 autorizadas por el encargo): cv_arbitro sigue AP5_1_1/AP5_1_2/AP5_1_3 (bateria de theta), ahora desalineada de variable corregida -- ver nota de cierre.	P1 PUNTUA	(encuesta,ola)=(ENCUCI,2020) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0. AVISO F-DD abierto por FP-200=b: la enmienda ENCUCI que P0 carga en esta misma regla trae ola_calibracion=ENCUCI 2020 para las conductas paga_mordida_encuci2020/tramite_normal_encuci2020, que SI coinciden con esta celda. Esta fila se evalua por la conducta que el marco declara (paga_mordida, p=0.62 ASIGNADO, ancla ENCIG 2023), no por la enmienda; re-apuntar el marco a la conducta enmendada la volveria P0 VERIFICACION y es decision de mesa, no de este acto.	SI
TRA-M-03	ENCIG	2013	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2013, 1 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2013 (1 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2013) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-04	ENCIG	2015	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2015, 3 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2015 (3 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2015) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-05	ENCIG	2017	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2017, 3 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2017 (3 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2017) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-06	ENCIG	2019	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2019, 3 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2019 (3 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2019) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-07	ENCIG	2021	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2021, 7 fila(s) de inventario en ext-v1_0,v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P0	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2021 (7 fila(s), inventario(s) ext-v1_0,v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P0 (P0 por parametrizar condicionales_confianza_institucional.salud via P11_1_3, procedencia.yaml:183-193 -- salvedad de spec (d): P0 es del PAR encuesta-ola, no de P8_3_1). Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2021) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-08	ENCIG	2025	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2025, 5 fila(s) de inventario en ext-v1_0,v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2025 (5 fila(s), inventario(s) ext-v1_0,v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2025) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
CIV-M-01	ENVIPE	2012	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2012, 1 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2012) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-02	ENVIPE	2013	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2013, 1 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2013) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
