id	encuesta	ola	universo	variable	estimador	ponderador	escala	grado_dependencia	publicada	cv_arbitro	n_no_ponderado	frase_discriminacion	post_corte_u_ola_retenida	dominio	dificultad	estrato	regla	conducta	clase_procedencia	base_medida	en_corpus	en_marco_60	elegible	ola_calibracion	grado_sellado	grado_transferencia	transferencia	razon	grado_DD	razon_DD	elegible_v1_1
CIV-M-01	ENVIPE	2012	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2012, 1 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2012) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-06	ENVIPE	2017	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2017, 1 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2017) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-08	ENVIPE	2019	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2019, 3 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2019) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-09	ENVIPE	2020	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2020, 3 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2020) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-11	ENVIPE	2022	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2022, 7 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2022) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-12	ENVIPE	2023	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2023, 6 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2023) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
CIV-M-13	ENVIPE	2024	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		BP1_23		civico.denuncia.miedo_desconfianza -> denuncia_con_miedo_o_desconfianza (transferencia de ola: variable_id BP1_23 hallado en ENVIPE 2024, 7 fila(s) de inventario; NO estimado en este acto)		civico	PENDIENTE	PENDIENTE	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENVIPE 2025 (unica ola disponible para este universo)	P1	P1	SI	Estadistica BP1_23, desenlace de la regla civico.denuncia.miedo_desconfianza que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:211 (fuente -> coeficientes_generador_medidos.G4_exposicion_violencia) x milpa/procedencia.yaml:998 ('x desenlace BP1_23'). Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENVIPE,2024) != ola_calibracion=ENVIPE 2025 (unica ola disponible para este universo) -> validacion externa bajo F-DD (ADR-237). Regla civico.denuncia.miedo_desconfianza presente en cargar_reglas() post-P0 (FP-200=b).	SI
FAM-M-01	ENIF	2018	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	P9_9_4	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P9_9_4		familia.apoyo.recibe_dinero_familiares -> recibe_dinero_familiares_para_vejez (transferencia de ola: variable_id P9_9_4 hallado en ENIF 2018, 3 fila(s) de inventario; NO estimado en este acto)		familia	PENDIENTE	PENDIENTE	familia.apoyo.recibe_dinero_familiares	recibe_dinero_familiares_para_vejez	NO ESTIMADO (censo de existencia)	NO	SI	NO	SI	ENIF 2024 (unica ola)	P1	P1	SI	Estadistica P9_9_4, desenlace de la regla familia.apoyo.recibe_dinero_familiares que ACTO MAESTRA32-E20 · P0 cargo al motor por FP-200=b. Enlace estadistica->regla: milpa/tramite.yaml:260 (P9_9_4 literal) + :253 fuente -> condicionales_escalares.familismo_apoyo x milpa/procedencia.yaml:303. Fila derivada del censo de existencia sobre la union de los 4 inventarios (269320 filas examinadas); familia por prefijo de `instrumento`. La columna `ola` del inventario es NO_DETERMINADO en el 100% de estas filas: la ola se deriva del campo `instrumento` (p.ej. envipe2012 -> 2012), limite declarado.	P1 PUNTUA	(encuesta,ola)=(ENIF,2018) != ola_calibracion=ENIF 2024 (unica ola) -> validacion externa bajo F-DD (ADR-237). Regla familia.apoyo.recibe_dinero_familiares presente en cargar_reglas() post-P0 (FP-200=b).	SI
TRA-M-03	ENCIG	2013	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2013, 1 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2013 (1 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2013) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
TRA-M-05	ENCIG	2017	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	PENDIENTE-D-D		P8_3_1		tramite.mordida.discrecional -> paga_mordida (transferencia de ola: variable_id P8_3_1 hallado en ENCIG 2017, 3 fila(s) de inventario en v1_2; NO estimado en este acto)		tramite	PENDIENTE	PENDIENTE	tramite.mordida.discrecional	paga_mordida	NO ESTIMADO (censo de existencia)	NO	SI		SI	ENCIG 2023	P1	P1	SI	Mismo variable_id P8_3_1 que el desenlace sellado de coeficientes_generador_medidos.G1_confianza_institucional (procedencia.yaml:937, regla tramite.mordida.discrecional), hallado en ENCIG 2017 (3 fila(s), inventario(s) v1_2), ola distinta de ola_calibracion=ENCIG 2023 -> transferencia de ola. grado_sellado=P1. Fila de censo de existencia (Categoria A, spec (e)): universo/estimador/ponderador NO re-derivados contra microdato en este acto.	P1 PUNTUA	(encuesta,ola)=(ENCIG,2017) != ola_calibracion=ENCIG 2023 de la conducta 'paga_mordida' de tramite.mordida.discrecional -> validacion externa bajo F-DD (ADR-237). Regla cargada verificada por cargar_reglas() post-P0.	SI
