id_celda	encuesta	ola	en_U0	en_UR	fuente_R	cadena_M_vs_R	L_punto_valido	M_punto_valido	en_U3	nota
CIV-M-01	ENVIPE	2012	SI	SI	data/corrida0/CALC-R-CIV-M-01/	NO-CONTAMINADA — M calibra de envipe2025_csv (milpa/tramite.yaml:493), R lee Tmod_Vic.DBF ENVIPE 2012; objetos distintos, no-comparabilidad declarada en milpa/tramite.yaml:488	PENDIENTE (NC-0142: extractor tools/extrae_l_v1_1.py NO-VALIDADO-PARA-FORMATO-REAL-DE-CORPUS, 0/96 capturas reales)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
CIV-M-02	ENVIPE	2013	SI	SI	data/corrida0/CALC-R-CIV-M-02/	NO-CONTAMINADA — mismo censo que CIV-M-01, R lee Tmod_Vic.DBF ENVIPE 2013	PENDIENTE (NC-0142)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
CIV-M-04	ENVIPE	2015	SI	SI	data/corrida0/CALC-R-CIV-M-04/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2015	PENDIENTE (NC-0142)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
CIV-M-10	ENVIPE	2021	SI	SI	data/corrida0/CALC-R-CIV-M-10/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2021	PENDIENTE (NC-0142)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
CIV-M-12	ENVIPE	2023	SI	SI	data/corrida0/CALC-R-CIV-M-12/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2023	PENDIENTE (NC-0142)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
CIV-M-13	ENVIPE	2024	SI	SI	data/corrida0/CALC-R-CIV-M-13/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2024	PENDIENTE (NC-0142)	PENDIENTE (snapshot ENCARGO 4/5 no existe aun)	PENDIENTE	techo: en_U3 <= en_UR; membresia final diferida a ENCARGO 5/5
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	SI	NO	NO-EXISTE (sin CALC-R-DIN-M-01 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R
FAM-M-01	ENIF	2018	SI	NO	NO-EXISTE (sin CALC-R-FAM-M-01 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R
FAM-M-05	ENIGH	2016	SI	NO	NO-EXISTE (sin CALC-R-FAM-M-05 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M calibra de ENIGH 2022 (posterior) -- M-NO-COMPARABLE-EN-TRANSFERENCIA si entrara a la secundaria
FAM-M-06	ENIGH	2018	SI	NO	NO-EXISTE (sin CALC-R-FAM-M-06 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M calibra de ENIGH 2022 (posterior) -- M-NO-COMPARABLE-EN-TRANSFERENCIA si entrara a la secundaria
FAM-M-07	ENIGH	2020	SI	NO	NO-EXISTE (sin CALC-R-FAM-M-07 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M calibra de ENIGH 2022 (posterior) -- M-NO-COMPARABLE-EN-TRANSFERENCIA si entrara a la secundaria
TRA-M-02	ENCUCI	2020	SI	NO	NO-EXISTE (sin CALC-R-TRA-M-02 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M usa paga_mordida_encig2025 (milpa/tramite.yaml:60), decidido antes de abrir R por ACTO MAESTRA38-M13
TRA-M-03	ENCIG	2013	SI	NO	NO-EXISTE (sin CALC-R-TRA-M-03 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M calibra de ENCIG 2025 (posterior) -- M-NO-COMPARABLE-EN-TRANSFERENCIA si entrara a la secundaria
TRA-M-07	ENCIG	2021	SI	NO	NO-EXISTE (sin CALC-R-TRA-M-07 en el arbol)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO-APLICA (fuera de UR)	NO	fuera de U3 por construccion: sin arbitro R; M calibra de ENCIG 2025 (posterior) -- M-NO-COMPARABLE-EN-TRANSFERENCIA si entrara a la secundaria
