# DERIVADO POR LECTURA; NO ES REGISTRO CANÓNICO; NO ADOPTA.
# criterio: veredicto=CANDIDATO-GEN2; HEAD=9dffd6455c67e2ca99740e79f90be59a13f250e1
resultado_id	consumidor	tipo_uso	reglas_impacto	corrida_natural	generacion_hoy	veredicto	calc_candidato	corrida_oferta	estado_calc	sello_calc	result_gen2_candidato	valor_gen2	valor_legacy	canal	canales_observados	control_c0	veredicto_sellado	veredicto_sellado_ref	otras_candidaturas	razon
RES-0025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	conducta_p_medido	tramite.evasion_norma	CORR-0007	LEGACY-GEN1	CANDIDATO-GEN2	CALC-EVASION-NORMA-0001-v1_1	CALC-EVASION-NORMA-0001-v1_1--67cedcba44a5	SELLADA	COINCIDE	RESULT-EVASIONNORMA-A-P-EVADE	0.5627744787844097	0.562774	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-EVASION-NORMA-0001/RESULT-EVASIONNORMA-A-P-EVADE/SELLO-NO-COINCIDE:AUSENTE	CALC-EVASION-NORMA-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0026	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	conducta_p_medido	tramite.evasion_norma	CORR-0007	LEGACY-GEN1	CANDIDATO-GEN2	CALC-EVASION-NORMA-0001-v1_1	CALC-EVASION-NORMA-0001-v1_1--67cedcba44a5	SELLADA	COINCIDE	RESULT-EVASIONNORMA-A-P-CUMPLE	0.43722552121559033	0.437226	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-EVASION-NORMA-0001/RESULT-EVASIONNORMA-A-P-CUMPLE/SELLO-NO-COINCIDE:AUSENTE	CALC-EVASION-NORMA-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	conducta_p_derivado	civico.denuncia.miedo_desconfianza	CORR-0007	LEGACY-GEN1	CANDIDATO-GEN2	CALC-ENVIPE-0001	CALC-ENVIPE-0001--06223f3dc02d	SELLADA	COINCIDE	RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	0.7327566125957219	0.705687	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	NINGUNA	CALC-ENVIPE-0001 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0031	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0009	LEGACY-GEN1	CANDIDATO-GEN2	CALC-TIENE-AHORROS-0001-v1_1	CALC-TIENE-AHORROS-0001-v1_1--fb43c8bab410	SELLADA	COINCIDE	RESULT-TIENEAHORROS-A-P-TIENE	0.6420795665818781	0.64208	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-TIENE-AHORROS-0001/RESULT-TIENEAHORROS-A-P-TIENE/SELLO-NO-COINCIDE:AUSENTE	CALC-TIENE-AHORROS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0032	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	conducta_p_medido	dinero.ahorro.tiene_ahorros	CORR-0009	LEGACY-GEN1	CANDIDATO-GEN2	CALC-TIENE-AHORROS-0001-v1_1	CALC-TIENE-AHORROS-0001-v1_1--fb43c8bab410	SELLADA	COINCIDE	RESULT-TIENEAHORROS-A-P-NO-TIENE	0.35792043341812185	0.35792	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-TIENE-AHORROS-0001/RESULT-TIENEAHORROS-A-P-NO-TIENE/SELLO-NO-COINCIDE:AUSENTE	CALC-TIENE-AHORROS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0033	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	conducta_p_medido	familia.apoyo.recibe_dinero_familiares	CORR-0010	LEGACY-GEN1	CANDIDATO-GEN2	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1--c6c9c957012e	SELLADA	COINCIDE	RESULT-DFVEJEZ-A-P-RECIBE	0.4577065669362348	0.457707	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-DINERO-FAMILIARES-VEJEZ-0001/RESULT-DFVEJEZ-A-P-RECIBE/SELLO-NO-COINCIDE:AUSENTE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0034	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	conducta_p_medido	familia.apoyo.recibe_dinero_familiares	CORR-0010	LEGACY-GEN1	CANDIDATO-GEN2	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1--c6c9c957012e	SELLADA	COINCIDE	RESULT-DFVEJEZ-A-P-NO-RECIBE	0.5422934330637652	0.542293	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-DINERO-FAMILIARES-VEJEZ-0001/RESULT-DFVEJEZ-A-P-NO-RECIBE/SELLO-NO-COINCIDE:AUSENTE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0053	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	conducta_p_asignado	dinero.ahorro.via_informal	CORR-0015	LEGACY-GEN1	CANDIDATO-GEN2	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1--6c9a26566130	SELLADA	COINCIDE	RESULT-HVD-A-SOLO-INFORMAL	0.3571525665818782	0.357153	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-HORIZONTE-VIA-DERIVADOS-0001/RESULT-HVD-A-SOLO-INFORMAL/SELLO-NO-COINCIDE:AUSENTE	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0054	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	conducta_p_asignado	dinero.ahorro.via_informal	CORR-0015	LEGACY-GEN1	CANDIDATO-GEN2	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1--6c9a26566130	SELLADA	COINCIDE	RESULT-HVD-A-AMBAS-VIAS	0.20476743341812176	0.204767	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-HORIZONTE-VIA-DERIVADOS-0001/RESULT-HVD-A-AMBAS-VIAS/SELLO-NO-COINCIDE:AUSENTE	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0055	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	conducta_p_asignado	dinero.ahorro.via_informal	CORR-0015	LEGACY-GEN1	CANDIDATO-GEN2	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1--6c9a26566130	SELLADA	COINCIDE	RESULT-HVD-A-SOLO-FORMAL	0.08015956658187823	0.08016	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-HORIZONTE-VIA-DERIVADOS-0001/RESULT-HVD-A-SOLO-FORMAL/SELLO-NO-COINCIDE:AUSENTE	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0056	milpa/tramite.yaml:dinero.ahorro.via_informal:no_ahorra	conducta_p_asignado	dinero.ahorro.via_informal	CORR-0015	LEGACY-GEN1	CANDIDATO-GEN2	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1--6c9a26566130	SELLADA	COINCIDE	RESULT-HVD-A-NO-AHORRA	0.35792043341812185	0.35792	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-HORIZONTE-VIA-DERIVADOS-0001/RESULT-HVD-A-NO-AHORRA/SELLO-NO-COINCIDE:AUSENTE	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
RES-0066	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_no_corto	conducta_p_asignado	dinero.ahorro.horizonte_no_trabajadores	CORR-0015	LEGACY-GEN1	CANDIDATO-GEN2	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1--6c9a26566130	SELLADA	COINCIDE	RESULT-HVD-A-HORIZONTE-NO-CORTO-NO-TRABAJA	0.36721800000000004	0.367218	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		SIN-VEREDICTO-SELLADO	NINGUNO	C2-RESULTADO/CALC-HORIZONTE-VIA-DERIVADOS-0001/RESULT-HVD-A-HORIZONTE-NO-CORTO-NO-TRABAJA/SELLO-NO-COINCIDE:AUSENTE	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 sellada (COINCIDE) declara este relevo por C2-RESULTADO; la spec no pre-declaro rama de adopcion para este slot -- la comparacion la hace P2, no este canal
