alias_fuente	fuente_canonica_normalizada	base_identidad	confianza	old_relation_key	canonical_relation_key	objeto_evidencia_alias	objeto_evidencia_canonico	accion	evidencia_ref	justificacion
ENASIC2022_FD_XLSX	ENASIC	ENASIC 2022|enasic2022_fd_xlsx|33c692e05bd7dbafb801a1594a819c7be0e7cf5c25822c66ea458dc9fe9c1370	ALTA	N13|ENASIC2022_FD_XLSX|OE-75c826e0dcde2762375dc60a	N13|ENASIC|OE-59dce3f81e2e7722d336b538	OE-75c826e0dcde2762375dc60a	OE-59dce3f81e2e7722d336b538	FUSIONAR_RELACION	MAIN:data/abrir4-variables-2026-08-08.tsv:L20	Mismo instrumento, necesidad y reactivo P7_12_7; la fila alias es placeholder de la apertura autoritativa.
ENBIARE2021	ENBIARE	ENBIARE 2021|enbiare2021_fd_pdf|8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	ALTA	N10|ENBIARE2021|OE-62009c20a223203d160baf5c	N10|ENBIARE|OE-62009c20a223203d160baf5c	OE-62009c20a223203d160baf5c	OE-62009c20a223203d160baf5c	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L25	Misma fuente normalizada; objeto distinto de la apertura canónica, por lo que no se fusiona sin equivalencia demostrada.
ENBIARE2021	ENBIARE	ENBIARE 2021|enbiare2021_fd_pdf|8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	ALTA	N12|ENBIARE2021|OE-7f44fa3fa8c7613438913dd6	N12|ENBIARE|OE-7f44fa3fa8c7613438913dd6	OE-7f44fa3fa8c7613438913dd6	OE-7f44fa3fa8c7613438913dd6	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L26	Misma fuente; la evidencia placeholder conserva identidad propia y no hereda la confirmación PB2_1.
ENBIARE2021	ENBIARE	ENBIARE 2021|enbiare2021_fd_pdf|8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	ALTA	N14|ENBIARE2021|OE-13d0bcd20755243644c9b7bd	N14|ENBIARE|OE-13d0bcd20755243644c9b7bd	OE-13d0bcd20755243644c9b7bd	OE-13d0bcd20755243644c9b7bd	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L28	Misma fuente; objeto distinto y no se propaga la confirmación PB1/PF1.
ENBIARE2021	ENBIARE	ENBIARE 2021|enbiare2021_fd_pdf|8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	ALTA	N30|ENBIARE2021|OE-3c9d2eefcfaae7c834250eff	N30|ENBIARE|OE-3c9d2eefcfaae7c834250eff	OE-3c9d2eefcfaae7c834250eff	OE-3c9d2eefcfaae7c834250eff	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:canon/estado-programa-v1_10.md	Identidad de fuente demostrada; equivalencia entre objetos no demostrada.
ENFIH2019_FD_XLSX	ENFIH	ENFIH 2019|enfih2019_fd_xlsx|326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	ALTA	N4|ENFIH2019_FD_XLSX|OE-d82cbec8d1cd45676a9c95b6	N4|ENFIH|OE-d82cbec8d1cd45676a9c95b6	OE-d82cbec8d1cd45676a9c95b6	OE-d82cbec8d1cd45676a9c95b6	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L10	Misma fuente; evidencia concreta distinta y sin fusión automática.
ENFIH2019_FD_XLSX	ENFIH	ENFIH 2019|enfih2019_fd_xlsx|326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	ALTA	N6|ENFIH2019_FD_XLSX|OE-b03c67f3df56bb086aa5493e	N6|ENFIH|OE-b03c67f3df56bb086aa5493e	OE-b03c67f3df56bb086aa5493e	OE-b03c67f3df56bb086aa5493e	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L10	Misma fuente; la adjudicación N6 se conserva ligada a su objeto propio.
ENFIH2019_FD_XLSX	ENFIH	ENFIH 2019|enfih2019_fd_xlsx|326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	ALTA	N12|ENFIH2019_FD_XLSX|OE-826b60a87b39ab2aec89c752	N12|ENFIH|OE-826b60a87b39ab2aec89c752	OE-826b60a87b39ab2aec89c752	OE-826b60a87b39ab2aec89c752	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	Misma fuente y reactivo relacionado; IDs distintos se conservan al no declararse placeholder equivalente.
ENSAFI2023_BD_CSV_ZIP	ENSAFI	ENSAFI 2023|ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	ALTA	N4|ENSAFI2023_BD_CSV_ZIP|OE-831d392846e0f6e74f60c0b6	N4|ENSAFI|OE-831d392846e0f6e74f60c0b6	OE-831d392846e0f6e74f60c0b6	OE-831d392846e0f6e74f60c0b6	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	Misma fuente; placeholder sin texto conserva evidencia propia y no hereda estado.
ENSAFI2023_BD_CSV_ZIP	ENSAFI	ENSAFI 2023|ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	ALTA	N6|ENSAFI2023_BD_CSV_ZIP|OE-e14567b41b8dd6d210ed240d	N6|ENSAFI|OE-e14567b41b8dd6d210ed240d	OE-e14567b41b8dd6d210ed240d	OE-e14567b41b8dd6d210ed240d	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	Misma fuente; evidencia distinta sin propagación de clasificación.
ENSAFI2023_BD_CSV_ZIP	ENSAFI	ENSAFI 2023|ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	ALTA	N10|ENSAFI2023_BD_CSV_ZIP|OE-89a3ea1f1f57946d79377e63	N10|ENSAFI|OE-89a3ea1f1f57946d79377e63	OE-89a3ea1f1f57946d79377e63	OE-89a3ea1f1f57946d79377e63	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L4	Misma fuente; procedencia worker se conserva separada de la apertura canónica.
ENSAFI2023_BD_CSV_ZIP	ENSAFI	ENSAFI 2023|ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	ALTA	N14|ENSAFI2023_BD_CSV_ZIP|OE-f5415c4f1402e7c66987fbd5	N14|ENSAFI|OE-f5415c4f1402e7c66987fbd5	OE-f5415c4f1402e7c66987fbd5	OE-f5415c4f1402e7c66987fbd5	CONSERVAR_EVIDENCIA_DISTINTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L7	Misma fuente; columna sin documentación conserva identidad separada.
