celda	variable	codigo	n
CIV-M-10	BP1_23	01	1795
CIV-M-10	BP1_23	02	164
CIV-M-10	BP1_23	03	4539
CIV-M-10	BP1_23	04	11183
CIV-M-10	BP1_23	05	2450
CIV-M-10	BP1_23	06	4700
CIV-M-10	BP1_23	07	3722
CIV-M-10	BP1_23	08	1119
CIV-M-10	BP1_23	09	3295
CIV-M-10	BP1_23	99	227
CIV-M-10	BP1_23	BLANCO	3962
CIV-M-10	BPCOD	01	997
CIV-M-10	BPCOD	02	5769
CIV-M-10	BPCOD	03	4515
CIV-M-10	BPCOD	04	4552
CIV-M-10	BPCOD	05	4554
CIV-M-10	BPCOD	06	1535
CIV-M-10	BPCOD	07	3106
CIV-M-10	BPCOD	08	2257
CIV-M-10	BPCOD	09	4446
CIV-M-10	BPCOD	10	2814
CIV-M-10	BPCOD	11	949
CIV-M-10	BPCOD	12	63
CIV-M-10	BPCOD	13	1381
CIV-M-10	BPCOD	14	95
CIV-M-10	BPCOD	15	123
CIV-M-12	BP1_23	01	1704
CIV-M-12	BP1_23	02	168
CIV-M-12	BP1_23	03	3901
CIV-M-12	BP1_23	04	10299
CIV-M-12	BP1_23	05	2501
CIV-M-12	BP1_23	06	4205
CIV-M-12	BP1_23	07	3813
CIV-M-12	BP1_23	08	1101
CIV-M-12	BP1_23	09	3320
CIV-M-12	BP1_23	99	166
CIV-M-12	BP1_23	BLANCO	3957
CIV-M-12	BPCOD	01	925
CIV-M-12	BPCOD	02	5133
CIV-M-12	BPCOD	03	4147
CIV-M-12	BPCOD	04	4134
CIV-M-12	BPCOD	05	3819
CIV-M-12	BPCOD	06	1471
CIV-M-12	BPCOD	07	3046
CIV-M-12	BPCOD	08	2299
CIV-M-12	BPCOD	09	4616
CIV-M-12	BPCOD	10	2778
CIV-M-12	BPCOD	11	908
CIV-M-12	BPCOD	12	65
CIV-M-12	BPCOD	13	1538
CIV-M-12	BPCOD	14	106
CIV-M-12	BPCOD	15	150
CIV-M-13	BP1_23	01	1796
CIV-M-13	BP1_23	02	254
CIV-M-13	BP1_23	03	4607
CIV-M-13	BP1_23	04	11768
CIV-M-13	BP1_23	05	2926
CIV-M-13	BP1_23	06	3923
CIV-M-13	BP1_23	07	3665
CIV-M-13	BP1_23	08	915
CIV-M-13	BP1_23	09	3254
CIV-M-13	BP1_23	99	244
CIV-M-13	BP1_23	BLANCO	4262
CIV-M-13	BPCOD	01	1035
CIV-M-13	BPCOD	02	5712
CIV-M-13	BPCOD	03	4732
CIV-M-13	BPCOD	04	4084
CIV-M-13	BPCOD	05	3951
CIV-M-13	BPCOD	06	1608
CIV-M-13	BPCOD	07	3278
CIV-M-13	BPCOD	08	2788
CIV-M-13	BPCOD	09	4468
CIV-M-13	BPCOD	10	2866
CIV-M-13	BPCOD	11	1256
CIV-M-13	BPCOD	12	67
CIV-M-13	BPCOD	13	1521
CIV-M-13	BPCOD	14	94
CIV-M-13	BPCOD	15	154
