id_momento	objeto_modelo	necesidad_id	rol_calibracion	universo_candidatos	universo_instrumento	nivel	instrumentos_candidatos	computo_pretendido	estatus_disponibilidad	fuente_regla	reserva	spec_ref
M01	tramite.mordida.discrecional	N16	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/tramite.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M02	tramite.mordida.con_registro	N16	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/tramite.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M03	tramite.gobierno_digital.coercitivo	N17	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/tramite.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M04	tramite.gobierno_digital.util_sin_coercion	N17	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/tramite.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M05	tramite.evasion_norma	N18	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/tramite.yaml	NINGUNA	NO-APLICA
M06	dinero.ahorro.con_puente_y_respaldo	N19	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/procedencia.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M07	dinero.credito.scoring_alternativo	N19	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/procedencia.yaml	Dos objetos explícitos bajo una necesidad	NO-APLICA
M08	civico.denuncia.con_seguro	N20	AJUSTE	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	ENIGH 2022 nueva serie, registro PERSONA (modelo §1.1.A)	persona	POR DECLARAR	reproducir la proporción declarada de la regla	NO-VERIFICADO	milpa/procedencia.yaml	NINGUNA	NO-APLICA
M09	R1.4	N21	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M10	R2.1	N22	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M11	R2.2	N23	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M12	R3.4	N24	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M13	R7.1	N25	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M14	R7.3	N26	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M15	R7.4	N27	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	Dos objetos explícitos bajo una necesidad	NO-APLICA
M16	R7.5	N27	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	Dos objetos explícitos bajo una necesidad	NO-APLICA
M17	R8.1	N28	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M18	R8.2	N29	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M19	R8.3	N30	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M20	R10.1	N31	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M21	R10.2	N32	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	NINGUNA	NO-APLICA
M22	R10.3	N33	HOLDOUT	POR DECLARAR (ADR-68(a), universo de búsqueda -- fix M3 de RONDA-M)	POR DECLARAR -- el pre-registro fija instrumento por ficha	persona	POR DECLARAR	reproducir el SI-ENTONCES de la ficha dentro de banda	NO-VERIFICADO	forense/hitoD-preregistro-v2_0.md	Riesgo ético: solo dato secundario	NO-APLICA
