# tools/dominios/cola-completa/inventario-reactivos-cola-completa-v1_0.tsv -- ACTO GEN2-COLA-COMPLETA-1
# Texto de pregunta transcrito del FD/cuestionario en corpus (sha256 del archivo o miembro en fuente_sha256). Sólo las variables que citan las verificaciones de texto del acto.
instrumento	variable_id	texto_reactivo	texto_tipo	fuente_texto	fuente_sha256	acto
mmsi2016	P10_2	10.2 A partir de la siguiente escala de color (MOSTRAR ESCALA CROMATICA), ¿cual considera que es el color de piel de su cara?	PREGUNTA	data/raw/MMSI/2016/mmsi2016_fd.xlsx (hoja MMSI 2016) + manual_entrevistador_mmsi_2016.pdf p.81 (tarjeta escala cromatica A..K)	d9d89618cb95e510b8f3b98494db51feb2e9409a025be65cd51da83416084c96	GEN2-COLA-COMPLETA-1
mmsi2016	DivOcu_Act	6.5 ¿Cual es (era) el nombre del oficio, puesto o cargo...? -- division principal de ocupacion del informante (SINCO 2011 agrupado): 01 Funcionarios, directores y jefes ... 09	PREGUNTA	data/raw/MMSI/2016/mmsi2016_fd.xlsx (hoja MMSI 2016)	d9d89618cb95e510b8f3b98494db51feb2e9409a025be65cd51da83416084c96	GEN2-COLA-COMPLETA-1
mmsi2016	NivEsc_Inf	8.3 ¿Cual es el ultimo año o grado que aprobo en la escuela? -- nivel de escolaridad del informante (derivada INEGI): 1 Sin escolaridad ... 6 Preparatoria o Bachillerato, 7 Licenciatura o Superior	PREGUNTA	data/raw/MMSI/2016/mmsi2016_fd.xlsx (hoja MMSI 2016)	d9d89618cb95e510b8f3b98494db51feb2e9409a025be65cd51da83416084c96	GEN2-COLA-COMPLETA-1
mmsi2016	P10_3	En nuestro pais viven personas de multiples origenes raciales, ¿se considera usted una persona... 1 Negra o mulata, 2 Indigena, 3 Mestiza, 4 Blanca, 5 Otra raza, 9 No sabe	PREGUNTA	data/raw/MMSI/2016/mmsi2016_fd.xlsx (hoja MMSI 2016)	d9d89618cb95e510b8f3b98494db51feb2e9409a025be65cd51da83416084c96	GEN2-COLA-COMPLETA-1
endiseg2021	P8_1	8.1 Conforme a lo anterior, ¿usted se considera... 1 mujer a la que le gustan solamente las mujeres, 2 hombre al que le gustan solamente los hombres, 3 persona que le gustan tanto hombres como mujeres, 4 mujer que le gustan solamente los hombres, 5 hombre que le gustan solamente las mujeres, 6 con otra orientacion	PREGUNTA	ENDISEG 2021 Descriptor de archivos (FD).xlsx, hoja TMODULO (miembro de data/raw/ENDISEG/2021/endiseg_2021_fd_pdf.zip)	14ff478166f55319081b87d584e96888d49935dd828dcf68377d1442ff2918b0	GEN2-COLA-COMPLETA-1
enadid2018	P10_1	¿Actualmente usted... 1 vive con su pareja en union libre, 2 esta separada de una union libre, 3 esta separada de un matrimonio, 4 esta divorciada, 5 esta viuda de una union libre, 6 esta viuda de un matrimonio, 7 esta casada, 8 esta soltera (Situacion conyugal)	PREGUNTA	data/raw/ENADID/2018/fd_enadid18.xlsx, hoja TMUJER2	f776c495d40dd93772504b34d20d779a43fd9ef6bf1657fe00af2034cc39903d	GEN2-COLA-COMPLETA-1
enadid2018	SEXO	(NOMBRE) es hombre. / (NOMBRE) es mujer.	PREGUNTA	data/raw/ENADID/2018/fd_enadid18.xlsx, hoja TSDEM	f776c495d40dd93772504b34d20d779a43fd9ef6bf1657fe00af2034cc39903d	GEN2-COLA-COMPLETA-1
enadid2018	P4_15	¿En que pais vive actualmente (NOMBRE)? 1 Estados Unidos de America, 2 Mexico, 3 Otro pais, 9 no especificado	PREGUNTA	data/raw/ENADID/2018/fd_enadid18.xlsx, hoja TMIGRANTE	f776c495d40dd93772504b34d20d779a43fd9ef6bf1657fe00af2034cc39903d	GEN2-COLA-COMPLETA-1
latinobarometro2023	P13ST_E	P13STGBS A-I. (MOSTRAR TARJETA 2) Por favor, mire esta tarjeta y digame, para cada uno de los grupos, instituciones o personas de la lista cuanta confianza tiene usted en ellas: mucha (1), algo (2), poca (3) o ninguna confianza(4) en...? -- P13ST.E Gobierno: 1 Mucha, 2 Algo, 3 Poca, 4 Ninguna, 8 NS, 0 NR	TRANSCRITO-DE-CUESTIONARIO	data/raw/LATINOBAROMETRO/2023/latinobarometro-2023-stata-v1-0.zip::Latinobarometro_2023_Esp.pdf	b8a3080d0d6c9dee08b2b613984840721a01a0b9ab5796e4da3a417fbad0739a	GEN2-COLA-COMPLETA-1
latinobarometro2023	P11STGBS_A	P11STGBS.A En general, Diria Ud. que esta muy satisfecho, mas bien satisfecho, no muy satisfecho o nada satisfecho con el funcionamiento de la democracia en (PAIS)? 1 Muy satisfecho, 2 Mas bien satisfecho, 3 No muy satisfecho, 4 Nada satisfecho, 8 NO LEER No sabe, 0 NO LEER No responde	TRANSCRITO-DE-CUESTIONARIO	data/raw/LATINOBAROMETRO/2023/latinobarometro-2023-stata-v1-0.zip::Latinobarometro_2023_Esp.pdf	b8a3080d0d6c9dee08b2b613984840721a01a0b9ab5796e4da3a417fbad0739a	GEN2-COLA-COMPLETA-1
latinobarometro2023	P10STGBS	P10STGBS. Con cual de las siguientes frases esta Ud. mas de acuerdo? 1 La democracia es preferible a cualquier otra forma de gobierno; 2 En algunas circunstancias, un gobierno autoritario puede ser preferible a uno democratico; 3 A la gente como uno, nos da lo mismo un regimen democratico que uno no democratico; 8 NO LEER No sabe; 0 NO LEER No responde	TRANSCRITO-DE-CUESTIONARIO	data/raw/LATINOBAROMETRO/2023/latinobarometro-2023-stata-v1-0.zip::Latinobarometro_2023_Esp.pdf	b8a3080d0d6c9dee08b2b613984840721a01a0b9ab5796e4da3a417fbad0739a	GEN2-COLA-COMPLETA-1
latinobarometro2023	P1ST	P1ST. En terminos generales, diria Ud. que esta satisfecho con su vida? Diria Ud. que esta....? 1 Muy satisfecho, 2 Bastante satisfecho, 3 No muy satisfecho, 4 Para nada satisfecho, 0 NO LEER NS/NR	TRANSCRITO-DE-CUESTIONARIO	data/raw/LATINOBAROMETRO/2023/latinobarometro-2023-stata-v1-0.zip::Latinobarometro_2023_Esp.pdf	b8a3080d0d6c9dee08b2b613984840721a01a0b9ab5796e4da3a417fbad0739a	GEN2-COLA-COMPLETA-1
latinobarometro2023	P15STGBS	P15STGBS. Ud. aprueba o no aprueba la gestion del gobierno que encabeza el presidente (nombre)? 1 Aprueba, 2 No aprueba, 0 NO LEER NS/NR	TRANSCRITO-DE-CUESTIONARIO	data/raw/LATINOBAROMETRO/2023/latinobarometro-2023-stata-v1-0.zip::Latinobarometro_2023_Esp.pdf	b8a3080d0d6c9dee08b2b613984840721a01a0b9ab5796e4da3a417fbad0739a	GEN2-COLA-COMPLETA-1
pew_gas_spring2024	god	Q27 Do you believe in God, or not? [GA 2024 ref: god]	TRANSCRITO-DE-CUESTIONARIO	descargas_mx/UNIVERSO-2026-09/PEW/pew_gas_spring2024.zip::Pew Research Center Global Attitudes Spring 2024 Questionnaire.pdf	37c06bd04811582ed5aec2a6753ef2f77ea794848e674153857efcde6022bd78	GEN2-COLA-COMPLETA-1
pew_gas_spring2024	religion_combined	Q18 CURRENT RELIGION: QUESTION WORDING AND RESPONSE CATEGORIES VARY BY SURVEY COUNTRY (REFER TO APPENDIX A). GA 2024 ref: religion_combined, religion_christian, religion_none. Mexico: 1 Roman Catholic; 2 Protestant or Evangelical; 3 Jehovah's Witness; 4 Mormon; 5 Indigenous religion; 6 Atheist; 7 Agnostic; 8 Something else; 9 Nothing in particular; 10 Just a Christian; 11 Jewish; 12 Pentecostal; 13 Muslim; 98 Don't know; 99 Refused	TRANSCRITO-DE-CUESTIONARIO	descargas_mx/UNIVERSO-2026-09/PEW/pew_gas_spring2024.zip::Pew Research Center Global Attitudes Spring 2024 Questionnaire.pdf	37c06bd04811582ed5aec2a6753ef2f77ea794848e674153857efcde6022bd78	GEN2-COLA-COMPLETA-1
pew_gas_spring2024	religion_christian	Q18 CURRENT RELIGION -- filtro CHRISTIAN sobre religion_combined Mexico: codigos 1,2,3,4,10,12 marcados [FILTER AS CHRISTIAN] (ver religion_combined para el detalle completo de opciones)	TRANSCRITO-DE-CUESTIONARIO	descargas_mx/UNIVERSO-2026-09/PEW/pew_gas_spring2024.zip::Pew Research Center Global Attitudes Spring 2024 Questionnaire.pdf	37c06bd04811582ed5aec2a6753ef2f77ea794848e674153857efcde6022bd78	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0211	Durante la ultima semana...¿Sentia como si no pudiera quitarse de encima la tristeza? [etiqueta truncada por la variable, longitud maxima de .dta]	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0212	Durante la ultima semana...¿le costaba concentrarse en lo que estaba haciendo?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0213	Durante la ultima semana...¿se sintio deprimido/a?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0214	Durante la ultima semana...¿le parecia que todo lo que hacia era un esfuerzo?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0215	Durante la ultima semana...¿no durmio bien?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0216	Durante la ultima semana...¿disfruto de la vida?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
ensanut2022_adultos	a0217	Durante la ultima semana...¿se sintio triste?	metadataonly(pyreadstat)/label-de-variable	ensadul2022_entrega_w.stata.stata.zip (data/raw/ENSANUT/2022/.../ensadul2022_entrega_w.dta)	bfdfdb82bcb311497bdd4d8e7c241dc0d0a55f303a9c1ec300baf48e2ba45343	GEN2-COLA-COMPLETA-1
