orden	patron	clase	instrumento	olas	propietario_dato	url	fuente_existente	ids_manifiesto	nota
010	ESRU-EMOVI 2023|esru_emovi	MICRODATO	EMOVI	2023	CEEY	https://ceey.org.mx/emovi/			esru_emovi sin ola en la hoja (AUTOR-016) pide la ola más reciente: 2023
020	EMOVI 2011	MICRODATO	EMOVI	2011	CEEY	https://ceey.org.mx/emovi/			
030	Pobreza Multidimensional 2024	MICRODATO	INEGI-MMP	2024	INEGI	https://www.inegi.org.mx/desarrollosocial/pm/			bases y programas de cálculo de la medición multidimensional; el insumo ENIGH 2024 NC ya está en corpus (enigh2024_nc_csv, RESERVADA por decisiones.tsv:192)
040	latinobarometro ?2023|Latinobar[oó]metro 2023	MICRODATO	LATINOBAROMETRO	2023	Corporación Latinobarómetro	https://www.latinobarometro.org/latContents.jsp			
050	Latinobar[oó]metro 2024	MICRODATO	LATINOBAROMETRO	2024	Corporación Latinobarómetro		LATINOBARÓMETRO	latinobarometro2024_bd_stata	
060	PISA 2022	MICRODATO	PISA	2022	OCDE	https://www.oecd.org/en/data/datasets/pisa-2022-database.html			
070	ENPECYT 2017	MICRODATO	ENPECYT	2017	INEGI/CONACYT	https://www.inegi.org.mx/programas/enpecyt/2017/			
080	ENSANUT 2018 y ENSANUT 2022	MICRODATO	ENSANUT	2018;2022	INSP/SSA	https://ensanut.insp.mx/			
090	ENSANUT 2018-19	MICRODATO	ENSANUT	2018	INSP/SSA	https://ensanut.insp.mx/encuestas/ensanut2018/descargas.php			
100	ENSANUT Continua 2021 / 2022 / 2023	MICRODATO	ENSANUT	2021;2022;2023	INSP/SSA	https://ensanut.insp.mx/			
110	ENSANUT 2022	MICRODATO	ENSANUT	2022	INSP/SSA	https://ensanut.insp.mx/encuestas/ensanutcontinua2022/descargas.php			
120	ENCODAT 2025	MICRODATO	ENCODAT	2025	CONASAMA/INPRFM/INSP				
130	ENCOVID-19	MICRODATO	ENCOVID-19	2020	EQUIDE-IBERO (la hoja cita INSP)				
140	ENDISEG 2021	MICRODATO	ENDISEG	2021	INEGI	https://www.inegi.org.mx/programas/endiseg/2021/			
150	EMAT 2022	MICRODATO	EMAT	2022	INEGI	https://www.inegi.org.mx/programas/emat/			registro administrativo con microdato publicado (estadística de matrimonios)
160	EMAT 2023	MICRODATO	EMAT	2023	INEGI	https://www.inegi.org.mx/programas/emat/			registro administrativo con microdato publicado
170	EMAT \(INEGI\), serie 2013-2022	MICRODATO	EMAT	2013-2022	INEGI	https://www.inegi.org.mx/programas/emat/			serie de olas anuales; una fila por serie
